name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Cubby's Gothenburg Truck Plaza,truck-stops,416 Platte River Rd,Gothenburg,NE,69138,308-537-4444,https://www.cubbys.com/project/gothenburg-truck-plaza/,"Independent Cubby's truck plaza at I-80 Exit 211 with diesel, convenience store, deli and truck parking.",I-80,211,,yes,yes,,yes,,,yes,
Nebraskaland Tire Truck Center,tire-repair,3004 Plum Creek Pkwy,Lexington,NE,68850,308-324-6374,,Commercial truck tire and repair center at I-80 Exit 237 in Lexington.,I-80,237,,,,,,yes,,,
Sapp Bros Travel Center - Odessa,truck-stops,380 Odessa Rd,Odessa,NE,68836,308-234-1662,https://www.sappbros.net/location/sapp-bros-odessa/,"24-hour Sapp Bros travel center at I-80 Exit 263 west of Kearney with diesel, Sapp Bros Cafe, showers, certified scales and tire repair.",I-80,263,yes,yes,yes,yes,yes,yes,,yes,
Kearney Welcome Center (Rest Area),parking,,Kearney,NE,,,https://dot.nebraska.gov/travel/rest-area/,Nebraska DOT welcome center and rest area west of Kearney (MM 269 EB / 270 WB) with restrooms and designated truck parking.,I-80,,,,,,yes,,,,
Fort Kearney Trading Post,truck-stops,1730 Highway 10,Kearney,NE,,,,"24-hour diesel stop at I-80 Exit 279 with convenience store, deli and paved truck parking.",I-80,279,,yes,yes,,yes,,,,
Pilot Travel Center #912,truck-stops,11775 S Highway 11,Wood River,NE,68883,308-583-2493,https://locations.pilotflyingj.com/us/ne/wood-river/11775-ne-11,"24-hour Pilot travel center at I-80 Exit 300 with diesel, Subway, showers and public laundry.",I-80,300,yes,yes,yes,yes,yes,,,yes,
TA Grand Island,truck-stops,,Alda,NE,,,https://www.ta-petro.com/location/ne/ta-grand-island/,"TravelCenters of America full-service travel center at I-80 Exit 305 (Alda) with restaurant, showers and truck service.",I-80,305,yes,yes,yes,,yes,yes,,,
Grand Island Rest Area,parking,,Grand Island,NE,,,https://dot.nebraska.gov/travel/rest-area/,Nebraska DOT rest area near the Platte River (MM 315 EB / 316 WB) with restrooms and truck parking.,I-80,,,,,,yes,,,,
Bosselman Travel Center / Pilot #902,truck-stops,3335 W Wood River Rd,Grand Island,NE,68803,308-382-2288,https://www.bosselman.com/bosselman-travel-center/,"Major Nebraska-owned Bosselman/Pilot travel plaza at I-80 Exit 312 with ~400 parking spaces, 20+ showers, restaurant, laundry, CAT Scale and an on-site Boss Truck Shop.",I-80,312,yes,yes,yes,yes,yes,yes,yes,yes,
Boss Truck Shop #12,roadside-service,7482 Bosselman Ave,Grand Island,NE,68803,308-381-7272,https://bosstruckshops.com/locations/grand-island-ne-boss-truck-shop/,"24-hour heavy-duty truck and tire repair shop at the Bosselman Travel Center, I-80 Exit 312.",I-80,312,,,,,,yes,,,
Love's Travel Stop #309,truck-stops,1539 Madison Ave,Aurora,NE,68818,402-694-2802,https://www.loves.com/locations/309,"24-hour Love's at I-80 Exit 332 with Arby's, 7 showers, CAT Scale and 3 Love's Truck Care service bays.",I-80,332,yes,yes,yes,,yes,yes,yes,yes,
Petro Stopping Center #362 (Petro York),truck-stops,4700 S Lincoln Ave,York,NE,68467,402-362-1776,https://www.ta-petro.com/location/ne/petro-york/,"Full-service Petro/TA stopping center at I-80 Exit 353 (US-81) with Iron Skillet restaurant, 16 showers, CAT Scale, TA Truck Service and 250 truck spaces.",I-80,353,yes,yes,yes,yes,yes,yes,yes,yes,
