name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Conoco (Kimball),truck-stops,1700 S Highway 71,Kimball,NE,69145,,,Fuel stop at I-80 Exit 20 offering diesel and truck parking (formerly branded Travel Shoppe) in the westernmost Nebraska town on the corridor.,I-80,20,,,yes,,yes,,,,
Love's Travel Stop #625,truck-stops,645 Chase Blvd,Sidney,NE,69162,308-254-4832,https://www.loves.com,"24-hour travel stop at I-80 Exit 59 with roughly 88 truck spaces, 7 showers, Subway/IHOP Express, Love's Truck Care and a CAT Scale.",I-80,59,yes,yes,yes,,yes,yes,yes,yes,
Sapp Bros Travel Center - Sidney,truck-stops,2914 Upland Pkwy,Sidney,NE,69162,308-254-3096,https://www.sappbros.net,"24-hour Sapp Bros travel center at I-80 Exit 59 with diesel, DEF, showers and Lucille's Fried Chicken.",I-80,59,yes,yes,yes,,yes,,,yes,
Love's Truck Care (Sidney),tire-repair,645 Chase Blvd,Sidney,NE,69162,308-254-4832,https://www.loves.com,Commercial truck tire and mechanical repair service co-located with Love's Travel Stop #625 at I-80 Exit 59.,I-80,59,,,,,,yes,,,
Flying J Travel Center #904,truck-stops,109 Circle Rd,Big Springs,NE,69122,308-889-3686,https://www.pilotflyingj.com,"Large 24-hour Flying J at I-80 Exit 107 (I-76 junction) with about 14 showers, service bays, Max's Highway Diner and Subway.",I-80,107,yes,yes,yes,,yes,yes,,yes,
Big Springs Truck & Travel,truck-stops,100 Frontage Rd,Big Springs,NE,69122,,,"Independent Sinclair-branded truck stop at I-80 Exit 107 with about 15 truck spaces, 5 diesel lanes, deli, bulk DEF and 2 showers.",I-80,107,yes,yes,yes,,yes,,,yes,
Sapp Bros Travel Center - Ogallala,truck-stops,101 Stage Coach Rd,Ogallala,NE,69153,308-284-3329,https://www.sappbros.net,"24-hour Sapp Bros travel center at I-80 Exit 126 with diesel, showers, motel, laundry and trucker store.",I-80,126,yes,yes,yes,yes,yes,,,yes,
TA Ogallala #090,truck-stops,103 Prospector Dr,Ogallala,NE,69153,308-284-3667,https://www.ta-petro.com,"24-hour TravelCenters of America at I-80 Exit 126 with about 94 truck spaces, 9 showers, truck service and a CAT Scale.",I-80,126,yes,yes,yes,yes,yes,yes,yes,yes,
Fat Dogs (Ogallala),truck-stops,100 Prospector Dr,Ogallala,NE,69153,308-532-3090,https://www.fatdogs.com,"24-hour travel center near I-80 Exit 126 with multiple diesel bays, 5 showers, laundromat and a drivers' lounge.",I-80,126,yes,yes,yes,yes,yes,,,yes,
Love's Travel Stop #390,truck-stops,3211 S Newberry Rd,North Platte,NE,69101,,https://www.loves.com/locations/390,"24-hour Love's travel stop at I-80 Exit 179 with about 80 truck spaces, 8 diesel lanes, showers, Subway, McDonald's, tire care and a CAT Scale.",I-80,179,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #687,truck-stops,3400 S Newberry Rd,North Platte,NE,69101,308-532-4555,https://www.pilotflyingj.com,"24-hour Flying J at I-80 Exit 179 with about 123 truck spaces, 9 showers, laundry, an on-site Boss Shop and a CAT Scale.",I-80,179,yes,yes,yes,yes,yes,yes,yes,yes,
Pump & Pantry #39,truck-stops,2601 Eagles Wings Place,North Platte,NE,69101,308-534-1031,https://pumpandpantry.com,Bosselman Pump & Pantry fuel and convenience stop near I-80 at North Platte offering diesel and gasoline.,I-80,177,,yes,yes,,yes,,,,
Love's CAT Scale (Sidney),cat-scales,645 Chase Blvd,Sidney,NE,69162,308-254-4832,https://catscale.com,"Certified CAT Scale at Love's Travel Stop #625, I-80 Exit 59.",I-80,59,,,,,,,yes,,
TA CAT Scale (Ogallala),cat-scales,103 Prospector Dr,Ogallala,NE,69153,308-284-3667,https://catscale.com,"Certified CAT Scale at TA Ogallala, I-80 Exit 126.",I-80,126,,,,,,,yes,,
Love's CAT Scale (North Platte),cat-scales,3211 S Newberry Rd,North Platte,NE,69101,,https://catscale.com,"Certified CAT Scale at Love's Travel Stop #390, I-80 Exit 179.",I-80,179,,,,,,,yes,,
Flying J CAT Scale (North Platte),cat-scales,3400 S Newberry Rd,North Platte,NE,69101,308-532-4555,https://catscale.com,"Certified CAT Scale at Flying J Travel Center #687, I-80 Exit 179.",I-80,179,,,,,,,yes,,
Bosselman Boss Truck Shop #18,tire-repair,2743 E Walker Rd,North Platte,NE,69101,308-534-4395,https://bosstruckshops.com,Full-service heavy-duty truck and trailer repair shop with commercial tire service and 24-hour roadside assistance near I-80 Exit 179.,I-80,179,,,,,,yes,,,
Red Arrow Truck & RV Wash,truck-washes,2940 E Walker Rd,North Platte,NE,69101,308-534-5777,,Truck and RV wash on E Walker Rd near the North Platte I-80 truck-stop cluster.,I-80,,,,,,,,,,
North Platte Weigh Station (I-80),weigh-stations,,North Platte,NE,69101,,,Nebraska State Patrol carrier-enforcement weigh scales on I-80 at North Platte (westbound near Exit 179; eastbound near milepost 180.5).,I-80,,,,,,,,,,
Kimball Rest Area (Eastbound),parking,,Bushnell,NE,,,https://dot.nebraska.gov,NDOT eastbound I-80 rest area near milepost 9.8 (east of Bushnell) with parking for about 7 trucks.,I-80,,,,,,yes,,,,
Kimball Rest Area (Westbound),parking,,Kimball,NE,,,https://dot.nebraska.gov,NDOT westbound I-80 rest area near milepost 25 (east of the Kimball SE interchange) with parking for about 7 trucks.,I-80,,,,,,yes,,,,
Sidney Rest Area (Eastbound),parking,,Sidney,NE,,,https://dot.nebraska.gov,NDOT eastbound I-80 rest area near milepost 51.4 (east of the Brownson interchange) with pull-through parking for about 12 trucks.,I-80,,,,,,yes,,,,
Ogallala Rest Area (Eastbound),parking,,Ogallala,NE,,,https://dot.nebraska.gov,NDOT eastbound I-80 rest area near milepost 124.7 (west of Ogallala) with parking for about 7 trucks.,I-80,,,,,,yes,,,,
Ogallala Rest Area (Westbound),parking,,Ogallala,NE,,,https://dot.nebraska.gov,NDOT westbound I-80 rest area near milepost 132.6 (east of Ogallala) with parking for about 7 trucks.,I-80,,,,,,yes,,,,
Sutherland Rest Area (Eastbound),parking,,Sutherland,NE,,,https://dot.nebraska.gov,NDOT eastbound I-80 rest area near milepost 159.6 (east of Sutherland) with parking for about 7 trucks.,I-80,,,,,,yes,,,,
Cubby's Gothenburg Truck Plaza,truck-stops,416 Platte River Rd,Gothenburg,NE,69138,308-537-4444,https://www.cubbys.com/project/gothenburg-truck-plaza/,"Independent Cubby's truck plaza at I-80 Exit 211 with diesel, convenience store, deli and truck parking.",I-80,211,,yes,yes,,yes,,,yes,
Nebraskaland Tire Truck Center,tire-repair,3004 Plum Creek Pkwy,Lexington,NE,68850,308-324-6374,,Commercial truck tire and repair center at I-80 Exit 237 in Lexington.,I-80,237,,,,,,yes,,,
Sapp Bros Travel Center - Odessa,truck-stops,380 Odessa Rd,Odessa,NE,68836,308-234-1662,https://www.sappbros.net/location/sapp-bros-odessa/,"24-hour Sapp Bros travel center at I-80 Exit 263 west of Kearney with diesel, Sapp Bros Cafe, showers, certified scales and tire repair.",I-80,263,yes,yes,yes,yes,yes,yes,,yes,
Kearney Welcome Center (Rest Area),parking,,Kearney,NE,,,https://dot.nebraska.gov/travel/rest-area/,Nebraska DOT welcome center and rest area west of Kearney (MM 269 EB / 270 WB) with restrooms and designated truck parking.,I-80,,,,,,yes,,,,
Fort Kearney Trading Post,truck-stops,1730 Highway 10,Kearney,NE,,,,"24-hour diesel stop at I-80 Exit 279 with convenience store, deli and paved truck parking.",I-80,279,,yes,yes,,yes,,,,
Pilot Travel Center #912,truck-stops,11775 S Highway 11,Wood River,NE,68883,308-583-2493,https://locations.pilotflyingj.com/us/ne/wood-river/11775-ne-11,"24-hour Pilot travel center at I-80 Exit 300 with diesel, Subway, showers and public laundry.",I-80,300,yes,yes,yes,yes,yes,,,yes,
TA Grand Island,truck-stops,,Alda,NE,,,https://www.ta-petro.com/location/ne/ta-grand-island/,"TravelCenters of America full-service travel center at I-80 Exit 305 (Alda) with restaurant, showers and truck service.",I-80,305,yes,yes,yes,,yes,yes,,,
Grand Island Rest Area,parking,,Grand Island,NE,,,https://dot.nebraska.gov/travel/rest-area/,Nebraska DOT rest area near the Platte River (MM 315 EB / 316 WB) with restrooms and truck parking.,I-80,,,,,,yes,,,,
Bosselman Travel Center / Pilot #902,truck-stops,3335 W Wood River Rd,Grand Island,NE,68803,308-382-2288,https://www.bosselman.com/bosselman-travel-center/,"Major Nebraska-owned Bosselman/Pilot travel plaza at I-80 Exit 312 with ~400 parking spaces, 20+ showers, restaurant, laundry, CAT Scale and an on-site Boss Truck Shop.",I-80,312,yes,yes,yes,yes,yes,yes,yes,yes,
Boss Truck Shop #12,roadside-service,7482 Bosselman Ave,Grand Island,NE,68803,308-381-7272,https://bosstruckshops.com/locations/grand-island-ne-boss-truck-shop/,"24-hour heavy-duty truck and tire repair shop at the Bosselman Travel Center, I-80 Exit 312.",I-80,312,,,,,,yes,,,
Love's Travel Stop #309,truck-stops,1539 Madison Ave,Aurora,NE,68818,402-694-2802,https://www.loves.com/locations/309,"24-hour Love's at I-80 Exit 332 with Arby's, 7 showers, CAT Scale and 3 Love's Truck Care service bays.",I-80,332,yes,yes,yes,,yes,yes,yes,yes,
Petro Stopping Center #362 (Petro York),truck-stops,4700 S Lincoln Ave,York,NE,68467,402-362-1776,https://www.ta-petro.com/location/ne/petro-york/,"Full-service Petro/TA stopping center at I-80 Exit 353 (US-81) with Iron Skillet restaurant, 16 showers, CAT Scale, TA Truck Service and 250 truck spaces.",I-80,353,yes,yes,yes,yes,yes,yes,yes,yes,
Blue Beacon Truck Wash - York,truck-washes,4500 S Lincoln Ave,York,NE,68467,402-362-1655,https://bluebeacon.com/locations/categories/nebraska,"Blue Beacon truck and trailer wash at I-80 Exit 353, adjacent to the Petro York travel center.",I-80,353,,,,,,,,,
Shoemaker's Travel Center,truck-stops,4800 W O St,Lincoln,NE,68528,402-474-1771,,"Independent Lincoln truck stop at I-80 Exit 395 (West O St) with restaurant, showers, laundry, repair, CAT Scale and truck wash.",I-80,395,yes,yes,yes,yes,yes,yes,yes,yes,
