name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Boomtown Casino Truck Stop (Chevron),truck-stops,Verdi,NV,boomtown-casino-truck-stop-chevron-verdi-nv,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Sparks (Sierra Sid's),truck-stops,Sparks,NV,ta-sparks-sierra-sid-s-sparks-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Sparks (Alamo Casino),truck-stops,Sparks,NV,petro-sparks-alamo-casino-sparks-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #340,truck-stops,Fernley,NV,pilot-travel-center-340-fernley-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #246,truck-stops,Fernley,NV,love-s-travel-stop-246-fernley-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #1005,truck-stops,Fernley,NV,flying-j-travel-center-1005-fernley-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Rye Patch Chevron Truck Stop,truck-stops,Lovelock,NV,rye-patch-chevron-truck-stop-lovelock-nv,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #797,truck-stops,Winnemucca,NV,love-s-travel-stop-797-winnemucca-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #770,truck-stops,Winnemucca,NV,flying-j-travel-center-770-winnemucca-nv,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - Love's #797,cat-scales,Winnemucca,NV,cat-scale-love-s-797-winnemucca-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale - Flying J #770,cat-scales,Winnemucca,NV,cat-scale-flying-j-770-winnemucca-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale - Love's #246,cat-scales,Fernley,NV,cat-scale-love-s-246-fernley-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale - Pilot #340,cat-scales,Fernley,NV,cat-scale-pilot-340-fernley-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale - Flying J #1005,cat-scales,Fernley,NV,cat-scale-flying-j-1005-fernley-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale - TA Sparks,cat-scales,Sparks,NV,cat-scale-ta-sparks-sparks-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale - Petro Sparks,cat-scales,Sparks,NV,cat-scale-petro-sparks-sparks-nv,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Blue Beacon Truck Wash of Fernley,truck-washes,Fernley,NV,blue-beacon-truck-wash-of-fernley-fernley-nv,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Petro Sparks Truck Wash,truck-washes,Sparks,NV,petro-sparks-truck-wash-sparks-nv,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TA Sparks Truck Wash,truck-washes,Sparks,NV,ta-sparks-truck-wash-sparks-nv,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Love's Truck Care - Fernley,tire-repair,Fernley,NV,love-s-truck-care-fernley-fernley-nv,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Speedco at Love's #797,tire-repair,Winnemucca,NV,speedco-at-love-s-797-winnemucca-nv,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
FYX Fleet Services (Mobile) Winnemucca,roadside-service,Winnemucca,NV,fyx-fleet-services-mobile-winnemucca-winnemucca-nv,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Website; Verified date; Approved reviews
