name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Towpath Service Plaza (Eastbound),truck-stops,10037 Broadview Road,Broadview Heights,OH,44147,,https://www.ohioturnpike.org/truckers/service-plazas/towpath,"Eastbound Ohio Turnpike (I-80) service plaza at milepost 170 in Cuyahoga County with Sunoco fuel, food, truck parking, free showers and coin laundry.",I-80,MP 170 EB,yes,yes,yes,yes,yes,,,yes,yes
Great Lakes Service Plaza (Westbound),truck-stops,,Broadview Heights,OH,44147,,https://www.ohioturnpike.org/truckers/service-plazas/great-lakes,"Westbound Ohio Turnpike (I-80) service plaza at milepost 170 in Cuyahoga County (between Exits 161 and 173) with Sunoco fuel, food, truck parking and free showers.",I-80,MP 170 WB,yes,yes,yes,yes,yes,,,yes,yes
Brady's Leap Service Plaza (Eastbound),truck-stops,,Mantua,OH,,,https://www.ohioturnpike.org/truckers/service-plazas/bradys-leap,"Eastbound Ohio Turnpike (I-80) service plaza at milepost 197 in Portage County (Freedom Township) with Sunoco fuel, food, truck and RV overnight parking, and free showers.",I-80,MP 197 EB,yes,yes,yes,yes,yes,,,yes,yes
Portage Service Plaza (Westbound),truck-stops,,Mantua,OH,,,https://www.ohioturnpike.org/truckers/service-plazas/portage,"Westbound Ohio Turnpike (I-80) service plaza at milepost 197 in Portage County with Sunoco fuel, food, truck parking, RV overnight spaces with hookups, and free showers.",I-80,MP 197 WB,yes,yes,yes,yes,yes,,,yes,yes
Pilot Travel Center #3 (Austintown),truck-stops,1150 N Canfield-Niles Road,Youngstown,OH,44515,330-505-3532,https://locations.pilotflyingj.com/us/oh/youngstown/1150-north-canfield-niles-road,"24-hour Pilot travel center on free I-80 at Exit 223 (SR 46) with diesel, McDonald's, showers, truck service bay, truck wash and CAT scale.",I-80,223,yes,yes,yes,,yes,yes,yes,yes,yes
TA Travel Center Youngstown #058,truck-stops,5400 Seventy Six Drive,Youngstown,OH,44515,330-793-4426,https://www.ta-petro.com/location/oh/ta-youngstown/,"24-hour TravelCenters of America truck stop on free I-80 at Exit 223A (SR 46) with diesel, restaurant, showers, laundry, five-bay TA Truck Service and CAT scale.",I-80,223A,yes,yes,yes,yes,yes,yes,yes,yes,yes
Pilot Travel Center #281 (Girard),truck-stops,2786 Salt Springs Road,Girard,OH,44420,330-530-8500,https://locations.pilotflyingj.com/us/oh/girard/2786-salt-springs-rd,"24-hour Pilot travel center on free I-80 at Exit 226 (Salt Springs Road) with diesel, Subway, showers, on-site truck wash and CAT scale.",I-80,226,yes,yes,yes,,yes,,yes,yes,yes
Petro Stopping Center Girard #320,truck-stops,1 Petro Place,Girard,OH,44420,330-505-3700,https://www.ta-petro.com/location/oh/petro-girard/,"Large Petro/TA truck stop on free I-80 at Exit 226 with 300+ truck spaces, 14 diesel lanes, Iron Skillet restaurant, 14 showers, laundry, TA Truck Service and CAT scale.",I-80,226,yes,yes,yes,yes,yes,yes,yes,yes,yes
Love's Travel Stop #370 (Hubbard),truck-stops,2586 N Main Street,Hubbard,OH,44425,330-534-1800,https://www.loves.com/,"24-hour Love's travel stop on free I-80 at Exit 234 with diesel, Subway/Chester's, showers, laundry, tire and truck service bays and CAT scale.",I-80,234A,yes,yes,yes,yes,yes,yes,yes,yes,yes
Flying J Travel Center #697 (Hubbard),truck-stops,2226 N Main Street,Hubbard,OH,44425,,https://locations.pilotflyingj.com/us/oh/hubbard/2226-north-main-street,"24-hour Pilot Flying J travel center on free I-80 at Exit 234 with diesel, 15 showers, food and truck parking near the Pennsylvania line.",I-80,234B,yes,yes,yes,,yes,,yes,yes,yes
Truck World,truck-stops,6965 Truck World Boulevard,Hubbard,OH,44425,,https://www.truckworldinc.com,"Family-owned independent truck stop on free I-80 at Exit 234 (est. 1971) with ~200 truck spaces, high-speed diesel, full-service restaurant, showers, on-site motel, Blue Beacon wash and a certified scale.",I-80,234,yes,yes,yes,,yes,,,yes,yes
Pilot Travel Center #3 - CAT Scale,cat-scales,1150 N Canfield-Niles Road,Youngstown,OH,44515,330-505-3532,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Pilot travel center on free I-80 at Exit 223 in Youngstown/Austintown.,I-80,223,,,,,,,yes,,
TA Youngstown #058 - CAT Scale,cat-scales,5400 Seventy Six Drive,Youngstown,OH,44515,330-793-4426,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the TA travel center on free I-80 at Exit 223A in Youngstown.,I-80,223A,,,,,,,yes,,
Pilot #281 - CAT Scale,cat-scales,2786 Salt Springs Road,Girard,OH,44420,330-530-8500,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Pilot travel center on free I-80 at Exit 226 in Girard.,I-80,226,,,,,,,yes,,
Petro Girard #320 - CAT Scale,cat-scales,1 Petro Place,Girard,OH,44420,330-505-3700,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Petro/TA stopping center on free I-80 at Exit 226 in Girard.,I-80,226,,,,,,,yes,,
Love's #370 - CAT Scale,cat-scales,2586 N Main Street,Hubbard,OH,44425,330-534-1800,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Love's travel stop on free I-80 at Exit 234 in Hubbard.,I-80,234A,,,,,,,yes,,
Blue Beacon Truck Wash of Girard,truck-washes,2 Petro Place,Girard,OH,44420,330-544-1101,https://bluebeacon.com,Blue Beacon truck/trailer wash located at the Petro Stopping Center on free I-80 at Exit 226 in Girard.,I-80,226,,,,,,,,yes,
Blue Beacon Truck Wash of Hubbard (Truck World),truck-washes,Truck World Boulevard,Hubbard,OH,44425,,https://bluebeacon.com,Blue Beacon truck/trailer wash located on the Truck World site on free I-80 at Exit 234 in Hubbard.,I-80,234,,,,,,,,,
TA Truck Service - Petro Girard,tire-repair,1 Petro Place,Girard,OH,44420,330-505-3700,https://www.ta-petro.com/location/oh/petro-girard/,On-site TA Truck Service shop (five bays) offering tire sales/repair and mechanical work at the Petro on free I-80 at Exit 226.,I-80,226,,,,,yes,yes,,,
TA Truck Service - Youngstown #058,tire-repair,5400 Seventy Six Drive,Youngstown,OH,44515,330-793-4426,https://www.ta-petro.com/location/oh/ta-youngstown/,On-site TA Truck Service shop (five bays) offering tire and mechanical repair at the TA on free I-80 at Exit 223A.,I-80,223A,,,,,yes,yes,,,
Love's Tire Care - Hubbard #370,tire-repair,2586 N Main Street,Hubbard,OH,44425,330-534-1800,https://www.loves.com/,Love's truck service bays providing tire repair/replacement and light mechanical work at the Love's on free I-80 at Exit 234.,I-80,234A,,,,,yes,yes,,,
TA Truck Service RoadSquad (Youngstown),roadside-service,5400 Seventy Six Drive,Youngstown,OH,44515,330-793-4426,https://www.ta-petro.com/location/oh/ta-youngstown/,24-hour emergency roadside assistance (RoadSquad) dispatched from the TA/Petro truck service shops serving the I-80 Youngstown-Girard corridor.,I-80,223A,,,,,,yes,,,
"I-80 Weigh Station (Hubbard, Westbound)",weigh-stations,,Hubbard,OH,44425,,https://www.coopsareopen.com/ohio-truck-scale-667.html,"Westbound-only truck weigh/inspection station on free I-80 near Hubbard, about 2.5 miles west of OH-7 (approx. milepost 232), just inside the Pennsylvania line.",I-80,MM 232 WB,,,,,,,,,
Travelodge by Wyndham at Truck World,hotels-truck-parking,Truck World Boulevard,Hubbard,OH,44425,,https://www.truckworldinc.com/travelodge,"Motel on the Truck World truck-stop property at free I-80 Exit 234 in Hubbard, adjacent to the large truck parking lot.",I-80,234,,yes,,,yes,,,yes,
