name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Sinclair Truck Stop (Wendover),truck-stops,Wendover,UT,sinclair-truck-stop-wendover-wendover-ut,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sinclair - Delle (Delle City Station),truck-stops,Delle,UT,sinclair-delle-delle-city-station-delle-ut,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Tooele,truck-stops,Lake Point,UT,ta-tooele-lake-point-ut,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #436,truck-stops,Salt Lake City,UT,love-s-travel-stop-436-salt-lake-city-ut,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - TA Tooele,cat-scales,Lake Point,UT,cat-scale-ta-tooele-lake-point-ut,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Love's #436 Salt Lake City,cat-scales,Salt Lake City,UT,cat-scale-love-s-436-salt-lake-city-salt-lake-city-ut,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash - Lake Point,truck-washes,Lake Point,UT,blue-beacon-truck-wash-lake-point-lake-point-ut,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Wendover Port of Entry,weigh-stations,Wendover,UT,wendover-port-of-entry-wendover-ut,,62,Needs work,needs-geocoding,,import-unpublished,"completeness 62, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
Bonneville Salt Flats Rest Area,parking,Wendover,UT,bonneville-salt-flats-rest-area-wendover-ut,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Grassy Mountain Rest Area,parking,Clive,UT,grassy-mountain-rest-area-clive-ut,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mastermind Mobile Repair,roadside-service,Lake Point,UT,mastermind-mobile-repair-lake-point-ut,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Website; Verified date; Approved reviews
Holiday Hills,truck-stops,Coalville,UT,holiday-hills-coalville-ut,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Best Western Holiday Hills,hotels-truck-parking,Coalville,UT,best-western-holiday-hills-coalville-ut,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Echo Port of Entry,weigh-stations,Echo,UT,echo-port-of-entry-echo-ut,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Echo Canyon Rest Area / Welcome Center,parking,Echo,UT,echo-canyon-rest-area-welcome-center-echo-ut,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Moore's Chevron & Towing,roadside-service,Coalville,UT,moore-s-chevron-towing-coalville-ut,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Burt Brothers Tire & Service,tire-repair,Coalville,UT,burt-brothers-tire-service-coalville-ut,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Mark's Gas and Diesel Repair,roadside-service,Coalville,UT,mark-s-gas-and-diesel-repair-coalville-ut,,61,Needs work,needs-geocoding,,import-unpublished,"completeness 61, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
