name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Sinclair Truck Stop (Wendover),truck-stops,1 N Bonneville Speedway Rd,Wendover,UT,84083,,https://stations.sinclairoil.com/ut/wendover/exit-4-i-80,"Sinclair-branded truck stop on the Utah side of Wendover at I-80 Exit 4, with diesel fuel lanes, showers, a restaurant, and truck parking.",I-80,4,yes,yes,yes,,yes,,,,
Sinclair - Delle (Delle City Station),truck-stops,70 E I-80,Delle,UT,84029,,https://stations.sinclairoil.com/ut/delle/exit-70-i-80,"Lone fuel and convenience stop in the Bonneville salt-flats stretch, at I-80 Exit 70 in Delle, offering diesel, a convenience store, and restrooms.",I-80,70,,yes,yes,,yes,,,,
TA Tooele,truck-stops,8836 N Highway 40,Lake Point,UT,84074,801-250-8585,https://www.ta-petro.com/location/ut/ta-tooele/,"Full-service TravelCenters of America travel center at I-80 Exit 99 (Lake Point) with Shell diesel, restaurant, showers, truck repair, and a CAT Scale.",I-80,99,yes,yes,yes,,yes,yes,yes,yes,
Love's Travel Stop #436,truck-stops,25 N Redwood Rd,Salt Lake City,UT,84116,801-239-1100,https://www.loves.com/locations/ut/salt-lake-city/loves-travel-stop-salt-lake-city-436,"24-hour Love's Travel Stop at I-80 Exit 118 (Redwood Rd) in western Salt Lake City with diesel, showers, laundry, quick-serve restaurants, and a CAT Scale.",I-80,118,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale - TA Tooele,cat-scales,8836 N Highway 40,Lake Point,UT,84074,801-250-8585,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the TA Tooele travel center at I-80 Exit 99 (Lake Point).,I-80,99,,,,,,,yes,,
CAT Scale - Love's #436 Salt Lake City,cat-scales,25 N Redwood Rd,Salt Lake City,UT,84116,801-239-1100,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Love's Travel Stop #436 at I-80 Exit 118 (Redwood Rd) in Salt Lake City.,I-80,118,,,,,,,yes,,
Blue Beacon Truck Wash - Lake Point,truck-washes,1685 Saddleback Blvd,Lake Point,UT,84074,,https://bluebeacon.com/locations/categories/utah,"Blue Beacon truck and trailer wash serving I-80 Exit 99 (Lake Point/Tooele), adjacent to the TA travel center.",I-80,99,,,,,,,,,
Wendover Port of Entry,weigh-stations,,Wendover,UT,84083,,https://connect.udot.utah.gov/business/motor-carriers/motor-carrier-contacts/motor-carrier-ports-of-entry/,Utah UDOT commercial-vehicle port of entry / weigh station operating in both directions on I-80 just inside the Nevada line between Exits 2 and 4.,I-80,Btwn Exits 2-4,,,,,,,,,
Bonneville Salt Flats Rest Area,parking,,Wendover,UT,,,https://www.utahrestareas.com/ut-i80-utah-interstate-80-salt-flats-rest-area-westbound-mile-marker-10/,"State rest area on I-80 near mile marker 10 east of Wendover (westbound and eastbound facilities) offering restrooms, parking, and Bonneville Salt Flats viewing.",I-80,,,,,,yes,,,,
Grassy Mountain Rest Area,parking,,Clive,UT,,,https://www.utahrestareas.com/ut-i80-utah-interstate-80-grassy-mountain-rest-area-westbound-mile-marker-55/,"Remote state rest area on I-80 near mile marker 54-55 (westbound and eastbound) with restrooms, vending, and truck parking in the salt-flats corridor.",I-80,,,,,,yes,,,,
Mastermind Mobile Repair,roadside-service,,Lake Point,UT,84074,801-508-7023,,"Mobile truck, trailer, tire, and reefer repair service based at Lake Point (I-80 Exit 99) offering 24/7 roadside assistance.",I-80,99,,,,,,yes,,,
