name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Sinclair Truck Stop (Wendover),truck-stops,1 N Bonneville Speedway Rd,Wendover,UT,84083,,https://stations.sinclairoil.com/ut/wendover/exit-4-i-80,"Sinclair-branded truck stop on the Utah side of Wendover at I-80 Exit 4, with diesel fuel lanes, showers, a restaurant, and truck parking.",I-80,4,yes,yes,yes,,yes,,,,
Sinclair - Delle (Delle City Station),truck-stops,70 E I-80,Delle,UT,84029,,https://stations.sinclairoil.com/ut/delle/exit-70-i-80,"Lone fuel and convenience stop in the Bonneville salt-flats stretch, at I-80 Exit 70 in Delle, offering diesel, a convenience store, and restrooms.",I-80,70,,yes,yes,,yes,,,,
TA Tooele,truck-stops,8836 N Highway 40,Lake Point,UT,84074,801-250-8585,https://www.ta-petro.com/location/ut/ta-tooele/,"Full-service TravelCenters of America travel center at I-80 Exit 99 (Lake Point) with Shell diesel, restaurant, showers, truck repair, and a CAT Scale.",I-80,99,yes,yes,yes,,yes,yes,yes,yes,
Love's Travel Stop #436,truck-stops,25 N Redwood Rd,Salt Lake City,UT,84116,801-239-1100,https://www.loves.com/locations/ut/salt-lake-city/loves-travel-stop-salt-lake-city-436,"24-hour Love's Travel Stop at I-80 Exit 118 (Redwood Rd) in western Salt Lake City with diesel, showers, laundry, quick-serve restaurants, and a CAT Scale.",I-80,118,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale - TA Tooele,cat-scales,8836 N Highway 40,Lake Point,UT,84074,801-250-8585,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the TA Tooele travel center at I-80 Exit 99 (Lake Point).,I-80,99,,,,,,,yes,,
CAT Scale - Love's #436 Salt Lake City,cat-scales,25 N Redwood Rd,Salt Lake City,UT,84116,801-239-1100,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Love's Travel Stop #436 at I-80 Exit 118 (Redwood Rd) in Salt Lake City.,I-80,118,,,,,,,yes,,
Blue Beacon Truck Wash - Lake Point,truck-washes,1685 Saddleback Blvd,Lake Point,UT,84074,,https://bluebeacon.com/locations/categories/utah,"Blue Beacon truck and trailer wash serving I-80 Exit 99 (Lake Point/Tooele), adjacent to the TA travel center.",I-80,99,,,,,,,,,
Wendover Port of Entry,weigh-stations,,Wendover,UT,84083,,https://connect.udot.utah.gov/business/motor-carriers/motor-carrier-contacts/motor-carrier-ports-of-entry/,Utah UDOT commercial-vehicle port of entry / weigh station operating in both directions on I-80 just inside the Nevada line between Exits 2 and 4.,I-80,Btwn Exits 2-4,,,,,,,,,
Bonneville Salt Flats Rest Area,parking,,Wendover,UT,,,https://www.utahrestareas.com/ut-i80-utah-interstate-80-salt-flats-rest-area-westbound-mile-marker-10/,"State rest area on I-80 near mile marker 10 east of Wendover (westbound and eastbound facilities) offering restrooms, parking, and Bonneville Salt Flats viewing.",I-80,,,,,,yes,,,,
Grassy Mountain Rest Area,parking,,Clive,UT,,,https://www.utahrestareas.com/ut-i80-utah-interstate-80-grassy-mountain-rest-area-westbound-mile-marker-55/,"Remote state rest area on I-80 near mile marker 54-55 (westbound and eastbound) with restrooms, vending, and truck parking in the salt-flats corridor.",I-80,,,,,,yes,,,,
Mastermind Mobile Repair,roadside-service,,Lake Point,UT,84074,801-508-7023,,"Mobile truck, trailer, tire, and reefer repair service based at Lake Point (I-80 Exit 99) offering 24/7 roadside assistance.",I-80,99,,,,,,yes,,,
Holiday Hills,truck-stops,265 E 100 S,Coalville,UT,84017,435-336-4421,https://rvhills.com/,"Independent fuel stop and convenience mart with an adjacent RV park offering satellite fueling, showers, a deli/grill, and short- and long-term truck/RV parking at I-80 Exit 164 in Coalville.",I-80,164,yes,yes,yes,yes,yes,,,yes,
Best Western Holiday Hills,hotels-truck-parking,120 S 500 W,Coalville,UT,84017,435-336-4444,https://www.bestwestern.com/,"Best Western motel at the Holiday Hills complex off I-80 Exit 164 with free breakfast, Wi-Fi, and semi-truck parking available on site.",I-80,164,,yes,,,yes,,,yes,
Echo Port of Entry,weigh-stations,,Echo,UT,84017,435-336-5286,https://www.udot.utah.gov/connect/business/motor-carriers/motor-carrier-contacts/motor-carrier-ports-of-entry/,"UDOT commercial-vehicle port of entry and weigh station on I-80 near the Wyoming line (around MP 180) that all commercial vehicles, buses, and unlicensed vehicles must enter.",I-80,,,,,,,,,,
Echo Canyon Rest Area / Welcome Center,parking,,Echo,UT,84017,,https://www.utahrestareas.com/ut-i80-utah-interstate-80-echo-canyon-rest-area-eastbound-mile-marker-170/,"State rest area and Utah welcome center in Echo Canyon on I-80 near MP 169-170 (both directions) with restrooms, picnic area, and parking for a break.",I-80,,,,,,yes,,,,
Moore's Chevron & Towing,roadside-service,5 N Main St,Coalville,UT,84017,435-336-2140,https://www.moorestowingut.com/,"24-hour heavy-, medium-, and semi-truck towing, winching, and roadside assistance based in Coalville serving the I-80 corridor through Summit County.",I-80,162,,,,,,yes,,,
Burt Brothers Tire & Service,tire-repair,50 S Main St,Coalville,UT,84017,435-336-8473,https://www.burtbrothers.com/tire-shop/coalville-ut,"Full-service tire shop on Main Street in Coalville (just off I-80) offering tire sales, flat repair, rotation, and vehicle service.",I-80,162,,,,,,yes,,,
Mark's Gas and Diesel Repair,roadside-service,,Coalville,UT,84017,307-421-3956,https://marksgasanddieselrepairllc.com/locations/tire-sales-repair-coalville-ut,24/7 mobile truck and diesel repair and tire service covering the Coalville area and the I-80 corridor into Wyoming.,I-80,,,,,,,yes,,,
