name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #301,truck-stops,Post Falls,ID,love-s-travel-stop-301-post-falls-id,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #639,truck-stops,Post Falls,ID,flying-j-travel-center-639-post-falls-id,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - Love's Travel Stop #301,cat-scales,Post Falls,ID,cat-scale-love-s-travel-stop-301-post-falls-id,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Flying J Travel Center #639,cat-scales,Post Falls,ID,cat-scale-flying-j-travel-center-639-post-falls-id,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Junction Quick Stop,truck-stops,Cataldo,ID,junction-quick-stop-cataldo-id,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Truck Care - Post Falls,tire-repair,Post Falls,ID,love-s-truck-care-post-falls-post-falls-id,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
A1 Truck Wash,truck-washes,Post Falls,ID,a1-truck-wash-post-falls-id,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
Jim's Towing & Truck Repair,roadside-service,Kellogg,ID,jim-s-towing-truck-repair-kellogg-id,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Huetter Port of Entry,weigh-stations,Coeur d'Alene,ID,huetter-port-of-entry-coeur-d-alene-id,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Huetter Rest Area (Westbound),parking,Coeur d'Alene,ID,huetter-rest-area-westbound-coeur-d-alene-id,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Huetter Welcome Center (Eastbound),parking,Coeur d'Alene,ID,huetter-welcome-center-eastbound-coeur-d-alene-id,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
