name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #301,truck-stops,4208 W Expo Pkwy,Post Falls,ID,83854,208-773-4577,https://www.loves.com/locations/301,"24-hour Love's Travel Stop at I-90 Exit 2 with roughly 85 truck parking spaces, 8 diesel lanes, showers, a CAT Scale, and an on-site Carl's Jr.",I-90,2,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #639,truck-stops,3636 W 5th Ave,Post Falls,ID,83854,208-773-0593,https://locations.pilotflyingj.com/us/id/post-falls/3636-w-5th-ave,"Pilot Flying J travel plaza at I-90 Exit 2 with about 100 truck parking spaces, diesel lanes, showers, a CAT Scale, and a convenience store/restaurant.",I-90,2,yes,yes,yes,,yes,,yes,yes,
CAT Scale - Love's Travel Stop #301,cat-scales,4208 W Expo Pkwy,Post Falls,ID,83854,208-773-4577,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Love's Travel Stop on I-90 Exit 2 in Post Falls.,I-90,2,,,,,,,yes,,
CAT Scale - Flying J Travel Center #639,cat-scales,3636 W 5th Ave,Post Falls,ID,83854,208-773-0593,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Flying J travel plaza on I-90 Exit 2 in Post Falls.,I-90,2,,,,,,,yes,,
Junction Quick Stop,truck-stops,11550 S Highway 3,Cataldo,ID,83810,208-682-2405,,"Small 24-hour Conoco truck stop about a mile south of I-90 Exit 34 with 24-hour diesel, a deli, and truck parking on a paved, lighted lot.",I-90,34,,yes,yes,,yes,,,,
Love's Truck Care - Post Falls,tire-repair,4208 W Expo Pkwy,Post Falls,ID,83854,208-773-4577,https://www.loves.com/locations/301,"Love's Truck Care shop at the Post Falls Love's (I-90 Exit 2) offering tire service, light mechanical repair, and 24-hour roadside assistance.",I-90,2,,,yes,,,yes,,,
A1 Truck Wash,truck-washes,3875 W 5th Ave,Post Falls,ID,83854,208-773-2121,,Truck and RV wash on W 5th Ave near I-90 Exit 2 in Post Falls (also listed as Splash-N-Dash / Classic Truck RV Wash at the same address).,I-90,2,,,,,,,,,
Jim's Towing & Truck Repair,roadside-service,,Kellogg,ID,,208-682-9800,https://jimstowing.org/,"Mobile truck repair, heavy-duty towing, and 24-hour roadside service covering I-90 through the Silver Valley in northern Idaho.",I-90,,,,,,,yes,,,
Huetter Port of Entry,weigh-stations,,Coeur d'Alene,ID,83815,208-769-1551,https://itd.idaho.gov/dmv/port-of-entry/,"Idaho Transportation Department commercial-vehicle port of entry/weigh station on I-90 eastbound near milepost 8, about two miles west of Coeur d'Alene, with weigh-in-motion bypass.",I-90,,,,,,,,,,
Huetter Rest Area (Westbound),parking,,Coeur d'Alene,ID,,,https://itd.idaho.gov/roadside-maintenance/rest-areas/,"I-90 westbound rest area near milepost 8 with separate truck parking and restrooms; ITD has flagged full closure for reconstruction beginning summer 2026, so confirm status before relying on it.",I-90,,,,,,yes,,,,
Huetter Welcome Center (Eastbound),parking,,Coeur d'Alene,ID,,,https://itd.idaho.gov/roadside-maintenance/rest-areas/,"I-90 eastbound welcome center/rest area near milepost 8 with separate truck and passenger parking and restrooms; subject to the same 2026 reconstruction closure, so verify before use.",I-90,,,,,,yes,,,,
