name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Pilot Travel Center #222,truck-stops,400 Haynes St,Sturbridge,MA,01566,508-347-9104,https://locations.pilotflyingj.com/us/ma/sturbridge/400-haynes-st,"Major truck stop at the I-90/I-84 interchange (I-90 Exit 78 / I-84 Exit 1) serving the Mass Pike Sturbridge area, with about 125 truck parking spaces, 8 diesel lanes, 6 showers, a CAT Scale and bulk DEF.",I-90,78,yes,yes,yes,,yes,,yes,yes,
CAT Scale at Pilot Sturbridge,cat-scales,400 Haynes St,Sturbridge,MA,01566,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Sturbridge Pilot Travel Center near the I-90/I-84 junction.,I-90,78,,,,,,,yes,,
New England Truck Stop,truck-stops,201 Charlton Rd,Sturbridge,MA,01566,508-347-7363,,"Independent truck stop near the Sturbridge Mass Pike interchange with about 35 truck parking spaces, 5 showers, a deli/restaurant, laundromat, lounge, scales and engine/road repair.",I-90,78,yes,yes,yes,yes,yes,yes,,,
Charlton Service Plaza (Eastbound),parking,,Charlton,MA,01507,508-248-9579,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike eastbound service plaza (between Exits 9 and 10) with Gulf fuel, a food court (McDonald's, Papa Gino's, D'Angelo, Fresh City, Auntie Anne's), restrooms and truck parking.",I-90,MP 80,,yes,yes,,yes,,,,
Charlton Service Plaza (Westbound),parking,,Charlton,MA,01507,,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike westbound service plaza (between Exits 9 and 10) with Gulf fuel (4 fuel lanes), food, restrooms and truck parking; the largest Mass Pike plaza with truck parking.",I-90,MP 84,,yes,yes,,yes,,,,
Framingham Service Plaza (Westbound),parking,,Framingham,MA,01701,,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike westbound service plaza with Gulf fuel, McDonald's, a large convenience store, restrooms and truck parking, open 24/7.",I-90,MP 114,,yes,yes,,yes,,,,
Natick Service Plaza (Eastbound),parking,,Natick,MA,,,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike eastbound service plaza with Gulf fuel, food (McDonald's, Dunkin, deli), a travel store, restrooms and a small number of truck parking spaces, open 24/7.",I-90,MP 117,,yes,yes,,yes,,,,
Commercial Truck Tire Center - Worcester,tire-repair,641 Cambridge St,Worcester,MA,01610,508-798-8900,,"Commercial/OTR truck tire dealer (Bridgestone/Firestone) in Worcester near the I-90/I-290 corridor, with tire sales, service and after-hours emergency road service.",I-90,,,,,,,yes,,,
Matthews Truck Service & Heavy Duty Towing,roadside-service,29 Legate Hill Rd,Sterling,MA,01564,978-422-0079,https://www.matthewstruckservice.com,"Heavy-duty truck and trailer repair, towing and recovery, and mobile road service marketed to the Worcester / I-90 area (based in nearby Sterling).",I-90,,,,,,,yes,,,
Super 8 by Wyndham Sturbridge,hotels-truck-parking,,Sturbridge,MA,,,,Budget hotel near the Sturbridge I-90/I-84 interchange listed as offering truck/large-vehicle parking.,I-90,78,,,,,,,,yes,
