name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Lee Service Plaza,parking,,Lee,MA,01238,,https://www.applegreen.com/locations/,"Mass Pike (I-90) service plaza near the NY-line end of the western Turnpike, between Exits 6 (West Stockbridge) and 10 (Lee), with Gulf fuel/diesel, food, restrooms and truck parking; operated by Applegreen for MassDOT.",I-90,MP 10,,yes,yes,,yes,,,,
Blandford Service Plaza (Eastbound),parking,,Blandford,MA,01008,,https://www.applegreen.com/locations/,"Eastbound Mass Pike (I-90) service plaza in the Blandford hilltowns with Gulf 24-hour diesel, a McDonald's/convenience store and restrooms; limited truck parking. Operated by Applegreen for MassDOT.",I-90,MP 26,,yes,yes,,yes,,,,
Blandford Service Plaza (Westbound),parking,50 Massachusetts Tpke,Blandford,MA,01008,,https://www.applegreen.com/locations/,"Westbound Mass Pike (I-90) service plaza with Gulf Express 24-hour diesel, McDonald's, a deli/convenience store, restrooms and a lighted/paved lot (limited truck parking). Operated by Applegreen for MassDOT.",I-90,MP 29,,yes,yes,,yes,,,,
Ludlow Service Plaza (Eastbound),parking,862 Massachusetts Turnpike,Ludlow,MA,01056,,https://www.applegreen.com/locations/ludlow-east/,"Eastbound Mass Pike (I-90) service plaza near Exit 54 (Ludlow) at MP 55 with fuel, food, restrooms and truck parking; operated by Applegreen for MassDOT.",I-90,MP 55,,yes,yes,,yes,,,,
Ludlow Service Plaza (Westbound),parking,,Ludlow,MA,01056,,https://www.applegreen.com/locations/ludlow-west/,"Westbound Mass Pike (I-90) service plaza near Exit 54 (Ludlow) at MP 55 with fuel, food, restrooms and truck parking; operated by Applegreen for MassDOT.",I-90,MP 55,,yes,yes,,yes,,,,
Pilot Travel Center #1327,truck-stops,357 Burnett Rd,Chicopee,MA,01020,413-435-4244,https://locations.pilotflyingj.com/us/ma/chicopee/357-burnett-rd,"Pilot travel center off I-90 at the Chicopee/I-291 interchange (Exit 5, formerly Exit 6) with 25 truck spaces, 7 diesel lanes, reservable showers, laundry, Wi-Fi and a CAT Scale; opened 2024.",I-90,5,yes,yes,yes,yes,yes,,yes,yes,
Pride Travel Center - Chicopee,truck-stops,363 Burnett Rd,Chicopee,MA,01020,413-592-6190,https://www.pridestores.com/,"Pride (AmBest) travel center off I-90 at the Chicopee/I-291 interchange with 7 fuel lanes, about 100+ truck parking spaces, showers, laundry, a restaurant, certified scales and an on-site truck wash.",I-90,5,yes,yes,yes,yes,yes,,,,
CAT Scale at Pilot Chicopee,cat-scales,357 Burnett Rd,Chicopee,MA,01020,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Pilot Travel Center off I-90 at the Chicopee/I-291 interchange.,I-90,5,,,,,,,yes,,
Pride Travel Center Truck Wash - Chicopee,truck-washes,363 Burnett Rd,Chicopee,MA,01020,413-592-6190,https://www.pridestores.com/,On-site truck wash at the Pride Travel Center off I-90 at the Chicopee/I-291 interchange.,I-90,5,,,,,,,,,
Commercial Truck Tire Center - West Springfield,tire-repair,1264 Union Street Ext,West Springfield,MA,01089,413-733-8400,https://www.commercialtrucktirecenter.com/,"Commercial and OTR truck tire dealer/service near the West Springfield I-90/I-91 interchange, carrying Michelin, BFGoodrich, Bridgestone and Firestone truck tires.",I-90,45,,,,,,yes,,,
"Red's Towing, Recovery & Transport",roadside-service,1528 Riverdale St,West Springfield,MA,01089,413-734-0101,https://www.redstowing.com/,"Light- and heavy-duty towing, recovery and equipment transport (since 1958) serving I-90 in the West Springfield/Springfield area, available 24/7.",I-90,45,,,,,,yes,,,
Skyline Services,roadside-service,292 Lockhouse Rd,Westfield,MA,01085,,https://www.skylineservicesma.com/,Truck and trailer repair / mobile roadside service near I-90 Exit 41 in Westfield.,I-90,41,,,,,,yes,,,
Hampton Inn Westfield,hotels-truck-parking,39 Southampton Rd,Westfield,MA,01085,413-564-6900,https://www.hilton.com/en/hotels/bdlodhx-hampton-westfield/,"Hotel just off I-90 Exit 41 that offers free self, RV, bus and truck parking (the lot fills with trucks; call to confirm availability).",I-90,41,,,,,,,,yes,
Publick House Historic Inn & Country Motor Lodge,hotels-truck-parking,277 Main St,Sturbridge,MA,01566,,https://publickhouse.com/,"Historic inn/motor lodge near the I-90/I-84 junction offering free RV, bus and truck parking for lodging guests (confirm oversized availability directly).",I-90,9,,yes,,,,,,,
Tri-State CDL Training Center,cdl-schools,255 Liberty St,Springfield,MA,01104,413-788-8800,https://www.tristatecdl.com/,"CDL school (est. 1998) serving the I-90 Springfield corridor with Class A/B training, air brakes and on-site RMV testing.",I-90,,,,,,,,,,
United Tractor Trailer School,cdl-schools,710 Fuller Rd,Chicopee,MA,01020,413-592-1500,,CDL / tractor-trailer training school near the I-90 Chicopee interchange serving the western Massachusetts Turnpike corridor.,I-90,5,,,,,,,,,
Pilot Travel Center #222,truck-stops,400 Haynes St,Sturbridge,MA,01566,508-347-9104,https://locations.pilotflyingj.com/us/ma/sturbridge/400-haynes-st,"Major truck stop at the I-90/I-84 interchange (I-90 Exit 78 / I-84 Exit 1) serving the Mass Pike Sturbridge area, with about 125 truck parking spaces, 8 diesel lanes, 6 showers, a CAT Scale and bulk DEF.",I-90,78,yes,yes,yes,,yes,,yes,yes,
CAT Scale at Pilot Sturbridge,cat-scales,400 Haynes St,Sturbridge,MA,01566,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Sturbridge Pilot Travel Center near the I-90/I-84 junction.,I-90,78,,,,,,,yes,,
New England Truck Stop,truck-stops,201 Charlton Rd,Sturbridge,MA,01566,508-347-7363,,"Independent truck stop near the Sturbridge Mass Pike interchange with about 35 truck parking spaces, 5 showers, a deli/restaurant, laundromat, lounge, scales and engine/road repair.",I-90,78,yes,yes,yes,yes,yes,yes,,,
Charlton Service Plaza (Eastbound),parking,,Charlton,MA,01507,508-248-9579,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike eastbound service plaza (between Exits 9 and 10) with Gulf fuel, a food court (McDonald's, Papa Gino's, D'Angelo, Fresh City, Auntie Anne's), restrooms and truck parking.",I-90,MP 80,,yes,yes,,yes,,,,
Charlton Service Plaza (Westbound),parking,,Charlton,MA,01507,,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike westbound service plaza (between Exits 9 and 10) with Gulf fuel (4 fuel lanes), food, restrooms and truck parking; the largest Mass Pike plaza with truck parking.",I-90,MP 84,,yes,yes,,yes,,,,
Framingham Service Plaza (Westbound),parking,,Framingham,MA,01701,,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike westbound service plaza with Gulf fuel, McDonald's, a large convenience store, restrooms and truck parking, open 24/7.",I-90,MP 114,,yes,yes,,yes,,,,
Natick Service Plaza (Eastbound),parking,,Natick,MA,,,https://www.mass.gov/info-details/service-plaza-locations,"Mass Pike eastbound service plaza with Gulf fuel, food (McDonald's, Dunkin, deli), a travel store, restrooms and a small number of truck parking spaces, open 24/7.",I-90,MP 117,,yes,yes,,yes,,,,
Commercial Truck Tire Center - Worcester,tire-repair,641 Cambridge St,Worcester,MA,01610,508-798-8900,,"Commercial/OTR truck tire dealer (Bridgestone/Firestone) in Worcester near the I-90/I-290 corridor, with tire sales, service and after-hours emergency road service.",I-90,,,,,,,yes,,,
Matthews Truck Service & Heavy Duty Towing,roadside-service,29 Legate Hill Rd,Sterling,MA,01564,978-422-0079,https://www.matthewstruckservice.com,"Heavy-duty truck and trailer repair, towing and recovery, and mobile road service marketed to the Worcester / I-90 area (based in nearby Sterling).",I-90,,,,,,,yes,,,
Super 8 by Wyndham Sturbridge,hotels-truck-parking,,Sturbridge,MA,,,,Budget hotel near the Sturbridge I-90/I-84 interchange listed as offering truck/large-vehicle parking.,I-90,78,,,,,,,,yes,
