name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Minnesota Welcome Center & Rest Area (Beaver Creek),parking,Beaver Creek,MN,minnesota-welcome-center-rest-area-beaver-creek-beaver-creek-mn,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Adrian Rest Area,parking,Adrian,MN,adrian-rest-area-adrian-mn,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Casey's General Store - Luverne,truck-stops,Luverne,MN,casey-s-general-store-luverne-luverne-mn,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Casey's #3263 - Worthington,truck-stops,Worthington,MN,casey-s-3263-worthington-worthington-mn,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Worthington Travel Plaza,truck-stops,Worthington,MN,worthington-travel-plaza-worthington-mn,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Worthington Travel Plaza,cat-scales,Worthington,MN,cat-scale-at-worthington-travel-plaza-worthington-mn,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Line Travel Center,truck-stops,Worthington,MN,blue-line-travel-center-worthington-mn,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Worthington Weigh Station,weigh-stations,Worthington,MN,worthington-weigh-station-worthington-mn,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Vet's Whoa N Go,truck-stops,Jackson,MN,vet-s-whoa-n-go-jackson-mn,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Casey's General Store - Sherburn,truck-stops,Sherburn,MN,casey-s-general-store-sherburn-sherburn-mn,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip #424 - Fairmont,truck-stops,Fairmont,MN,kwik-trip-424-fairmont-fairmont-mn,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip #646 - Blue Earth,truck-stops,Blue Earth,MN,kwik-trip-646-blue-earth-blue-earth-mn,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Blue Earth Auto/Truck Stop,truck-stops,Blue Earth,MN,blue-earth-auto-truck-stop-blue-earth-mn,,49,Needs work,needs-geocoding,,import-unpublished,"completeness 49, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Blue Earth Rest Area,parking,Blue Earth,MN,blue-earth-rest-area-blue-earth-mn,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
