name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Missoula (TravelCenters of America #256),truck-stops,Missoula,MT,ta-missoula-travelcenters-of-america-256-missoula-mt,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J / Town Pump #914,truck-stops,Missoula,MT,flying-j-town-pump-914-missoula-mt,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Town Pump #911 Superior,truck-stops,Superior,MT,town-pump-911-superior-superior-mt,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
St. Regis Travel Center (Conoco/Phillips 66),truck-stops,Saint Regis,MT,st-regis-travel-center-conoco-phillips-66-saint-regis-mt,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Cenex St. Regis,truck-stops,Saint Regis,MT,cenex-st-regis-saint-regis-mt,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fic's Plaza (I-90 Auto/Truck Plaza),truck-stops,Deer Lodge,MT,fic-s-plaza-i-90-auto-truck-plaza-deer-lodge-mt,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - Missoula (Exit 96),cat-scales,Missoula,MT,cat-scale-missoula-exit-96-missoula-mt,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Exit 96 Shine Truck & RV Wash,truck-washes,Missoula,MT,exit-96-shine-truck-rv-wash-missoula-mt,,67,Good,needs-geocoding,,ready-to-publish,completeness 67 with address,Verified coordinates; Amenities; Verified date; Approved reviews
American Truck Wash,truck-washes,Missoula,MT,american-truck-wash-missoula-mt,,53,Needs work,needs-geocoding,,import-unpublished,completeness 53 — enrich before publishing,Exit number; Verified coordinates; Website; Amenities; Verified date; Approved reviews
Pomp's Tire Service - Missoula,tire-repair,Missoula,MT,pomp-s-tire-service-missoula-missoula-mt,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Montana Roadside Services,roadside-service,Missoula,MT,montana-roadside-services-missoula-mt,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,Exit number; Verified coordinates; Phone; Website; Verified date; Approved reviews
