name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Missoula (TravelCenters of America #256),truck-stops,8018 Hwy 93 N,Missoula,MT,59808,406-549-2327,https://www.ta-petro.com/location/mt/ta-missoula/,"Full-service 24-hour travel center at the Hwy 93/I-90 junction (the Wye) with truck parking, showers, deli, laundry, service bays and CAT scale.",I-90,96,yes,yes,yes,yes,yes,yes,yes,yes,
Flying J / Town Pump #914,truck-stops,8745 Hwy 93 N,Missoula,MT,59808,,https://locations.pilotflyingj.com/us/mt/missoula/8745-hwy-93-n,"Town Pump-operated Flying J travel plaza near I-90 Exit 96 with diesel lanes, truck parking, McDonald's, showers and laundry.",I-90,96,yes,yes,yes,yes,yes,,,,
Town Pump #911 Superior,truck-stops,403 Diamond Road,Superior,MT,59872,,,"24-hour Town Pump truck stop at Exit 47 with diesel lanes, showers, casino, ATM, laundry and bulk DEF.",I-90,47,yes,yes,yes,yes,yes,,,,
St. Regis Travel Center (Conoco/Phillips 66),truck-stops,,Saint Regis,MT,59866,,https://www.conoco.com/,"Conoco-branded travel center at Exit 33 serving fuel, food and restrooms to travelers and truck traffic on the MT-135 junction.",I-90,33,,yes,yes,,yes,,,,
Cenex St. Regis,truck-stops,85 Old Highway 10 E,Saint Regis,MT,59866,,https://www.cenex.com/locations,"Cenex fuel station at Exit 33 in St. Regis offering regular, midgrade, premium and diesel.",I-90,33,,,yes,,yes,,,,
Fic's Plaza (I-90 Auto/Truck Plaza),truck-stops,1220 N Main St,Deer Lodge,MT,59722,,https://www.fickleroilcompany.com/fics-plaza,"Locally owned 24-hour Fickler Oil truck stop at Exit 184 with 19 diesel pumps, DEF, restrooms and food outlets; the only truck stop in Deer Lodge.",I-90,184,,yes,yes,,yes,,,,
CAT Scale - Missoula (Exit 96),cat-scales,8018 Hwy 93 N,Missoula,MT,59808,,https://catscale.com/cat-scale-locator/,Certified CAT Scale (#1753) located at the I-90 Exit 96 truck stop cluster on Hwy 93 N in Missoula.,I-90,96,,,,,,,yes,,
Exit 96 Shine Truck & RV Wash,truck-washes,8686 Aluminum Drive,Missoula,MT,59808,406-206-5148,https://www.exit96shine.com/,Automated truck and RV wash near I-90 Exit 96 in Missoula.,I-90,96,,,,,,,,,
American Truck Wash,truck-washes,1400 Stoddard St,Missoula,MT,59802,406-728-2170,,Truck wash facility in Missoula off the I-90 corridor.,I-90,,,,,,,,,,
Pomp's Tire Service - Missoula,tire-repair,3002 W Broadway St,Missoula,MT,59808,406-721-1030,https://locations.pompstire.com/mt/missoula/3002-w-broadway-street/commercial-farm-otr,Commercial and OTR tire dealer in Missoula offering 24-hour roadside truck tire service and retreading.,I-90,,,,,,,yes,,,
Montana Roadside Services,roadside-service,1900 North Ave W,Missoula,MT,59801,,,24-hour mobile truck and trailer repair / roadside service based in Missoula covering the I-90 corridor.,I-90,,,,,,,yes,,,
Saltese (Haugan) Eastbound Weigh Station,weigh-stations,,Haugan,MT,,,,"Eastbound I-90 weigh station near Haugan (around milepost 15), the first Montana scale east of the Idaho line.",I-90,,,,,,,,,,
Dena Mora Rest Area (Lookout Pass),parking,,Saltese,MT,,,https://www.mdt.mt.gov/travinfo/restarea.aspx,"MDT rest area with both eastbound and westbound facilities near milepost 4-5, just inside the Idaho line at Lookout Pass.",I-90,,,,,,yes,,,,
Quartz Flats Rest Area,parking,,Superior,MT,,,https://www.mdt.mt.gov/travinfo/restarea.aspx,MDT rest area roughly 58 miles from the Idaho border between St. Regis and Alberton with truck parking and restrooms.,I-90,,,,,,yes,,,,
