name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Missoula (TravelCenters of America #256),truck-stops,8018 Hwy 93 N,Missoula,MT,59808,406-549-2327,https://www.ta-petro.com/location/mt/ta-missoula/,"Full-service 24-hour travel center at the Hwy 93/I-90 junction (the Wye) with truck parking, showers, deli, laundry, service bays and CAT scale.",I-90,96,yes,yes,yes,yes,yes,yes,yes,yes,
Flying J / Town Pump #914,truck-stops,8745 Hwy 93 N,Missoula,MT,59808,,https://locations.pilotflyingj.com/us/mt/missoula/8745-hwy-93-n,"Town Pump-operated Flying J travel plaza near I-90 Exit 96 with diesel lanes, truck parking, McDonald's, showers and laundry.",I-90,96,yes,yes,yes,yes,yes,,,,
Town Pump #911 Superior,truck-stops,403 Diamond Road,Superior,MT,59872,,,"24-hour Town Pump truck stop at Exit 47 with diesel lanes, showers, casino, ATM, laundry and bulk DEF.",I-90,47,yes,yes,yes,yes,yes,,,,
St. Regis Travel Center (Conoco/Phillips 66),truck-stops,,Saint Regis,MT,59866,,https://www.conoco.com/,"Conoco-branded travel center at Exit 33 serving fuel, food and restrooms to travelers and truck traffic on the MT-135 junction.",I-90,33,,yes,yes,,yes,,,,
Cenex St. Regis,truck-stops,85 Old Highway 10 E,Saint Regis,MT,59866,,https://www.cenex.com/locations,"Cenex fuel station at Exit 33 in St. Regis offering regular, midgrade, premium and diesel.",I-90,33,,,yes,,yes,,,,
Fic's Plaza (I-90 Auto/Truck Plaza),truck-stops,1220 N Main St,Deer Lodge,MT,59722,,https://www.fickleroilcompany.com/fics-plaza,"Locally owned 24-hour Fickler Oil truck stop at Exit 184 with 19 diesel pumps, DEF, restrooms and food outlets; the only truck stop in Deer Lodge.",I-90,184,,yes,yes,,yes,,,,
CAT Scale - Missoula (Exit 96),cat-scales,8018 Hwy 93 N,Missoula,MT,59808,,https://catscale.com/cat-scale-locator/,Certified CAT Scale (#1753) located at the I-90 Exit 96 truck stop cluster on Hwy 93 N in Missoula.,I-90,96,,,,,,,yes,,
Exit 96 Shine Truck & RV Wash,truck-washes,8686 Aluminum Drive,Missoula,MT,59808,406-206-5148,https://www.exit96shine.com/,Automated truck and RV wash near I-90 Exit 96 in Missoula.,I-90,96,,,,,,,,,
American Truck Wash,truck-washes,1400 Stoddard St,Missoula,MT,59802,406-728-2170,,Truck wash facility in Missoula off the I-90 corridor.,I-90,,,,,,,,,,
Pomp's Tire Service - Missoula,tire-repair,3002 W Broadway St,Missoula,MT,59808,406-721-1030,https://locations.pompstire.com/mt/missoula/3002-w-broadway-street/commercial-farm-otr,Commercial and OTR tire dealer in Missoula offering 24-hour roadside truck tire service and retreading.,I-90,,,,,,,yes,,,
Montana Roadside Services,roadside-service,1900 North Ave W,Missoula,MT,59801,,,24-hour mobile truck and trailer repair / roadside service based in Missoula covering the I-90 corridor.,I-90,,,,,,,yes,,,
Saltese (Haugan) Eastbound Weigh Station,weigh-stations,,Haugan,MT,,,,"Eastbound I-90 weigh station near Haugan (around milepost 15), the first Montana scale east of the Idaho line.",I-90,,,,,,,,,,
Dena Mora Rest Area (Lookout Pass),parking,,Saltese,MT,,,https://www.mdt.mt.gov/travinfo/restarea.aspx,"MDT rest area with both eastbound and westbound facilities near milepost 4-5, just inside the Idaho line at Lookout Pass.",I-90,,,,,,yes,,,,
Quartz Flats Rest Area,parking,,Superior,MT,,,https://www.mdt.mt.gov/travinfo/restarea.aspx,MDT rest area roughly 58 miles from the Idaho border between St. Regis and Alberton with truck parking and restrooms.,I-90,,,,,,yes,,,,
Town Pump - Deer Lodge,truck-stops,203 N Main St,Deer Lodge,MT,59722,,https://www.townpump.com,Town Pump fuel and convenience store just off I-90 Exit 184 (Exit 187 eastbound) in Deer Lodge.,I-90,184,,yes,yes,,yes,,,,
Town Pump / Pilot #908,truck-stops,1000 Grizzly Trail,Butte,MT,59701,,https://www.townpump.com,"Large 24-hour Pilot-branded Town Pump travel center at the Rocker interchange on the I-90/I-15 concurrency west of Butte, with 12 diesel lanes, 10 showers, CAT scale and multiple fast-food outlets.",I-90,122,yes,yes,yes,yes,yes,,yes,yes,
Flying J Travel Plaza #924 (Town Pump),truck-stops,122000 W Browns Gulch Rd,Butte,MT,59701,,https://locations.pilotflyingj.com/us/mt/butte/122000-browns-gulch-rd,"Flying J-branded Town Pump travel plaza on the I-90/I-15 concurrency at the Rocker/Browns Gulch interchange near Butte, with diesel lanes, showers, DEF and truck parking.",I-90,122,yes,,yes,yes,yes,,,,
Town Pump Exxon - Whitehall,truck-stops,415 N Whitehall St,Whitehall,MT,59759,406-287-5630,https://www.townpump.com,"24-hour Town Pump truck stop at I-90 Exit 249 in Whitehall with a Subway, trucker lounge, showers and limited truck parking.",I-90,249,yes,yes,yes,yes,yes,,,,
Town Pump / Pilot #910 - Three Forks,truck-stops,10800 US-287,Three Forks,MT,59752,406-285-3807,https://www.townpump.com,"Pilot-branded Town Pump travel center at I-90 Exit 274 (US-287) with roughly 90 parking spaces, 9 fuel lanes, 7 showers and a CAT scale.",I-90,274,yes,yes,yes,yes,yes,,yes,yes,
Town Pump / Pilot #1013 - Belgrade,truck-stops,561 Business Hub Dr,Belgrade,MT,59714,406-924-6990,https://www.townpump.com,"24-hour Pilot-branded Town Pump travel center at I-90 Exit 298 in Belgrade with 9 fuel lanes, 5 showers, laundry and a CAT scale.",I-90,298,yes,yes,yes,yes,yes,,yes,yes,
Flying J Travel Plaza - Belgrade,truck-stops,6505 Jackrabbit Ln,Belgrade,MT,59714,,https://broadwaygroup.com/locations/belgrade-truck-stop/,"Broadway-operated Flying J travel plaza at I-90 Exit 298 with about 125 truck parking spaces, 6 diesel lanes, showers, laundry and the Broadway Diner.",I-90,298,yes,yes,yes,yes,yes,,,,
Town Pump Truck Stop - Bozeman,truck-stops,,Bozeman,MT,,,https://www.townpump.com,"Town Pump truck stop serving I-90 traffic in Bozeman, listed in commercial truck-stop directories (exact street address unverified).",I-90,,,yes,yes,,yes,,,,
Town Pump (Conoco) - Livingston,truck-stops,2200 Park St S,Livingston,MT,59047,406-222-5527,https://www.townpump.com,"Conoco-branded Town Pump with 24-hour diesel, deli, showers and overnight parking at I-90 Exit 333 in Livingston.",I-90,333,yes,yes,yes,,yes,,,yes,
Town Pump #922 - Big Timber,truck-stops,510 W 1st Ave,Big Timber,MT,59011,,https://www.townpump.com,"Town Pump truck stop at I-90 Exit 367 in Big Timber with diesel, showers, laundry, restaurant, tire sales/repair and a co-located Super 8 motel.",I-90,367,yes,yes,yes,yes,yes,yes,,yes,
CAT Scale - Town Pump/Pilot #908 (Rocker),cat-scales,1000 Grizzly Trail,Butte,MT,59701,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Pilot/Town Pump travel center at the Rocker interchange on the I-90/I-15 concurrency near Butte.,I-90,122,,,,,,,yes,,
