name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #833,truck-stops,Ripley,NY,love-s-travel-stop-833-ripley-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Love's Ripley,cat-scales,Ripley,NY,cat-scale-at-love-s-ripley-ripley-ny,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Kwik Fill #380 - Fredonia,truck-stops,Fredonia,NY,kwik-fill-380-fredonia-fredonia-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Angola Service Area,parking,Angola,NY,angola-service-area-angola-ny,,59,Needs work,needs-geocoding,,import-unpublished,"completeness 59, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Pembroke #194,truck-stops,Corfu,NY,ta-pembroke-194-corfu-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #693,truck-stops,Pembroke,NY,flying-j-travel-center-693-pembroke-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pembroke Service Area (Eastbound),parking,Corfu,NY,pembroke-service-area-eastbound-corfu-ny,,63,Needs work,needs-geocoding,,import-unpublished,"completeness 63, no address — enrich before publishing",Street address; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
490 Truck Stop,truck-stops,Le Roy,NY,490-truck-stop-le-roy-ny,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Fill #85 - Cheektowaga,truck-stops,Cheektowaga,NY,kwik-fill-85-cheektowaga-cheektowaga-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
J & J Truck Wash and Repair,truck-washes,Buffalo,NY,j-j-truck-wash-and-repair-buffalo-ny,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
McCarthy Tire Service - Buffalo,tire-repair,Buffalo,NY,mccarthy-tire-service-buffalo-buffalo-ny,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Mobile Tire Depot - Buffalo,tire-repair,Buffalo,NY,mobile-tire-depot-buffalo-buffalo-ny,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Bach's Towing & Recovery,roadside-service,Buffalo,NY,bach-s-towing-recovery-buffalo-ny,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Rusiniak's Service Inc.,roadside-service,Cheektowaga,NY,rusiniak-s-service-inc-cheektowaga-ny,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
160 Driving Academy - Buffalo,cdl-schools,Buffalo,NY,160-driving-academy-buffalo-buffalo-ny,,44,Needs work,needs-geocoding,,import-unpublished,"completeness 44, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Love's Travel Stop #820,truck-stops,Waterloo,NY,love-s-travel-stop-820-waterloo-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #380,truck-stops,Liverpool,NY,pilot-travel-center-380-liverpool-ny,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
The Pit Stop Auto/Truck Plaza,truck-stops,Weedsport,NY,the-pit-stop-auto-truck-plaza-weedsport-ny,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Nice N Easy - Canastota,truck-stops,Canastota,NY,nice-n-easy-canastota-canastota-ny,,45,Needs work,needs-geocoding,,import-unpublished,"completeness 45, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sav-On Diesel,truck-stops,Verona,NY,sav-on-diesel-verona-ny,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
North Utica Citgo,truck-stops,Utica,NY,north-utica-citgo-utica-ny,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fastrac - Herkimer,truck-stops,Herkimer,NY,fastrac-herkimer-herkimer-ny,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Love's Waterloo,cat-scales,Waterloo,NY,cat-scale-at-love-s-waterloo-waterloo-ny,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Pilot Liverpool,cat-scales,Liverpool,NY,cat-scale-at-pilot-liverpool-liverpool-ny,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Ontario Service Area,parking,Victor,NY,ontario-service-area-victor-ny,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Clifton Springs Service Area,parking,Clifton Springs,NY,clifton-springs-service-area-clifton-springs-ny,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
