name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #833,truck-stops,6201 Shortman Rd,Ripley,NY,14775,716-736-2023,https://www.loves.com/locations/ny/ripley/loves-travel-stop-ripley-833,"Full-service truck stop at the PA state line (I-90 Exit 61) with about 73 truck parking spaces, 8 fuel lanes, 24-hour diesel/DEF, showers, laundry, a deli/fast food and a CAT Scale.",I-90,61,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Love's Ripley,cat-scales,6201 Shortman Rd,Ripley,NY,14775,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Love's Travel Stop #833 at I-90 Exit 61 near the PA line.,I-90,61,,,,,,,yes,,
Kwik Fill #380 - Fredonia,truck-stops,10419 Bennett Rd,Fredonia,NY,14063,716-672-8740,https://www.kwikfill.com/stores,"24-hour Kwik Fill fuel stop at I-90 Exit 59 (Dunkirk/Fredonia) with diesel, a C-store and propane; a fuel/convenience stop with limited to no overnight truck parking.",I-90,59,,yes,yes,,yes,,,,
Angola Service Area,parking,,Angola,NY,,716-780-3775,https://www.applegreen.com/locations/angola/,"Rebuilt (2025) Applegreen-operated NY Thruway service plaza at milepost 447 serving both directions between Exit 57A (Eden-Angola) and Exit 58 (Silver Creek), with 24-hour high-speed diesel, truck/bus/RV parking, a food court and a C-store.",I-90,MP 447,,yes,yes,,yes,,,yes,
TA Pembroke #194,truck-stops,8420 Alleghany Rd,Corfu,NY,14036,585-599-4577,https://www.ta-petro.com/location/ny/ta-pembroke/,"TravelCenters of America off the Thruway at I-90 Exit 48A / NY-77 with about 132 truck parking spaces, 8 fuel lanes, 6 showers, 6 truck service bays, 24/7 Mobil diesel, laundry and food.",I-90,48A,yes,yes,yes,yes,yes,yes,,yes,
Flying J Travel Center #693,truck-stops,8484 Alleghany Rd,Pembroke,NY,14036,585-599-4430,https://locations.pilotflyingj.com/us/ny/pembroke/8484-allegheny-road,"Pilot Flying J travel center off I-90 Exit 48A with about 140 parking spaces, 7 fuel lanes, 9 showers, 24-hour diesel, Denny's, laundry, Wi-Fi and an RV dump station.",I-90,48A,yes,yes,yes,yes,yes,,,yes,
Pembroke Service Area (Eastbound),parking,,Corfu,NY,14036,585-516-6960,https://thruway.ny.gov/travelers/service-areas/pe,"Applegreen-operated NY Thruway eastbound service area (reopened 2023) at milepost 397 between Exit 48A (Pembroke) and Exit 48 (Batavia), one of the Thruway plazas with expanded commercial-driver amenities; 24-hour diesel, truck parking and Burger King/Popeyes/Dunkin.",I-90,MP 397,,yes,yes,,yes,,,yes,
490 Truck Stop,truck-stops,7787 S Lake Rd,Le Roy,NY,14416,585-768-8120,,"Independent truck stop at I-90 Exit 47 (Le Roy / I-490 / NY-19) near Bergen with diesel fuel, truck parking, a restaurant and shower facilities.",I-90,47,yes,yes,yes,,yes,,,,
Kwik Fill #85 - Cheektowaga,truck-stops,2323 Clinton St,Cheektowaga,NY,14227,716-823-4415,https://www.kwikfill.com/truck-stops,"Kwik Fill fuel stop near I-90 Exit 52 (Buffalo/Cheektowaga) with diesel, about 4 truck parking spaces, a C-store and propane; a small-scale rather than full-service stop.",I-90,52,,yes,yes,,yes,,,,
J & J Truck Wash and Repair,truck-washes,2251 Wehrle Dr,Buffalo,NY,14221,716-580-3224,https://www.facebook.com/jjtruckwashandrepair/,"Truck and trailer wash (including trailer wash-outs) and repair shop serving the Buffalo I-90 area near Exit 49, open Mon-Fri and Saturday mornings.",I-90,49,,,,,,yes,,,
McCarthy Tire Service - Buffalo,tire-repair,3781 Broadway,Buffalo,NY,14227,716-683-4800,https://mccarthytire.com/find-a-tire-shop/,"Commercial/fleet tire dealer under 1.5 miles from I-90 servicing trucks, buses, trailers and OTR/construction tires, with 24/7 commercial roadside assistance.",I-90,52,,,,,,yes,,,
Mobile Tire Depot - Buffalo,tire-repair,,Buffalo,NY,,716-406-8473,https://mobiletiredepot.com/,"24/7 mobile truck tire service and roadside assistance for Buffalo and Western NY, including blowouts on I-90; dispatches a service van to the breakdown location.",I-90,,,,,,,yes,,,
Bach's Towing & Recovery,roadside-service,,Buffalo,NY,,716-652-8800,https://bachstowing.com/,"24-hour heavy-duty towing, semi/commercial truck recovery and cargo recovery serving I-90, I-190 and Greater Buffalo/Western NY with WreckMaster-certified operators.",I-90,,,,,,,yes,,,
Rusiniak's Service Inc.,roadside-service,2916 Union Rd,Cheektowaga,NY,14227,716-683-3288,https://rusiniaks.com/,"Family-owned truck/auto service with 24-hour light-to-heavy-duty towing and recovery (up to 50-ton lowboy), commercial truck repair and a truck wash, near I-90 in Cheektowaga.",I-90,52,,,,,,yes,,,
160 Driving Academy - Buffalo,cdl-schools,,Buffalo,NY,,,https://www.160drivingacademy.com/locator/30901.19579.160-driving-academy-buffalo/,CDL Class A truck-driver training school serving the Buffalo / I-90 metro area with classroom and behind-the-wheel instruction and flexible schedules.,I-90,,,,,,,,,,
