name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Pilot Travel Center #4,truck-stops,Avon,OH,pilot-travel-center-4-avon-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Avon,cat-scales,Avon,OH,cat-scale-at-pilot-avon-avon-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Speedway - Avon (Exit 151),truck-stops,Avon,OH,speedway-avon-exit-151-avon-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sylvester Truck & Tire Service,tire-repair,Avon,OH,sylvester-truck-tire-service-avon-oh,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Pilot Travel Center #2,truck-stops,Austinburg,OH,pilot-travel-center-2-austinburg-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Austinburg,cat-scales,Austinburg,OH,cat-scale-at-pilot-austinburg-austinburg-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Flying J Travel Plaza #694,truck-stops,Austinburg,OH,flying-j-travel-plaza-694-austinburg-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Austinburg,cat-scales,Austinburg,OH,cat-scale-at-flying-j-austinburg-austinburg-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Speedco #903 - Austinburg,tire-repair,Austinburg,OH,speedco-903-austinburg-austinburg-oh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TA Kingsville #029,truck-stops,Kingsville,OH,ta-kingsville-029-kingsville-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Kingsville,cat-scales,Kingsville,OH,cat-scale-at-ta-kingsville-kingsville-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
TA Truck Service - Kingsville,roadside-service,Kingsville,OH,ta-truck-service-kingsville-kingsville-oh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Love's Travel Stop #389,truck-stops,Conneaut,OH,love-s-travel-stop-389-conneaut-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Love's Conneaut,cat-scales,Conneaut,OH,cat-scale-at-love-s-conneaut-conneaut-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Truck World Conneaut Travel Center,truck-stops,Conneaut,OH,truck-world-conneaut-travel-center-conneaut-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Fill Truck Stop #227,truck-stops,Geneva,OH,kwik-fill-truck-stop-227-geneva-oh,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Dale's Geneva Truck Services & Wash,truck-washes,Geneva,OH,dale-s-geneva-truck-services-wash-geneva-oh,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Ashtabula County I-90 Westbound Welcome Center / Rest Area,parking,Conneaut,OH,ashtabula-county-i-90-westbound-welcome-center-rest-area-conneaut-oh,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Conneaut Weigh Station (I-90 WB),weigh-stations,Conneaut,OH,conneaut-weigh-station-i-90-wb-conneaut-oh,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Red Roof Inn Ashtabula - Austinburg,hotels-truck-parking,Austinburg,OH,red-roof-inn-ashtabula-austinburg-austinburg-oh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Roc's TNT Emergency Roadside Service - Ashtabula,roadside-service,Ashtabula,OH,roc-s-tnt-emergency-roadside-service-ashtabula-ashtabula-oh,,63,Needs work,needs-geocoding,,import-unpublished,"completeness 63, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Verified date; Approved reviews
