name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Pilot Travel Center #4,truck-stops,39115 Colorado Ave,Avon,OH,44011,440-934-0110,https://locations.pilotflyingj.com/us/oh/avon/39115-colorado-ave,"24-hour Pilot travel center at I-90 Exit 151 (Colorado Ave/OH-611) in Avon with about 55 truck parking spaces, 6 diesel lanes, showers and a CAT Scale.",I-90,151,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Avon,cat-scales,39115 Colorado Ave,Avon,OH,44011,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Pilot Travel Center at I-90 Exit 151 in Avon.,I-90,151,,,,,,,yes,,
Speedway - Avon (Exit 151),truck-stops,1835 Recreation Lane,Avon,OH,44011,440-934-0318,https://www.speedway.com/locations/oh/avon/1835-recreation-lane,"24-hour Speedway fuel stop at I-90 Exit 151 in Avon with truck and auto diesel, DEF and a deli; no overnight truck parking.",I-90,151,,yes,yes,,yes,,,,
Sylvester Truck & Tire Service,tire-repair,38381 Chester Rd,Avon,OH,44011,440-933-8513,https://www.sylvestertire.com/,"Full-service commercial truck tire and repair shop along I-90 in Avon, serving local and out-of-town fleets plus light-truck/auto tire and repair.",I-90,,,,,,,yes,,,
Pilot Travel Center #2,truck-stops,2246 State Route 45,Austinburg,OH,44010,440-275-3303,https://locations.pilotflyingj.com/us/oh/austinburg/2246-oh-45,"24-hour Pilot travel center at I-90 Exit 223 (SR-45) with diesel, 9 fuel lanes, about 150 truck spaces, 7 showers, a CAT Scale, Subway, Dunkin and laundry.",I-90,223,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Austinburg,cat-scales,2246 State Route 45,Austinburg,OH,44010,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Pilot Travel Center at I-90 Exit 223 in Austinburg.,I-90,223,,,,,,,yes,,
Flying J Travel Plaza #694,truck-stops,2349 Center Rd,Austinburg,OH,44010,440-275-1515,https://locations.pilotflyingj.com/us/oh/austinburg/2349-center-rd,"24-hour Flying J at I-90 Exit 223 with diesel, 12 fuel lanes, about 164 truck spaces, 15 showers, a CAT Scale, Denny's, laundry, DEF and RV lanes.",I-90,223,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Flying J Austinburg,cat-scales,2349 Center Rd,Austinburg,OH,44010,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Flying J Travel Plaza at I-90 Exit 223 in Austinburg.,I-90,223,,,,,,,yes,,
Speedco #903 - Austinburg,tire-repair,2689 Sidley Ct,Austinburg,OH,44010,440-275-1502,https://www.loves.com/locations/903,"Speedco (Love's) truck lube and tire center at I-90 Exit 223 with commercial truck tires, light mechanical, oil changes and emergency roadside assistance.",I-90,223,,,,,,yes,,,
TA Kingsville #029,truck-stops,5551 State Route 193,Kingsville,OH,44048,440-224-2035,https://www.ta-petro.com/location/oh/ta-kingsville/,"24-hour TravelCenters of America at I-90 Exit 235 with BP diesel, 8 fuel lanes, about 158 truck spaces, 9 showers, a CAT Scale, TA Truck Service and laundry.",I-90,235,yes,yes,yes,yes,yes,yes,yes,yes,
