name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Bosselman Travel Center - Rapid City,truck-stops,Rapid City,SD,bosselman-travel-center-rapid-city-rapid-city-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Crow's I-90 Travel Plaza (Flying J),truck-stops,Rapid City,SD,crow-s-i-90-travel-plaza-flying-j-rapid-city-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Common Cents Travel Plaza 125 - Rapid City,truck-stops,Rapid City,SD,common-cents-travel-plaza-125-rapid-city-rapid-city-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #602,truck-stops,Box Elder,SD,love-s-travel-stop-602-box-elder-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
BJ's Country Store,truck-stops,Sturgis,SD,bj-s-country-store-sturgis-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Common Cents - Sturgis,truck-stops,Sturgis,SD,common-cents-sturgis-sturgis-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Conoco - Wall,truck-stops,Wall,SD,conoco-wall-wall-sd,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Discount Fuel (Sinclair) - Kadoka,truck-stops,Kadoka,SD,discount-fuel-sinclair-kadoka-kadoka-sd,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Bosselman Rapid City,cat-scales,Rapid City,SD,cat-scale-at-bosselman-rapid-city-rapid-city-sd,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Flying J Rapid City,cat-scales,Rapid City,SD,cat-scale-at-flying-j-rapid-city-rapid-city-sd,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Love's Box Elder,cat-scales,Box Elder,SD,cat-scale-at-love-s-box-elder-box-elder-sd,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Tilford Port of Entry / Weigh Station,weigh-stations,Sturgis,SD,tilford-port-of-entry-weigh-station-sturgis-sd,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Spearfish Welcome Center / Rest Area,parking,Spearfish,SD,spearfish-welcome-center-rest-area-spearfish-sd,,36,Incomplete,needs-geocoding,,import-unpublished,"completeness 36, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Wasta Rest Area,parking,Wasta,SD,wasta-rest-area-wasta-sd,,42,Needs work,needs-geocoding,,import-unpublished,"completeness 42, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pomp's Tire Service - Rapid City,tire-repair,Rapid City,SD,pomp-s-tire-service-rapid-city-rapid-city-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Boss Truck Shop - Spearfish,tire-repair,Spearfish,SD,boss-truck-shop-spearfish-spearfish-sd,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Website; Verified date; Approved reviews
D&D Truck Wash,truck-washes,Rapid City,SD,d-d-truck-wash-rapid-city-sd,,60,Needs work,needs-geocoding,,import-unpublished,completeness 60 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
LJ's Recovery & Transport,roadside-service,Rapid City,SD,lj-s-recovery-transport-rapid-city-sd,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
M & W Towing & Recovery,roadside-service,Box Elder,SD,m-w-towing-recovery-box-elder-sd,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Freedom Field Repair,roadside-service,Rapid City,SD,freedom-field-repair-rapid-city-sd,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Quality Inn Spearfish I-90,hotels-truck-parking,Spearfish,SD,quality-inn-spearfish-i-90-spearfish-sd,,42,Needs work,needs-geocoding,,import-unpublished,"completeness 42, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Parking type; Truck-space count; Amenities; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #599,truck-stops,Murdo,SD,pilot-travel-center-599-murdo-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Murdo,cat-scales,Murdo,SD,cat-scale-at-pilot-murdo-murdo-sd,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Coffee Cup Fuel Stop - Vivian,truck-stops,Vivian,SD,coffee-cup-fuel-stop-vivian-vivian-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Prairie Post,truck-stops,Presho,SD,prairie-post-presho-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Al's Oasis,truck-stops,Oacoma,SD,al-s-oasis-oacoma-sd,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Cenex Station - Oacoma,truck-stops,Oacoma,SD,cenex-station-oacoma-oacoma-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Oasis Pump & Pack,truck-stops,Oacoma,SD,oasis-pump-pack-oacoma-sd,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Coffee Cup Fuel Stop #4,truck-stops,Plankinton,SD,coffee-cup-fuel-stop-4-plankinton-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Cubby's Mitchell West,truck-stops,Mitchell,SD,cubby-s-mitchell-west-mitchell-sd,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-90 Travel Center,truck-stops,Mitchell,SD,i-90-travel-center-mitchell-sd,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at I-90 Travel Center Mitchell,cat-scales,Mitchell,SD,cat-scale-at-i-90-travel-center-mitchell-mitchell-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
