name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Seattle East (North Bend),truck-stops,North Bend,WA,ta-seattle-east-north-bend-north-bend-wa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop (Cle Elum),truck-stops,Cle Elum,WA,love-s-travel-stop-cle-elum-cle-elum-wa,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #413 (Ellensburg),truck-stops,Ellensburg,WA,love-s-travel-stop-413-ellensburg-ellensburg-wa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #1195 (Ellensburg),truck-stops,Ellensburg,WA,pilot-travel-center-1195-ellensburg-ellensburg-wa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Broadway Flying J Travel Plaza #965 (Ellensburg),truck-stops,Ellensburg,WA,broadway-flying-j-travel-plaza-965-ellensburg-ellensburg-wa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale - TA Seattle East (North Bend),cat-scales,North Bend,WA,cat-scale-ta-seattle-east-north-bend-north-bend-wa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Love's #413 (Ellensburg),cat-scales,Ellensburg,WA,cat-scale-love-s-413-ellensburg-ellensburg-wa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale - Broadway Flying J #965 (Ellensburg),cat-scales,Ellensburg,WA,cat-scale-broadway-flying-j-965-ellensburg-ellensburg-wa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
North Bend Weigh Station (Westbound),weigh-stations,North Bend,WA,north-bend-weigh-station-westbound-north-bend-wa,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Verified date; Approved reviews
Cle Elum Weigh Station (Westbound),weigh-stations,Cle Elum,WA,cle-elum-weigh-station-westbound-cle-elum-wa,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Indian John Hill Rest Area (Eastbound),parking,Cle Elum,WA,indian-john-hill-rest-area-eastbound-cle-elum-wa,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Indian John Hill Rest Area (Westbound),parking,Cle Elum,WA,indian-john-hill-rest-area-westbound-cle-elum-wa,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Speedco (Cle Elum),tire-repair,Cle Elum,WA,speedco-cle-elum-cle-elum-wa,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,Exit number; Verified coordinates; Phone; Website; Verified date; Approved reviews
Speedco Truck Lube & Tires (Ellensburg),tire-repair,Ellensburg,WA,speedco-truck-lube-tires-ellensburg-ellensburg-wa,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Website; Verified date; Approved reviews
Gibson Truck Wash,truck-washes,Ellensburg,WA,gibson-truck-wash-ellensburg-wa,,56,Needs work,needs-geocoding,,import-unpublished,completeness 56 — enrich before publishing,Verified coordinates; Phone; Website; Amenities; Verified date; Approved reviews
Cascade Truck & RV Wash,truck-washes,Ellensburg,WA,cascade-truck-rv-wash-ellensburg-wa,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Website; Amenities; Verified date; Approved reviews
Love's Travel Stop #827,truck-stops,Moses Lake,WA,love-s-travel-stop-827-moses-lake-wa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Ernie's Truck Stop,truck-stops,Moses Lake,WA,ernie-s-truck-stop-moses-lake-wa,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
