name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Kwik Trip #1048 - West Salem,truck-stops,West Salem,WI,kwik-trip-1048-west-salem-west-salem-wi,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip #494 - Onalaska,truck-stops,Onalaska,WI,kwik-trip-494-onalaska-onalaska-wi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sparta Travel Center (Roady's),truck-stops,Sparta,WI,sparta-travel-center-roady-s-sparta-wi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip #796 - Tomah Truckstop,truck-stops,Tomah,WI,kwik-trip-796-tomah-truckstop-tomah-wi,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #345,truck-stops,Oakdale,WI,love-s-travel-stop-345-oakdale-wi,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Road Ranger Travel Center - Oakdale,truck-stops,Oakdale,WI,road-ranger-travel-center-oakdale-oakdale-wi,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Award Winning Truck Wash,truck-washes,Oakdale,WI,award-winning-truck-wash-oakdale-wi,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Website; Amenities; Verified date; Approved reviews
TA Express New Lisbon #0982,truck-stops,New Lisbon,WI,ta-express-new-lisbon-0982-new-lisbon-wi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip #775 - Mauston,truck-stops,Mauston,WI,kwik-trip-775-mauston-mauston-wi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #164,truck-stops,Mauston,WI,pilot-travel-center-164-mauston-wi,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mauston Interstate BP Travel Plaza,truck-stops,Mauston,WI,mauston-interstate-bp-travel-plaza-mauston-wi,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Lyndon Station BP,truck-stops,Lyndon Station,WI,lyndon-station-bp-lyndon-station-wi,,49,Needs work,needs-geocoding,,import-unpublished,"completeness 49, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip #583 - Wisconsin Dells,truck-stops,Wisconsin Dells,WI,kwik-trip-583-wisconsin-dells-wisconsin-dells-wi,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kwik Trip - Lake Delton,truck-stops,Lake Delton,WI,kwik-trip-lake-delton-lake-delton-wi,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Kwik Trip West Salem,cat-scales,West Salem,WI,cat-scale-at-kwik-trip-west-salem-west-salem-wi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Sparta Travel Center,cat-scales,Sparta,WI,cat-scale-at-sparta-travel-center-sparta-wi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Kwik Trip Tomah,cat-scales,Tomah,WI,cat-scale-at-kwik-trip-tomah-tomah-wi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Love's Oakdale,cat-scales,Oakdale,WI,cat-scale-at-love-s-oakdale-oakdale-wi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Pilot Mauston,cat-scales,Mauston,WI,cat-scale-at-pilot-mauston-mauston-wi,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Pomp's Tire Service - La Crosse,tire-repair,La Crosse,WI,pomp-s-tire-service-la-crosse-la-crosse-wi,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pomp's Tire Service - Tomah,tire-repair,Tomah,WI,pomp-s-tire-service-tomah-tomah-wi,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Sparta Weigh Station,weigh-stations,Sparta,WI,sparta-weigh-station-sparta-wi,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Wisconsin Welcome Center - La Crosse,parking,La Crosse,WI,wisconsin-welcome-center-la-crosse-la-crosse-wi,,50,Needs work,needs-geocoding,,import-unpublished,"completeness 50, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sparta Safety Rest Area,parking,Sparta,WI,sparta-safety-rest-area-sparta-wi,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Lyndon Safety Rest Area,parking,Lyndon Station,WI,lyndon-safety-rest-area-lyndon-station-wi,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mauston Safety Rest Area,parking,Mauston,WI,mauston-safety-rest-area-mauston-wi,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Craig's Towing,roadside-service,Wisconsin Dells,WI,craig-s-towing-wisconsin-dells-wi,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Verified date; Approved reviews
La Crosse Transport Refrigeration,roadside-service,Onalaska,WI,la-crosse-transport-refrigeration-onalaska-wi,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Website; Verified date; Approved reviews
Petro Stopping Center - Portage,truck-stops,Portage,WI,petro-stopping-center-portage-portage-wi,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
