name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Kwik Trip #1048 - West Salem,truck-stops,341 Jefferson St E,West Salem,WI,54669,608-786-0339,https://www.kwiktrip.com,"24-hour truck stop/travel center at I-90 Exit 12 (County C) in West Salem with 24-hour diesel, bulk DEF, a CAT Scale and about 30 truck parking spaces.",I-90,12,,,yes,,yes,,yes,,
Kwik Trip #494 - Onalaska,truck-stops,Hwy OT & Commerce Rd,Onalaska,WI,54650,,https://www.kwiktrip.com,"Kwik Trip fuel/convenience location near I-90 Exit 5 (WI-16) in Onalaska serving the La Crosse area, with 24-hour diesel, bulk DEF and truck parking.",I-90,5,,yes,yes,,yes,,,,
Sparta Travel Center (Roady's),truck-stops,4105 Theater Rd,Sparta,WI,54656,608-269-3277,,"Independent (Roady's affiliate) travel center at I-90 Exit 28 (WI-16) with about 65 truck parking spaces, 24-hour diesel, showers, a deli/restaurant, laundry, engine repair and a CAT Scale.",I-90,28,yes,yes,yes,yes,yes,yes,yes,yes,
Kwik Trip #796 - Tomah Truckstop,truck-stops,310 E McCoy Blvd,Tomah,WI,54660,608-372-5776,https://www.kwiktrip.com,"Kwik Trip truckstop plaza at the Tomah I-90/I-94 split (WI-21/US-12, signed I-94 Exit 143) with about 60 truck parking spaces, 7 diesel lanes, 9 showers, Denny's, laundry and a CAT Scale.",I-90,143 (I-94),yes,yes,yes,yes,yes,,yes,,
Love's Travel Stop #345,truck-stops,220 N Oakwood St,Oakdale,WI,54660,608-372-3820,https://www.loves.com/locations/wi/oakdale/loves-travel-stop-oakdale-345,"Love's travel center at I-90/I-94 Exit 48 in Oakdale with about 80 truck parking spaces, 8 diesel lanes, 7 showers, Hardee's, laundry, Love's Truck Care (tire/repair) and a CAT Scale.",I-90,48,yes,yes,yes,yes,yes,yes,yes,yes,
Road Ranger Travel Center - Oakdale,truck-stops,102 E Woody Dr,Oakdale,WI,54660,,,"Travel center at I-90/I-94 Exit 48 in Oakdale (listed as Road Ranger, formerly the Oakdale Oasis) with roughly 100 truck parking spaces, 8 diesel lanes, showers and internet.",I-90,48,yes,yes,yes,,yes,,,yes,
Award Winning Truck Wash,truck-washes,,Oakdale,WI,54660,608-372-7272,,"Full-service truck/trailer wash at I-90/I-94 Exit 48 in Oakdale (about 5 miles east of Tomah), offering hand & brush tractor/trailer washes, washouts, aluminum polishing and free undercarriage wash.",I-90,48,,,,,,,,,
TA Express New Lisbon #0982,truck-stops,1700 E Bridge St,New Lisbon,WI,53950,,https://www.ta-petro.com/location/wi/ta-express-new-lisbon/,TA Express (Phillips 66) travel center at I-90/I-94 Exit 61 (Hwy 80) in New Lisbon with 24-hour diesel and about 50 truck parking spaces.,I-90,61,,yes,yes,,yes,,,yes,
Kwik Trip #775 - Mauston,truck-stops,611 Gateway Ave,Mauston,WI,53948,,https://www.kwiktrip.com,"Kwik Trip truckstop at I-90/I-94 Exit 69 in Mauston with 24-hour diesel (6 fuel lanes), 4 showers, an on-site Denny's and about 50 truck parking spaces.",I-90,69,yes,yes,yes,,yes,,,,
Pilot Travel Center #164,truck-stops,1101 Gateway Ave,Mauston,WI,53948,,https://locations.pilotflyingj.com,"Pilot travel center at I-90/I-94 Exit 69 in Mauston with 24-hour diesel (7 fuel lanes), 7 showers, a Wendy's, about 95 truck parking spaces and a CAT Scale.",I-90,69,yes,yes,yes,,yes,,yes,yes,
