name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Common Cents Travel Plaza,truck-stops,Sheridan,WY,common-cents-travel-plaza-sheridan-wy,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #965,truck-stops,Buffalo,WY,love-s-travel-stop-965-buffalo-wy,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale #3528 at Love's #965,cat-scales,Buffalo,WY,cat-scale-3528-at-love-s-965-buffalo-wy,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Cenex Zip Trip #60 - Buffalo,truck-stops,Buffalo,WY,cenex-zip-trip-60-buffalo-buffalo-wy,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sheridan I-90 Port of Entry / Weigh Station,weigh-stations,Sheridan,WY,sheridan-i-90-port-of-entry-weigh-station-sheridan-wy,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Verified date; Approved reviews
Sheridan I-90 Rest Area & Information Center,parking,Sheridan,WY,sheridan-i-90-rest-area-information-center-sheridan-wy,,49,Needs work,needs-geocoding,,import-unpublished,"completeness 49, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Bighorn Diesel & Equipment,roadside-service,Sheridan,WY,bighorn-diesel-equipment-sheridan-wy,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Gills Point S Tire & Auto Service - Sheridan,tire-repair,Sheridan,WY,gills-point-s-tire-auto-service-sheridan-sheridan-wy,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Super 8 by Wyndham Sheridan,hotels-truck-parking,Sheridan,WY,super-8-by-wyndham-sheridan-sheridan-wy,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Days Inn by Wyndham Sheridan,hotels-truck-parking,Sheridan,WY,days-inn-by-wyndham-sheridan-sheridan-wy,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
