name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Darien Service Plaza NB (I-95),truck-stops,Darien,CT,darien-service-plaza-nb-i-95-darien-ct,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Darien Service Plaza SB (I-95),truck-stops,Darien,CT,darien-service-plaza-sb-i-95-darien-ct,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Milford Service Plaza NB (I-95),truck-stops,Milford,CT,milford-service-plaza-nb-i-95-milford-ct,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Milford Service Plaza SB (I-95),truck-stops,Milford,CT,milford-service-plaza-sb-i-95-milford-ct,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #255,truck-stops,Milford,CT,pilot-travel-center-255-milford-ct,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Milford,cat-scales,Milford,CT,cat-scale-at-pilot-milford-milford-ct,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Connecticut State Police Weigh Station (I-95 NB Greenwich),weigh-stations,Greenwich,CT,connecticut-state-police-weigh-station-i-95-nb-greenwich-greenwich-ct,,74,Good,needs-geocoding,,ready-to-publish,completeness 74 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash - Milford,truck-washes,Milford,CT,blue-beacon-truck-wash-milford-milford-ct,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Trans-Clean Truck Wash Inc,truck-washes,Milford,CT,trans-clean-truck-wash-inc-milford-ct,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Bud's Truck & Diesel Service Inc,tire-repair,Bridgeport,CT,bud-s-truck-diesel-service-inc-bridgeport-ct,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Thompson Repair Road Service LLC,tire-repair,Stratford,CT,thompson-repair-road-service-llc-stratford-ct,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Bang's Towing,roadside-service,Bridgeport,CT,bang-s-towing-bridgeport-ct,,56,Needs work,needs-geocoding,,import-unpublished,completeness 56 — enrich before publishing,Verified coordinates; Phone; Website; Amenities; Verified date; Approved reviews
