name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Express New Haven (Branford),truck-stops,3 East Industrial Road,Branford,CT,06405,203-481-0301,https://www.ta-petro.com/location/ct/ta-express-new-haven/,"Full-service truck stop at I-95 Exit 56 with roughly 75 truck parking spaces, 6 diesel lanes, and on-site TA Truck Service. Food options include Subway, Popeyes, and Starbucks.",I-95,56,yes,yes,yes,yes,yes,yes,yes,yes,
American Auto Stop (Tinaco Plaza),truck-stops,273 Clarks Falls Road,North Stonington,CT,06359,860-599-2020,,"Independent 24-hour truck stop near I-95 Exit 93 close to the RI line, with about 120 parking spaces, 9 diesel lanes, 6 showers, laundry, trucker lounge, and food (Nathan's Famous, Johnny Pastrami).",I-95,93,yes,yes,yes,yes,yes,yes,yes,,
Branford Service Plaza NB (I-95),truck-stops,"I-95 Northbound, Mile Marker 54 (between Exits 54-56)",Branford,CT,06405,,https://www.ctserviceplazas.com/,"State I-95 northbound service plaza with a Mobil fuel station, Alltown convenience store, and food court (Dunkin, Subway and other quick-serve). Open 24/7 with separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Branford Service Plaza SB (I-95),truck-stops,"I-95 Southbound, Mile Marker 53 (between Exits 52-54)",Branford,CT,06405,,https://www.ctserviceplazas.com/,"State I-95 southbound service plaza with Mobil fuel, convenience store, and food court. Open 24/7 with separate parking for trucks and passenger vehicles.",I-95,,,yes,yes,,yes,,,yes,
Madison Service Plaza NB (I-95),truck-stops,"I-95 Northbound, Mile Marker 66 (between Exits 61-62)",Madison,CT,06443,,https://www.ctserviceplazas.com/,"State I-95 northbound service plaza with Mobil fuel, Alltown store, and food court. Open 24/7 with separate truck and passenger parking.",I-95,,,yes,yes,,yes,,,yes,
Madison Service Plaza SB (I-95),truck-stops,"I-95 Southbound, Mile Marker 66 (between Exits 62-63)",Madison,CT,06443,,https://www.ctserviceplazas.com/,"State I-95 southbound service plaza with Mobil fuel, convenience store, and food court. Open 24/7 with separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
North Stonington (Fairview) Service Plaza SB (I-95),truck-stops,"I-95 Southbound, Mile Marker 108 (near the RI line)",North Stonington,CT,06359,,https://www.ctserviceplazas.com/,"State I-95 southbound service plaza / Connecticut Welcome Center near the Rhode Island line, with Mobil fuel, convenience store, and food court. Open 24/7 with separate truck and passenger parking.",I-95,,,yes,yes,,yes,,,yes,
CAT Scale - TA Express New Haven (Branford),cat-scales,3 East Industrial Road,Branford,CT,06405,203-481-0301,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the TA Express truck stop at I-95 Exit 56 in Branford.,I-95,56,,,,,,,yes,,
CAT Scale - American Auto Stop (Tinaco Plaza),cat-scales,273 Clarks Falls Road,North Stonington,CT,06359,860-599-2020,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the American Auto Stop / Tinaco Plaza truck stop at I-95 Exit 93 near the RI line.,I-95,93,,,,,,,yes,,
Branford Service Plaza NB Truck Parking,parking,"I-95 Northbound, Mile Marker 54 (between Exits 54-56)",Branford,CT,06405,,https://www.ctserviceplazas.com/,"Dedicated truck parking at the Branford northbound I-95 service plaza, separate from passenger vehicle parking, available 24/7.",I-95,,,yes,yes,,yes,,,,
Madison Service Plaza SB Truck Parking,parking,"I-95 Southbound, Mile Marker 66 (between Exits 62-63)",Madison,CT,06443,,https://www.ctserviceplazas.com/,"Dedicated truck parking at the Madison southbound I-95 service plaza, separate from car parking, available 24/7.",I-95,,,yes,yes,,yes,,,,
North Stonington (Fairview) Service Plaza SB Truck Parking,parking,"I-95 Southbound, Mile Marker 108 (near the RI line)",North Stonington,CT,06359,,https://www.ctserviceplazas.com/,"Dedicated truck parking at the North Stonington southbound I-95 service plaza / Welcome Center near the RI line, available 24/7.",I-95,,,yes,yes,,yes,,,,
Connecticut DMV Weigh Station - Waterford NB (I-95),weigh-stations,"I-95 Northbound, Waterford (near Exit 81)",Waterford,CT,06385,,https://www.coopsareopen.com/connecticut-weigh-stations.html,"Fixed CT DMV commercial vehicle weigh and safety inspection station on I-95 northbound in Waterford, staffed by Motor Vehicle Inspectors.",I-95,,,,,,,,,,
Connecticut DMV Weigh Station - Waterford SB (I-95),weigh-stations,"I-95 Southbound, Waterford (near Exit 81)",Waterford,CT,06385,,https://www.coopsareopen.com/connecticut-weigh-stations.html,I-95 southbound weigh station site in Waterford; the scale house was demolished after a 2018 crash and enforcement is handled via roving portable-scale units. Fixed scale ramp remains at the location.,I-95,,,,,,,,,,
Motel 6 Groton,hotels-truck-parking,404 Bridge Street,Groton,CT,06340,,https://www.motel6.com/us/connecticut/groton/,"Budget motel just off I-95 and CT-349 that offers truck parking for commercial drivers and larger vehicles, near the Thames River and New London.",I-95,86,,,,,,,,yes,
160 Driving Academy - Waterford,cdl-schools,35 Great Neck Road,Waterford,CT,06385,860-444-8099,https://www.160drivingacademy.com/dealers/waterford-ct/,"CDL-A truck driver training school in Waterford near I-95, offering a roughly 160-hour (four-week) commercial driver license program.",I-95,81,,,,,,,,,
One Source Towing & Repair,roadside-service,,New Haven,CT,,475-441-7107,,"Family-owned 24/7 mobile and roadside heavy-truck repair with ASE-certified technicians serving the New Haven / I-95 corridor, including tire service.",I-95,,,,,,,yes,,,
CT Towing (New London),roadside-service,,New London,CT,,860-740-0062,https://towct.com/,"24-hour emergency roadside assistance and light, medium, and heavy-duty towing and recovery serving the New London / I-95 area including the Gold Star Memorial Bridge.",I-95,,,,,,,yes,,,
