name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Darien Service Plaza NB (I-95),truck-stops,"1 Connecticut Turnpike E (I-95 Northbound, between Exits 11 and 12)",Darien,CT,06820,,https://www.ctserviceplazas.com/locations/darien-nb,"Rebuilt 24/7 Connecticut I-95 northbound travel plaza with Mobil gasoline and diesel, a food court (McDonald's, Subway, Dunkin, Starbucks, Auntie Anne's, Panera, Sbarro, Chipotle), Alltown convenience store, and separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Darien Service Plaza SB (I-95),truck-stops,"1 Connecticut Turnpike (I-95 Southbound, near mile marker 9 between Exits 10 and 9)",Darien,CT,06820,,https://www.ctserviceplazas.com/locations/darien-sb,"24/7 Connecticut I-95 southbound travel plaza with Mobil gasoline and diesel, food court (McDonald's, Subway, Dunkin, Starbucks), Alltown convenience store, restrooms, EV charging and separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Milford Service Plaza NB (I-95),truck-stops,"1 Connecticut Turnpike E (I-95 Northbound, between Exits 40 and 41)",Milford,CT,06460,,https://www.ctserviceplazas.com/locations/milford-nb,"24/7 Connecticut I-95 northbound service plaza with gasoline/diesel fuel, food (McDonald's, Subway, Dunkin, Sbarro), Alltown convenience store, restrooms, EV charging and separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Milford Service Plaza SB (I-95),truck-stops,"1 Connecticut Turnpike S (I-95 Southbound, between Exits 41 and 40)",Milford,CT,06460,,https://www.ctserviceplazas.com/locations/milford-sb,"24/7 Connecticut I-95 southbound service plaza with gasoline/diesel fuel, an expanded food court (McDonald's, Subway, Chipotle, Panda Express, Moe's, Sbarro, Carvel), Alltown convenience store, restrooms and separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Pilot Travel Center #255,truck-stops,433 Old Gate Lane,Milford,CT,06460,203-876-1266,https://locations.pilotflyingj.com/us/ct/milford/433-old-gate-ln,"Full-service 24-hour truck stop just off I-95 Exit 40 with 8 diesel fuel lanes, DEF, roughly 150 public truck parking spaces, 9 showers, public laundry, a CAT Scale and a Wendy's. The only major branded truck stop on this stretch of I-95.",I-95,40,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Pilot Milford,cat-scales,433 Old Gate Lane,Milford,CT,06460,203-876-1266,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at the Pilot Travel Center off I-95 Exit 40, southeast quadrant. Only CAT Scale on the southwestern CT I-95 corridor; the next ones are in Branford (Exit 56) and North Stonington.",I-95,40,,,,,,,yes,,
Connecticut State Police Weigh Station (I-95 NB Greenwich),weigh-stations,"I-95 Northbound, approx. Mile Marker 2 (near Exit 2)",Greenwich,CT,06830,,,"Fixed CT DMV/State Police commercial vehicle weigh and inspection station on I-95 northbound near the New York state line, with quadruple static scales, a scale house and weigh-in-motion (WIM) screening.",I-95,2,,,,,,,,,
Blue Beacon Truck Wash - Milford,truck-washes,243 Woodmont Rd,Milford,CT,06460,203-877-8647,https://bluebeacon.com/locations/,"24/7 double-bay commercial truck and trailer wash off I-95 Exit 40 behind the Pilot travel plaza, offering exterior truck/trailer washing and trailer washouts.",I-95,40,,,,,,,,,
Trans-Clean Truck Wash Inc,truck-washes,365 Old Gate Lane,Milford,CT,06460,203-874-9479,http://www.transcleantruckwash.com/,"Commercial truck wash next to the Pilot truck stop at I-95 Exit 40, washing tractors, trailers, straight trucks and garbage trucks plus trailer washouts.",I-95,40,,,,,,,,,
Bud's Truck & Diesel Service Inc,tire-repair,25 Island Brook Ave,Bridgeport,CT,06606,203-335-5593,https://www.budstowingrepair.com/,"Full-service heavy truck and trailer repair facility near I-95 in Bridgeport offering 24/7 truck and trailer tire repair, service and heavy-duty towing; in business roughly 30 years.",I-95,27,,,,,,yes,,,
Thompson Repair Road Service LLC,tire-repair,80 Stagg Street,Stratford,CT,06615,203-943-9170,,"24/7 heavy truck, semi and trailer tire repair and roadside service near I-95 Exit 30 in Stratford, with ASE-certified mechanics and towing available.",I-95,30,,,,,,yes,,,
Bang's Towing,roadside-service,3104 Fairfield Ave,Bridgeport,CT,06605,,,"Established 1969, provides 24-hour heavy-duty towing and recovery for semis and commercial vehicles along the I-95 corridor through Bridgeport and Fairfield County.",I-95,25,,,,,,,,,
New England Tractor Trailer Training School (NETTTS) - Bridgeport,cdl-schools,"510 Barnum Ave, 4th Floor",Bridgeport,CT,06608,203-368-9069,https://nettts.com/campuses/bridgeport-ct/,CDL training school near I-95 in Bridgeport offering Class A and Class B commercial driver license programs with classroom instruction and behind-the-wheel driving.,I-95,29,,,,,,,,,
Mayflower Motel,hotels-truck-parking,219 Woodmont Rd,Milford,CT,06460,203-878-6854,https://www.mayflower-motel.com/,"Family-owned trucker-friendly motel off I-95 Exit 40, next to the Pilot Travel Center, offering free trucker parking, guest laundry, pet-friendly rooms and discounted CDL/commercial rates.",I-95,40,,,,yes,,,,,
Motel 6 Milford,hotels-truck-parking,111 Schoolhouse Rd,Milford,CT,06460,,https://www.motel6.com/us/connecticut/milford/,Budget motel off I-95 Exit 35 in Milford with free self-parking that accommodates larger vehicles and truck parking.,I-95,35,,,,,,,,,
Pilot Travel Center #255 - Truck Parking,parking,433 Old Gate Lane,Milford,CT,06460,203-876-1266,https://locations.pilotflyingj.com/us/ct/milford/433-old-gate-ln,"Approximately 150 public and 37 reserved truck parking spaces at the Pilot Travel Center off I-95 Exit 40, the largest dedicated truck parking on the southwest CT corridor.",I-95,40,yes,,yes,,yes,,,,yes
Darien Service Plaza - Truck Parking (I-95),parking,1 Connecticut Turnpike (I-95 NB and SB service plazas),Darien,CT,06820,,https://www.ctserviceplazas.com/locations/darien-nb,"Dedicated truck parking separate from car parking at both the northbound and southbound Darien I-95 service plazas, open 24/7 with fuel, food and restrooms on site.",I-95,,,yes,yes,,yes,,,,
Milford Service Plaza - Truck Parking (I-95),parking,"1 Connecticut Turnpike (I-95 NB and SB service plazas, between Exits 40 and 41)",Milford,CT,06460,,https://www.ctserviceplazas.com/locations/milford-nb,"Separate truck parking at both the northbound and southbound Milford I-95 service plazas, open 24/7 with fuel, food and restrooms on site.",I-95,,,yes,yes,,yes,,,,
TA Express New Haven (Branford),truck-stops,3 East Industrial Road,Branford,CT,06405,203-481-0301,https://www.ta-petro.com/location/ct/ta-express-new-haven/,"Full-service truck stop at I-95 Exit 56 with roughly 75 truck parking spaces, 6 diesel lanes, and on-site TA Truck Service. Food options include Subway, Popeyes, and Starbucks.",I-95,56,yes,yes,yes,yes,yes,yes,yes,yes,
American Auto Stop (Tinaco Plaza),truck-stops,273 Clarks Falls Road,North Stonington,CT,06359,860-599-2020,,"Independent 24-hour truck stop near I-95 Exit 93 close to the RI line, with about 120 parking spaces, 9 diesel lanes, 6 showers, laundry, trucker lounge, and food (Nathan's Famous, Johnny Pastrami).",I-95,93,yes,yes,yes,yes,yes,yes,yes,,
Branford Service Plaza NB (I-95),truck-stops,"I-95 Northbound, Mile Marker 54 (between Exits 54-56)",Branford,CT,06405,,https://www.ctserviceplazas.com/,"State I-95 northbound service plaza with a Mobil fuel station, Alltown convenience store, and food court (Dunkin, Subway and other quick-serve). Open 24/7 with separate car and truck parking.",I-95,,,yes,yes,,yes,,,yes,
