name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Biden Welcome Center (I-95 Service Plaza),truck-stops,Newark,DE,biden-welcome-center-i-95-service-plaza-newark-de,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Biden Welcome Center Truck Parking,parking,Newark,DE,biden-welcome-center-truck-parking-newark-de,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Newark Toll Plaza Commercial Vehicle Enforcement,weigh-stations,Newark,DE,newark-toll-plaza-commercial-vehicle-enforcement-newark-de,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Service Tire Truck Center (STTC) New Castle,tire-repair,New Castle,DE,service-tire-truck-center-sttc-new-castle-new-castle-de,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Craig's Mobile Steam Cleaning,truck-washes,Newark,DE,craig-s-mobile-steam-cleaning-newark-de,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Website; Amenities; Verified date; Approved reviews
REDDOT Truck Service Inc.,roadside-service,Wilmington,DE,reddot-truck-service-inc-wilmington-de,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
B & F Towing Co.,roadside-service,Wilmington,DE,b-f-towing-co-wilmington-de,,44,Needs work,needs-geocoding,,import-unpublished,"completeness 44, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
160 Driving Academy - Newark,cdl-schools,Newark,DE,160-driving-academy-newark-newark-de,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
American Driver Training Academy,cdl-schools,New Castle,DE,american-driver-training-academy-new-castle-de,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Smith & Solomon Commercial Driver Training - New Castle,cdl-schools,New Castle,DE,smith-solomon-commercial-driver-training-new-castle-new-castle-de,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
