name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Biden Welcome Center (I-95 Service Plaza),truck-stops,530 John F. Kennedy Memorial Hwy,Newark,DE,19713,302-731-8599,https://deldot.gov/Programs/restareas/index.shtml,"Major I-95 median travel plaza (open 24/7) between the DE-896 and DE-273 interchanges, around MM 5. Has a Sunoco fueling station, a food court (Burger King, Panda Express, Auntie Anne's, Cinnabon), tax-free retail, EV charging, and 50 truck parking spaces.",I-95,,,yes,yes,,yes,,,yes,yes
Biden Welcome Center Truck Parking,parking,530 John F. Kennedy Memorial Hwy,Newark,DE,19713,302-731-8599,https://deldot.gov/Programs/restareas/index.shtml,"Fifty CabAire truck parking spaces with anti-idle truck electrification outlets on the south end of the I-95 Biden Welcome Center service plaza. Fuel, food and 24-hour restrooms on site.",I-95,,,yes,yes,,yes,,,,yes
Newark Toll Plaza Commercial Vehicle Enforcement,weigh-stations,1200 Whitaker Rd,Newark,DE,19702,302-366-7299,https://deldot.gov/public.ejs?command=PublicTollRateI95,"DelDOT Delaware Turnpike (I-95) toll plaza near the Maryland state line at MM 1.4, south of the DE-896 interchange. Oversize/overweight commercial vehicles are processed and assessed here, and Delaware uses weigh-in-motion enforcement on this stretch.",I-95,,,,,,,,,,
Service Tire Truck Center (STTC) New Castle,tire-repair,15 Parkway Circle,New Castle,DE,19720,302-328-8473,https://www.sttc.com/locations/delaware/new-castle/,"Commercial truck tire dealer and service center near the I-95/I-295 corridor offering new tires, retreads, wheel alignments and mechanical repair, with a 24/7 road-assist program.",I-95,,,,,,,yes,,,
Craig's Mobile Steam Cleaning,truck-washes,51 Springdale Dr,Newark,DE,19711,302-737-5491,,Mobile steam cleaning and truck/fleet washing service based in Newark serving the Newark and New Castle area near the I-95 corridor.,I-95,,,,,,,,,,
REDDOT Truck Service Inc.,roadside-service,1221 E 12th St,Wilmington,DE,19802,877-733-3680,https://www.reddottruckservice.com/wilmington/,"24-hour heavy-duty and commercial truck repair, heavy truck towing and recovery, and mobile roadside assistance serving the Wilmington I-95 corridor.",I-95,,,,,,,yes,,,
B & F Towing Co.,roadside-service,,Wilmington,DE,,,https://www.bftowing.com/,"24-hour towing and recovery company operating since 1967, providing medium- and heavy-duty towing, equipment hauling and emergency recovery across Wilmington, Bear and Newark along I-95.",I-95,,,,,,,,,,
160 Driving Academy - Newark,cdl-schools,1450 Capitol Trail #13,Newark,DE,19711,,https://www.160drivingacademy.com/,"CDL-A truck driver training school in Newark near the I-95 corridor, offering an accelerated program with testing prep and job-placement assistance.",I-95,,,,,,,,,,
American Driver Training Academy,cdl-schools,618 Lambson Ln,New Castle,DE,19720,302-655-4511,https://www.americandrivertraining.com/,"FMCSA-certified, ELDT-compliant Class-A CDL training academy near I-95, I-295 and US-40, with a yard minutes from the interstate corridor.",I-95,,,,,,,,,,
Smith & Solomon Commercial Driver Training - New Castle,cdl-schools,217 Lisa Dr B,New Castle,DE,19720,,https://smithsolomon.com/locations/new-castle-de/,"CDL driving school serving the Wilmington/New Castle area near the I-95 corridor, offering full-time day and part-time weekend Class-A training programs.",I-95,,,,,,,,,,
