name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Pilot Travel Center #90,truck-stops,Fort Pierce,FL,pilot-travel-center-90-fort-pierce-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #415,truck-stops,Fort Pierce,FL,love-s-travel-stop-415-fort-pierce-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #467,truck-stops,Fort Pierce,FL,love-s-travel-stop-467-fort-pierce-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #622,truck-stops,Fort Pierce,FL,flying-j-travel-center-622-fort-pierce-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Fort Pierce,cat-scales,Fort Pierce,FL,cat-scale-at-pilot-fort-pierce-fort-pierce-fl,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Love's Fort Pierce (Exit 129),cat-scales,Fort Pierce,FL,cat-scale-at-love-s-fort-pierce-exit-129-fort-pierce-fl,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Love's Fort Pierce (Exit 131),cat-scales,Fort Pierce,FL,cat-scale-at-love-s-fort-pierce-exit-131-fort-pierce-fl,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Flying J Fort Pierce,cat-scales,Fort Pierce,FL,cat-scale-at-flying-j-fort-pierce-fort-pierce-fl,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Love's Truck Wash - Fort Pierce,truck-washes,Fort Pierce,FL,love-s-truck-wash-fort-pierce-fort-pierce-fl,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Martin County Weigh Station (I-95 Southbound),weigh-stations,Palm City,FL,martin-county-weigh-station-i-95-southbound-palm-city-fl,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Verified date; Approved reviews
St. Lucie County Rest Area (I-95 MM 133),parking,Fort Pierce,FL,st-lucie-county-rest-area-i-95-mm-133-fort-pierce-fl,,50,Needs work,needs-geocoding,,import-unpublished,"completeness 50, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Martin County Rest Area (I-95 MM 106),parking,Stuart,FL,martin-county-rest-area-i-95-mm-106-stuart-fl,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Days Inn & Suites by Wyndham Fort Pierce I-95,hotels-truck-parking,Fort Pierce,FL,days-inn-suites-by-wyndham-fort-pierce-i-95-fort-pierce-fl,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pat's Tire,tire-repair,West Palm Beach,FL,pat-s-tire-west-palm-beach-fl,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Martino Commercial Tire,tire-repair,West Palm Beach,FL,martino-commercial-tire-west-palm-beach-fl,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
Albert's Road Service,roadside-service,West Palm Beach,FL,albert-s-road-service-west-palm-beach-fl,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
All Hooked Up Towing & Recovery,roadside-service,Jupiter,FL,all-hooked-up-towing-recovery-jupiter-fl,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
C&P Towing and Transport,roadside-service,Pompano Beach,FL,c-p-towing-and-transport-pompano-beach-fl,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
American Towing Service - Miami,roadside-service,Miami,FL,american-towing-service-miami-miami-fl,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Verified date; Approved reviews
TA Vero Beach #197,truck-stops,Vero Beach,FL,ta-vero-beach-197-vero-beach-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Gators Truck Stop,truck-stops,Vero Beach,FL,gators-truck-stop-vero-beach-fl,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sunoco Truck Stop - Palm Bay,truck-stops,Palm Bay,FL,sunoco-truck-stop-palm-bay-palm-bay-fl,,53,Needs work,needs-geocoding,,import-unpublished,completeness 53 — enrich before publishing,ZIP; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot / ONE9 Travel Center #88,truck-stops,Cocoa,FL,pilot-one9-travel-center-88-cocoa-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #316,truck-stops,Ormond Beach,FL,love-s-travel-stop-316-ormond-beach-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #626,truck-stops,Saint Augustine,FL,flying-j-travel-center-626-saint-augustine-fl,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #894,truck-stops,Saint Augustine,FL,love-s-travel-stop-894-saint-augustine-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #91,truck-stops,Saint Johns,FL,pilot-travel-center-91-saint-johns-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Jacksonville South #248,truck-stops,Saint Johns,FL,ta-jacksonville-south-248-saint-johns-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #603,truck-stops,Jacksonville,FL,love-s-travel-stop-603-jacksonville-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #828,truck-stops,Jacksonville,FL,love-s-travel-stop-828-jacksonville-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #1047,truck-stops,Jacksonville,FL,pilot-travel-center-1047-jacksonville-fl,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Vero Beach,cat-scales,Vero Beach,FL,cat-scale-at-ta-vero-beach-vero-beach-fl,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Love's Ormond Beach,cat-scales,Ormond Beach,FL,cat-scale-at-love-s-ormond-beach-ormond-beach-fl,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
