name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Pilot Travel Center #4562,truck-stops,2607 Scrubby Bluff Rd,Kingsland,GA,31548,912-576-7858,https://locations.pilotflyingj.com/us/ga/kingsland/2607-scrubby-bluff-rd,"24-hour Pilot travel center in the NW quadrant of I-95 Exit 1 with diesel lanes, 8 showers, about 111 truck parking spaces, a CAT scale and Dunkin.",I-95,1,yes,yes,yes,,yes,,yes,yes,
Pilot Travel Center #575,truck-stops,491 St Marys Rd,St. Marys,GA,31548,912-576-8460,,"Large 24-hour Pilot at I-95 Exit 1 (St Marys Rd) with 14 fuel lanes, 12 showers, about 235 parking spaces and a CAT scale.",I-95,1,yes,,yes,,yes,,yes,yes,
Petro Stopping Center #344 (TA/Petro Kingsland),truck-stops,1105 E King Ave,Kingsland,GA,31548,912-882-3111,https://www.ta-petro.com/location/ga/petro-kingsland/,"24-hour Petro (TravelCenters of America) at I-95 Exit 3 with 9 fuel lanes, 5 showers, about 136 parking spaces, a CAT scale, a 5-bay TA Truck Service and Popeyes.",I-95,3,yes,yes,yes,yes,yes,yes,yes,yes,
Georgia Welcome Center (I-95 Northbound),parking,,Kingsland,GA,,,https://www.dot.ga.gov/GDOT/Pages/restareaswelcomecenters.aspx,"GDOT welcome center on northbound I-95 about a mile north of the Florida line near Kingsland/St Marys, with separate truck and car parking lanes, restrooms and picnic tables.",I-95,,,,,,yes,,,,
Coastal Chevron / Sunshine Travel Plaza,truck-stops,2040 E 10th St,Woodbine,GA,31569,912-882-8440,,"24-hour independent Chevron truck stop at I-95 Exit 14 with 24-hour diesel, about 100 truck parking spaces, laundry, a restaurant and Wi-Fi.",I-95,14,,yes,yes,yes,yes,,,yes,
Love's Travel Stop #405,truck-stops,2766 US Highway 17 S,Brunswick,GA,31523,912-264-2777,https://www.loves.com/locations/405,"24-hour Love's at I-95 Exit 29 (US-17) with diesel, about 78 truck parking spaces, 6 showers, a CAT scale, truck/tire care and Subway/Chester's/Godfather's.",I-95,29,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #627,truck-stops,2990 US Hwy 17 S,Brunswick,GA,31523,912-280-0006,https://locations.pilotflyingj.com/us/ga/brunswick/2990-us-17,"24-hour Flying J at I-95 Exit 29 with 12 diesel lanes, 15 showers, about 150 parking spaces, a CAT scale, Denny's, laundry and propane.",I-95,29,yes,yes,yes,yes,yes,,yes,yes,
TA Travel Center Brunswick,truck-stops,185 Dungeness Dr,Brunswick,GA,31523,,,"TravelCenters of America travel center at I-95 Exit 29 (US-17) with 8 diesel lanes, about 107 truck parking spaces, showers and Subway/Burger King/Starbucks.",I-95,29,yes,yes,yes,,yes,,,yes,
Blue Beacon Truck Wash of Brunswick,truck-washes,2752 US Highway 17 S,Brunswick,GA,31523,912-261-9338,https://bluebeacon.com/locations/listing/brunswick-ga,"24/7 double-bay Blue Beacon truck wash at I-95 Exit 29 next to the Love's, with truck/trailer exterior wash, washouts, engine wash, aluminum brightening and RV wash.",I-95,29,,,,,,,,,
Love's Speedco #906,tire-repair,130 Pilot Dr,Brunswick,GA,31523,912-264-5730,https://www.loves.com/locations/ga/brunswick/loves-speedco-brunswick-906,"Speedco truck lube and tire center at I-95 Exit 29 with an expanded tire selection, light mechanical, oil/lube (PM) service and roadside assistance; Michelin dealer.",I-95,29,,,,,,yes,,,
Dynamic Diesel Solutions,roadside-service,301 Dungeness Dr,Brunswick,GA,31523,,,"24-hour mobile and on-site heavy-duty service near I-95 Exit 29 with truck, trailer, tire, reefer and RV repair, diagnostics, hydraulics, suspension and trailer washout.",I-95,29,,,,,,yes,,,
El Cheapo #54 (Texaco),truck-stops,13109 Hwy 251,Darien,GA,31305,912-437-4440,,"24-hour independent El Cheapo (Texaco) truck stop at I-95 Exit 49 (GA-251) just south of the DOT scales, with 5 diesel pumps, about 25 truck parking spaces, a deli/restaurant and laundry.",I-95,49,,yes,yes,yes,yes,,,,
"GA DPS Weigh Station (I-95 Northbound, Townsend)",weigh-stations,,Townsend,GA,,912-832-5863,,Georgia DPS Commercial Vehicle Enforcement weigh/inspection station on northbound I-95 near mile marker 55 in McIntosh County (between Darien Exit 49 and Townsend Exit 58).,I-95,,,,,,,,,,
"GA DPS Weigh Station (I-95 Southbound, Townsend)",weigh-stations,,Townsend,GA,,912-832-5717,,Georgia DPS Commercial Vehicle Enforcement weigh/inspection station on southbound I-95 near mile marker 56 in McIntosh County (near Townsend/Darien).,I-95,,,,,,,,,,
GA I-95 Glynn County Rest Area (Southbound),parking,,Brunswick,GA,,,https://www.dot.ga.gov/GDOT/Pages/restareaswelcomecenters.aspx,"GDOT rest area on southbound I-95 near mile marker 38 in Glynn County (Brunswick area) with separate truck and passenger parking, restrooms, water, picnic tables and RV dump.",I-95,,,,,,yes,,,,
El Cheapo #50,truck-stops,13670 E Oglethorpe Hwy,Midway,GA,31320,912-884-9453,,"24-hour independent El Cheapo truck stop at I-95 Exit 76 (Midway/Riceboro) with Shell-branded fuel, truck diesel with satellite pumps, showers, a deli/fast food and Wi-Fi.",I-95,76,yes,yes,yes,,yes,,,yes,
CAT Scale at Pilot Kingsland (#4562),cat-scales,2607 Scrubby Bluff Rd,Kingsland,GA,31548,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Pilot Travel Center #4562 at I-95 Exit 1 in Kingsland.,I-95,1,,,,,,,yes,,
CAT Scale at Pilot St. Marys (#575),cat-scales,491 St Marys Rd,St. Marys,GA,31548,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Pilot Travel Center #575 at I-95 Exit 1 (St Marys Rd).,I-95,1,,,,,,,yes,,
CAT Scale at Petro Kingsland (#344),cat-scales,1105 E King Ave,Kingsland,GA,31548,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Petro Stopping Center (TA/Petro) at I-95 Exit 3 in Kingsland.,I-95,3,,,,,,,yes,,
CAT Scale at Love's Brunswick (#405),cat-scales,2766 US Highway 17 S,Brunswick,GA,31523,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Love's Travel Stop #405 at I-95 Exit 29 in Brunswick.,I-95,29,,,,,,,yes,,
CAT Scale at Flying J Brunswick (#627),cat-scales,2990 US Hwy 17 S,Brunswick,GA,31523,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Flying J Travel Center #627 at I-95 Exit 29 in Brunswick.,I-95,29,,,,,,,yes,,
