name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Pilot Travel Center #4562,truck-stops,2607 Scrubby Bluff Rd,Kingsland,GA,31548,912-576-7858,https://locations.pilotflyingj.com/us/ga/kingsland/2607-scrubby-bluff-rd,"24-hour Pilot travel center in the NW quadrant of I-95 Exit 1 with diesel lanes, 8 showers, about 111 truck parking spaces, a CAT scale and Dunkin.",I-95,1,yes,yes,yes,,yes,,yes,yes,
Pilot Travel Center #575,truck-stops,491 St Marys Rd,St. Marys,GA,31548,912-576-8460,,"Large 24-hour Pilot at I-95 Exit 1 (St Marys Rd) with 14 fuel lanes, 12 showers, about 235 parking spaces and a CAT scale.",I-95,1,yes,,yes,,yes,,yes,yes,
Petro Stopping Center #344 (TA/Petro Kingsland),truck-stops,1105 E King Ave,Kingsland,GA,31548,912-882-3111,https://www.ta-petro.com/location/ga/petro-kingsland/,"24-hour Petro (TravelCenters of America) at I-95 Exit 3 with 9 fuel lanes, 5 showers, about 136 parking spaces, a CAT scale, a 5-bay TA Truck Service and Popeyes.",I-95,3,yes,yes,yes,yes,yes,yes,yes,yes,
Georgia Welcome Center (I-95 Northbound),parking,,Kingsland,GA,,,https://www.dot.ga.gov/GDOT/Pages/restareaswelcomecenters.aspx,"GDOT welcome center on northbound I-95 about a mile north of the Florida line near Kingsland/St Marys, with separate truck and car parking lanes, restrooms and picnic tables.",I-95,,,,,,yes,,,,
Coastal Chevron / Sunshine Travel Plaza,truck-stops,2040 E 10th St,Woodbine,GA,31569,912-882-8440,,"24-hour independent Chevron truck stop at I-95 Exit 14 with 24-hour diesel, about 100 truck parking spaces, laundry, a restaurant and Wi-Fi.",I-95,14,,yes,yes,yes,yes,,,yes,
Love's Travel Stop #405,truck-stops,2766 US Highway 17 S,Brunswick,GA,31523,912-264-2777,https://www.loves.com/locations/405,"24-hour Love's at I-95 Exit 29 (US-17) with diesel, about 78 truck parking spaces, 6 showers, a CAT scale, truck/tire care and Subway/Chester's/Godfather's.",I-95,29,yes,yes,yes,,yes,yes,yes,yes,
Flying J Travel Center #627,truck-stops,2990 US Hwy 17 S,Brunswick,GA,31523,912-280-0006,https://locations.pilotflyingj.com/us/ga/brunswick/2990-us-17,"24-hour Flying J at I-95 Exit 29 with 12 diesel lanes, 15 showers, about 150 parking spaces, a CAT scale, Denny's, laundry and propane.",I-95,29,yes,yes,yes,yes,yes,,yes,yes,
TA Travel Center Brunswick,truck-stops,185 Dungeness Dr,Brunswick,GA,31523,,,"TravelCenters of America travel center at I-95 Exit 29 (US-17) with 8 diesel lanes, about 107 truck parking spaces, showers and Subway/Burger King/Starbucks.",I-95,29,yes,yes,yes,,yes,,,yes,
Blue Beacon Truck Wash of Brunswick,truck-washes,2752 US Highway 17 S,Brunswick,GA,31523,912-261-9338,https://bluebeacon.com/locations/listing/brunswick-ga,"24/7 double-bay Blue Beacon truck wash at I-95 Exit 29 next to the Love's, with truck/trailer exterior wash, washouts, engine wash, aluminum brightening and RV wash.",I-95,29,,,,,,,,,
Love's Speedco #906,tire-repair,130 Pilot Dr,Brunswick,GA,31523,912-264-5730,https://www.loves.com/locations/ga/brunswick/loves-speedco-brunswick-906,"Speedco truck lube and tire center at I-95 Exit 29 with an expanded tire selection, light mechanical, oil/lube (PM) service and roadside assistance; Michelin dealer.",I-95,29,,,,,,yes,,,
Dynamic Diesel Solutions,roadside-service,301 Dungeness Dr,Brunswick,GA,31523,,,"24-hour mobile and on-site heavy-duty service near I-95 Exit 29 with truck, trailer, tire, reefer and RV repair, diagnostics, hydraulics, suspension and trailer washout.",I-95,29,,,,,,yes,,,
El Cheapo #54 (Texaco),truck-stops,13109 Hwy 251,Darien,GA,31305,912-437-4440,,"24-hour independent El Cheapo (Texaco) truck stop at I-95 Exit 49 (GA-251) just south of the DOT scales, with 5 diesel pumps, about 25 truck parking spaces, a deli/restaurant and laundry.",I-95,49,,yes,yes,yes,yes,,,,
"GA DPS Weigh Station (I-95 Northbound, Townsend)",weigh-stations,,Townsend,GA,,912-832-5863,,Georgia DPS Commercial Vehicle Enforcement weigh/inspection station on northbound I-95 near mile marker 55 in McIntosh County (between Darien Exit 49 and Townsend Exit 58).,I-95,,,,,,,,,,
"GA DPS Weigh Station (I-95 Southbound, Townsend)",weigh-stations,,Townsend,GA,,912-832-5717,,Georgia DPS Commercial Vehicle Enforcement weigh/inspection station on southbound I-95 near mile marker 56 in McIntosh County (near Townsend/Darien).,I-95,,,,,,,,,,
GA I-95 Glynn County Rest Area (Southbound),parking,,Brunswick,GA,,,https://www.dot.ga.gov/GDOT/Pages/restareaswelcomecenters.aspx,"GDOT rest area on southbound I-95 near mile marker 38 in Glynn County (Brunswick area) with separate truck and passenger parking, restrooms, water, picnic tables and RV dump.",I-95,,,,,,yes,,,,
El Cheapo #50,truck-stops,13670 E Oglethorpe Hwy,Midway,GA,31320,912-884-9453,,"24-hour independent El Cheapo truck stop at I-95 Exit 76 (Midway/Riceboro) with Shell-branded fuel, truck diesel with satellite pumps, showers, a deli/fast food and Wi-Fi.",I-95,76,yes,yes,yes,,yes,,,yes,
CAT Scale at Pilot Kingsland (#4562),cat-scales,2607 Scrubby Bluff Rd,Kingsland,GA,31548,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Pilot Travel Center #4562 at I-95 Exit 1 in Kingsland.,I-95,1,,,,,,,yes,,
CAT Scale at Pilot St. Marys (#575),cat-scales,491 St Marys Rd,St. Marys,GA,31548,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Pilot Travel Center #575 at I-95 Exit 1 (St Marys Rd).,I-95,1,,,,,,,yes,,
CAT Scale at Petro Kingsland (#344),cat-scales,1105 E King Ave,Kingsland,GA,31548,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at the Petro Stopping Center (TA/Petro) at I-95 Exit 3 in Kingsland.,I-95,3,,,,,,,yes,,
CAT Scale at Love's Brunswick (#405),cat-scales,2766 US Highway 17 S,Brunswick,GA,31523,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Love's Travel Stop #405 at I-95 Exit 29 in Brunswick.,I-95,29,,,,,,,yes,,
CAT Scale at Flying J Brunswick (#627),cat-scales,2990 US Hwy 17 S,Brunswick,GA,31523,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Flying J Travel Center #627 at I-95 Exit 29 in Brunswick.,I-95,29,,,,,,,yes,,
TA Savannah (TravelCenters of America #177),truck-stops,4401 US Highway 17,Richmond Hill,GA,31324,,https://www.ta-petro.com/location/ga/ta-savannah/,"Full-service TA travel center at I-95 Exit 87 (US-17) with 24-hour diesel, 222 truck spaces, 9 fuel lanes, 8 showers, 6 service bays, a CAT scale, laundry and Fuddruckers/Popeyes.",I-95,87,yes,yes,yes,yes,yes,yes,yes,yes,
El Cheapo (Richmond Hill),truck-stops,,Richmond Hill,GA,31324,,,"Independent fuel/truck stop on US-17 at I-95 Exit 87 with diesel lanes, about 25 truck spaces, showers, scales, tire repair and a truck wash (exact street number unverified).",I-95,87,yes,,yes,,yes,yes,,,
Love's Travel Stop #338,truck-stops,8436 Ford Ave (GA-144),Richmond Hill,GA,31324,912-756-5394,https://www.loves.com/locations/338,"Love's at I-95 Exit 90 (GA-144) with 24-hour diesel, about 90 truck spaces, 8 diesel lanes, showers, a CAT scale, McDonald's and an RV dump.",I-95,90,yes,yes,yes,,yes,,yes,yes,
Love's Travel Stop #893,truck-stops,2 Sonny Perdue Dr,Garden City,GA,31408,912-645-9651,https://www.loves.com/locations/893,"Newer Love's near I-95 Exit 94 at GA-307/Sonny Perdue Dr in Garden City with 24-hour diesel, about 97 truck spaces, 8 fuel lanes, 6 showers, a CAT scale and Hardee's.",I-95,94,yes,yes,yes,,yes,,yes,yes,
Parker's Kitchen #69,truck-stops,,Pooler,GA,31322,912-450-0069,https://parkerskitchen.com/locations/,"Parker's convenience/fuel location serving trucks near I-95 in Pooler with 24-hour diesel, bulk DEF, a deli/fast food and a reported CAT scale (exact exit/address unverified).",I-95,,,yes,yes,,yes,,yes,,
Pilot Travel Center #71,truck-stops,7001 GA-21,Port Wentworth,GA,31407,912-964-7006,https://locations.pilotflyingj.com/us/ga/port-wentworth/7001-ga-21,"Pilot travel center at I-95 Exit 109 (GA-21) with 24-hour diesel, 112 truck spaces, 8 fuel lanes, 8 showers, 2 service bays, a CAT scale, laundry and an on-site Southern Tire Mart.",I-95,109,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at TA Savannah,cat-scales,4401 US Highway 17,Richmond Hill,GA,31324,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at TA Savannah at I-95 Exit 87.,I-95,87,,,,,,,yes,,
CAT Scale at Love's Richmond Hill (#338),cat-scales,8436 Ford Ave (GA-144),Richmond Hill,GA,31324,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Love's #338 at I-95 Exit 90.,I-95,90,,,,,,,yes,,
CAT Scale at Love's Garden City (#893),cat-scales,2 Sonny Perdue Dr,Garden City,GA,31408,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Love's #893 near I-95 Exit 94 (GA-307) in Garden City.,I-95,94,,,,,,,yes,,
CAT Scale at Pilot Port Wentworth (#71),cat-scales,7001 GA-21,Port Wentworth,GA,31407,,https://catscale.com/cat-scale-locator/,Certified CAT Scale co-located at Pilot Travel Center #71 at I-95 Exit 109.,I-95,109,,,,,,,yes,,
Southern Tire Mart - Pooler,tire-repair,1476 US Highway 80 E,Pooler,GA,31322,912-964-6798,https://stmtires.com/locations/store-stm-150/,"Commercial truck tire dealer/service near I-95 Exit 102 (US-80) in Pooler with new/retread OTR tires, truck & trailer service and 24/7 roadside.",I-95,102,,,,,,yes,,,
Southern Tire Mart at Pilot - Port Wentworth,tire-repair,7001 GA-21,Port Wentworth,GA,31407,,https://stmtires.com/locations/store-stmp-357/,Southern Tire Mart commercial tire/DOT-inspection service co-located at the Pilot Travel Center at I-95 Exit 109 in Port Wentworth.,I-95,109,,,,,,yes,,,
Snider Fleet Solutions - Savannah,tire-repair,530 Magazine Ave,Savannah,GA,31415,912-964-1968,https://sniderfleet.com/locations/,"Commercial tire dealer, retreads and mechanical/roadside service in the Garden City/Savannah port area serving the I-95 corridor (several miles east of I-95), with 24/7 emergency road service.",I-95,,,,,,,yes,,,
CMJ Truck Wash,truck-washes,433 Grange Rd,Port Wentworth,GA,31407,912-220-4457,,Semi/tractor-trailer wash near I-95 Exit 109 in Port Wentworth (Grange Rd/port area).,I-95,109,,,,,,,,,
I-95 Weigh Station - Port Wentworth,weigh-stations,,Port Wentworth,GA,31407,,,"Georgia DOT/DPS weigh and inspection station on I-95 near Port Wentworth (about MM 110, just south of the state Welcome Center); a southbound truck scale, generally Mon-Fri, with a companion northbound facility nearby.",I-95,,,,,,,,,,
Georgia Welcome Center (Savannah) - I-95 SB,parking,,Port Wentworth,GA,31407,912-963-2546,https://exploregeorgia.org/georgia-welcome-centers,"GDOT Welcome Center / rest area on southbound I-95 at about mile marker 111 near the SC line in Port Wentworth, with separate truck and car parking, 24-hour restrooms and an info desk.",I-95,,,,,,yes,,,,
Carson Safety Rest Area - I-95 NB,parking,,Port Wentworth,GA,31407,,https://www.dot.ga.gov/GDOT/Pages/restareaswelcomecenters.aspx,"GDOT safety rest area on northbound I-95 near Port Wentworth, open 24/7 year-round, with separate car and truck parking (limited truck spots), restrooms and vending.",I-95,,,,,,yes,,,,
Tim's Towing & Recovery,roadside-service,2141 Gamble Rd,Savannah,GA,31405,,https://timstowingandrecovery.com/,"24/7 heavy-duty towing/recovery (60-ton wreckers, rotator) serving I-95 and the Savannah metro since 1974.",I-95,,,,,,,,,,
Sapp's Wrecker Service,roadside-service,,Savannah,GA,,,https://sappswrecker.guardianfleetservice.com/,24/7 heavy-duty towing and recovery serving the Savannah area and the I-95 corridor.,I-95,,,,,,,,,,
Savannah Technical College - Commercial Truck Driving (CDL),cdl-schools,,Savannah,GA,,,https://www.savannahtech.edu/academics/commercial-truck-driving/,"ELDT-certified CDL Class A program serving the Savannah/I-95 region, with behind-the-wheel training at the Effingham (Rincon) and Liberty (Hinesville) campuses near the corridor.",I-95,,,,,,,,,,
