name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Irving Kittery (Bluecanoe Big Stop),truck-stops,Kittery,ME,irving-kittery-bluecanoe-big-stop-kittery-me,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kennebunk Service Plaza (Northbound) (Maine Turnpike),truck-stops,Kennebunk,ME,kennebunk-service-plaza-northbound-maine-turnpike-kennebunk-me,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kennebunk Service Plaza (Southbound) (Maine Turnpike),truck-stops,Kennebunk,ME,kennebunk-service-plaza-southbound-maine-turnpike-kennebunk-me,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Gray Service Plaza (Maine Turnpike),truck-stops,Gray,ME,gray-service-plaza-maine-turnpike-gray-me,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
West Gardiner Service Plaza (Maine Turnpike),truck-stops,West Gardiner,ME,west-gardiner-service-plaza-maine-turnpike-west-gardiner-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Auburn Irving Big Stop (Circle K),truck-stops,Auburn,ME,auburn-irving-big-stop-circle-k-auburn-me,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Crossroads Market,truck-stops,Auburn,ME,crossroads-market-auburn-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale (Irving Kittery),cat-scales,Kittery,ME,cat-scale-irving-kittery-kittery-me,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale (Auburn Irving Big Stop),cat-scales,Auburn,ME,cat-scale-auburn-irving-big-stop-auburn-me,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Britewash Washbay,truck-washes,Kittery,ME,britewash-washbay-kittery-me,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Eco Detail Truck Wash and Washout,truck-washes,Auburn,ME,eco-detail-truck-wash-and-washout-auburn-me,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
Service Tire Truck Centers (STTC) - Scarborough,tire-repair,Scarborough,ME,service-tire-truck-centers-sttc-scarborough-scarborough-me,,67,Good,needs-geocoding,,import-unpublished,"completeness 67, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
Goodyear Commercial Tire & Service Center - Scarborough,tire-repair,Scarborough,ME,goodyear-commercial-tire-service-center-scarborough-scarborough-me,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Website; Verified date; Approved reviews
Kittery Weigh Station (I-95),weigh-stations,Kittery,ME,kittery-weigh-station-i-95-kittery-me,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
York Weigh Station (I-95),weigh-stations,York,ME,york-weigh-station-i-95-york-me,,74,Good,needs-geocoding,,ready-to-publish,completeness 74 with address,Verified coordinates; Verified date; Approved reviews
Maine State Visitor Information Center - Kittery,parking,Kittery,ME,maine-state-visitor-information-center-kittery-kittery-me,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
West Gardiner Service Plaza Truck Parking (Maine Turnpike),parking,West Gardiner,ME,west-gardiner-service-plaza-truck-parking-maine-turnpike-west-gardiner-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Kennebunk Service Plaza Truck Parking (Maine Turnpike),parking,Kennebunk,ME,kennebunk-service-plaza-truck-parking-maine-turnpike-kennebunk-me,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Gray Service Plaza Truck Parking (Maine Turnpike),parking,Gray,ME,gray-service-plaza-truck-parking-maine-turnpike-gray-me,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Ray's Truck Service,roadside-service,Saco,ME,ray-s-truck-service-saco-me,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Northeast Technical Institute (NTI),cdl-schools,Scarborough,ME,northeast-technical-institute-nti-scarborough-me,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Central Maine Community College - CDL Training,cdl-schools,Auburn,ME,central-maine-community-college-cdl-training-auburn-me,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Fairfield Irving Big Stop,truck-stops,Fairfield,ME,fairfield-irving-big-stop-fairfield-me,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Irving Big Stop Fairfield,cat-scales,Fairfield,ME,cat-scale-at-irving-big-stop-fairfield-fairfield-me,,67,Good,needs-geocoding,,import-unpublished,"completeness 67, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
Newport Irving Big Stop,truck-stops,Newport,ME,newport-irving-big-stop-newport-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Dysart's Travel Stop (Hermon),truck-stops,Hermon,ME,dysart-s-travel-stop-hermon-hermon-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Dysart's (Bangor / Broadway),truck-stops,Bangor,ME,dysart-s-bangor-broadway-bangor-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Medway Irving Big Stop,truck-stops,Medway,ME,medway-irving-big-stop-medway-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sherman Irving Big Stop,truck-stops,Sherman,ME,sherman-irving-big-stop-sherman-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Houlton Irving Big Stop,truck-stops,Houlton,ME,houlton-irving-big-stop-houlton-me,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Irving Big Stop Houlton,cat-scales,Houlton,ME,cat-scale-at-irving-big-stop-houlton-houlton-me,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Sidney Weigh & Inspection Station,weigh-stations,Sidney,ME,sidney-weigh-inspection-station-sidney-me,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Old Town Weigh & Inspection Station,weigh-stations,Old Town,ME,old-town-weigh-inspection-station-old-town-me,,74,Good,needs-geocoding,,ready-to-publish,completeness 74 with address,Verified coordinates; Verified date; Approved reviews
Hampden North Visitor Information Center,parking,Hampden,ME,hampden-north-visitor-information-center-hampden-me,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Medway Rest Area,parking,Medway,ME,medway-rest-area-medway-me,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Dysart's Truck Wash,truck-washes,Hermon,ME,dysart-s-truck-wash-hermon-me,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Bangor Tire Company - Commercial Division,tire-repair,Hermon,ME,bangor-tire-company-commercial-division-hermon-me,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Freightliner of Maine,tire-repair,Bangor,ME,freightliner-of-maine-bangor-me,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Leonard Heavy Rescue,roadside-service,Bangor,ME,leonard-heavy-rescue-bangor-me,,70,Good,needs-geocoding,,ready-to-publish,completeness 70 with address,Exit number; Verified coordinates; Verified date; Approved reviews
W and W Roadside Repair & Heavy Duty Towing,roadside-service,Bangor,ME,w-and-w-roadside-repair-heavy-duty-towing-bangor-me,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,Exit number; Verified coordinates; Phone; Website; Verified date; Approved reviews
Bangor Mobile Truck Repair,roadside-service,Bangor,ME,bangor-mobile-truck-repair-bangor-me,,61,Needs work,needs-geocoding,,import-unpublished,"completeness 61, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Northeast Technical Institute (NTI) - Bangor,cdl-schools,Bangor,ME,northeast-technical-institute-nti-bangor-bangor-me,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
