name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Fairfield Irving Big Stop,truck-stops,,Fairfield,ME,04937,,https://www.irvingoil.com,"Full-service Irving Big Stop just off I-95 north of Waterville with roughly 60 truck parking spaces, 6 diesel lanes, showers, laundry, a Subway, trucker lounge and a certified CAT Scale.",I-95,133,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Irving Big Stop Fairfield,cat-scales,,Fairfield,ME,04937,877-228-7225,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Fairfield Irving Big Stop truck stop off I-95 Exit 133.,I-95,133,,,,,,,yes,,
Newport Irving Big Stop,truck-stops,US Route 2,Newport,ME,04953,207-368-5776,https://www.irvingoil.com,"24-hour Irving Big Stop at I-95 Exit 157 with about 45 truck parking spaces, 4 diesel lanes, 2 showers, a restaurant/deli, ATM and trucker lounge. Accepts hazmat and overnight parking.",I-95,157,yes,yes,yes,,yes,,,yes,
Dysart's Travel Stop (Hermon),truck-stops,530 Coldbrook Road,Hermon,ME,04401,207-942-4878,https://dysartstravelstops.com/location/hermon/,"Famous large independent Maine truck stop and diner at I-95 Exit 180, established 1967. Offers 24-hour diesel, lighted truck parking, showers, laundry, truck wash, oil/lube and tire/truck repair, DOT inspections, certified scales and a full restaurant.",I-95,180,yes,yes,yes,yes,yes,yes,,yes,
Dysart's (Bangor / Broadway),truck-stops,1110 Broadway,Bangor,ME,04401,207-947-7779,https://dysartstravelstops.com/location/bangor-broadway/,"Dysart's fuel and convenience travel stop with restaurant just off I-95 Exit 185 (Broadway) in Bangor, offering diesel and a full-service diner.",I-95,185,,yes,yes,,yes,,,,
Medway Irving Big Stop,truck-stops,1941 Medway Road,Medway,ME,04460,207-746-3411,https://www.irvingoil.com,"Irving Big Stop at I-95 Exit 244 (gateway to Baxter State Park/Millinocket) with truck parking, diesel, restaurant/deli and convenience store.",I-95,244,,yes,yes,,yes,,,,
Sherman Irving Big Stop,truck-stops,18 Main Street,Sherman,ME,04776,207-365-4485,https://www.irvingoil.com,"Irving Big Stop at I-95 Exit 264 in Sherman Mills with about 25 truck parking spaces, diesel, restaurant/deli, ATM and convenience store.",I-95,264,,yes,yes,,yes,,,,
Houlton Irving Big Stop,truck-stops,267 North Street,Houlton,ME,04730,207-521-0290,https://www.irvingoil.com,"Last major truck stop before the Canadian border at the north end of I-95 (Exit 302). Full-service diner, roughly 60-75 truck parking spaces, showers, laundry, diesel and a certified CAT Scale.",I-95,302,yes,yes,yes,yes,yes,,yes,yes,
CAT Scale at Irving Big Stop Houlton,cat-scales,267 North Street,Houlton,ME,04730,877-228-7225,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at the Houlton Irving Big Stop off I-95 Exit 302, the last CAT Scale before the Canadian border.",I-95,302,,,,,,,yes,,
Sidney Weigh & Inspection Station,weigh-stations,"I-95 Southbound, Mile Marker 117",Sidney,ME,04330,,https://www.maine.gov/dps/msp/investigation-traffic/commercial-vehicle-unit,"Permanent Maine State Police southbound weigh/inspection station on I-95 near Sidney (between Waterville and Augusta), using weigh-in-motion and PrePass/Drivewyze bypass screening.",I-95,,,,,,,,,,
