name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Irving Kittery (Bluecanoe Big Stop),truck-stops,103 US Route 1 Bypass,Kittery,ME,03904,,,"Full-service Irving truck stop just off I-95 Exit 2, the first stop over the New Hampshire line. Offers 24-hour diesel, CAT Scale, showers, laundry, a truck wash, restaurant/deli and trucker lounge.",I-95,2,yes,yes,yes,yes,yes,yes,yes,yes,
Kennebunk Service Plaza (Northbound) (Maine Turnpike),truck-stops,"Maine Turnpike (I-95), Mile 25 Northbound",Kennebunk,ME,04043,,https://www.maineturnpike.com/traveler-services/service-plazas/kennebunk-service-plaza-(northbound),"Mainline Maine Turnpike service plaza at Mile 25 northbound with Citgo gas/diesel, a convenience store, fast food (Burger King, Dunkin', Popeye's) and car/RV/truck parking.",I-95,,,yes,yes,,yes,,,,
Kennebunk Service Plaza (Southbound) (Maine Turnpike),truck-stops,"Maine Turnpike (I-95), Mile 25 Southbound",Kennebunk,ME,04043,207-985-6862,https://www.maineturnpike.com/traveler-services/service-plazas/kennebunk-service-plaza-(southbound),"Mainline Maine Turnpike service plaza at Mile 25 southbound with Citgo gas/diesel, a 24-hour convenience store, fast food (Burger King, Dunkin', Sbarro) and car/RV/truck parking.",I-95,,,yes,yes,,yes,,,,
Gray Service Plaza (Maine Turnpike),truck-stops,"Maine Turnpike (I-95), Mile 59 Northbound",Gray,ME,04039,207-657-6063,https://www.maineturnpike.com/traveler-services/service-plazas/gray-service-plaza,"Northbound-only Maine Turnpike service plaza near Mile 59 with 24-hour Citgo gas/diesel, Burger King, a convenience store, restrooms and truck parking.",I-95,,,yes,yes,,yes,,,,
West Gardiner Service Plaza (Maine Turnpike),truck-stops,288 Lewiston Road,West Gardiner,ME,04345,207-582-5721,https://www.maineturnpike.com/traveler-services/service-plazas/west-gardiner-service-plaza,"Large service plaza at Mile 102 where the Maine Turnpike meets I-295 and Route 126, serving both directions. Offers 24-hour Citgo gas/diesel, Burger King, Dunkin', Popeye's, a convenience store, EV charging and truck parking.",I-95,102,,yes,yes,,yes,,,,
Auburn Irving Big Stop (Circle K),truck-stops,1813 Washington Street,Auburn,ME,04210,,,"Irving/Circle K travel center at I-95 Exit 75 in the Lewiston-Auburn area with about 60 truck parking spaces, four diesel lanes, showers, laundry, ATM, a 24/7 store and a CAT Scale.",I-95,75,yes,yes,yes,yes,yes,,yes,,
Crossroads Market,truck-stops,791 Kittyhawk Avenue,Auburn,ME,04210,207-753-4390,https://www.crossroadsmarketauburn.com/,"Independent truck stop / convenience store at I-95 Exit 75 with four diesel lanes, about 8 truck parking spaces, a trucker lounge, deli/pizza, Dunkin', Subway and a Chinese restaurant.",I-95,75,,yes,yes,,yes,,,,
CAT Scale (Irving Kittery),cat-scales,103 US Route 1 Bypass,Kittery,ME,03904,,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at the Irving Kittery Big Stop just off I-95 Exit 2, the first weigh-your-load scale over the New Hampshire line.",I-95,2,,,,,,,yes,,
CAT Scale (Auburn Irving Big Stop),cat-scales,1813 Washington Street,Auburn,ME,04210,,https://catscale.com/cat-scale-locator/,Certified CAT Scale (#1196) at the Irving/Circle K Big Stop at I-95 Exit 75 in the Lewiston-Auburn area.,I-95,75,,,,,,,yes,,
Britewash Washbay,truck-washes,19 Ranger Drive,Kittery,ME,03904,207-451-9880,https://www.britewash.com/,"Truck and fleet wash bay in Kittery near the NH line offering tractor, tanker, RV/bus washes, trailer washouts, chassis flush and engine wash, plus mobile fleet washing across southern Maine.",I-95,3,,,,,,,,,
Eco Detail Truck Wash and Washout,truck-washes,1813 Washington Street,Auburn,ME,04210,207-402-8909,,Semi-truck wash and trailer washout at the Irving Big Stop complex at I-95 Exit 75 in Auburn.,I-95,75,,,,,,,,,
Service Tire Truck Centers (STTC) - Scarborough,tire-repair,,Scarborough,ME,04074,207-883-5101,https://www.sttc.com/locations/maine/scarborough/,"Commercial truck tire center near I-95 Exit 42 offering medium/heavy-duty and OTR tires, truck alignment and 24-hour road service.",I-95,42,,,,,,yes,,,
Goodyear Commercial Tire & Service Center - Scarborough,tire-repair,10 Ginn Road,Scarborough,ME,04074,877-769-8177,,Commercial truck tire and service center near I-95 Exit 42 in Scarborough with 24/7 on-site fleet maintenance and emergency roadside tire repair.,I-95,42,,,,,,yes,,,
Kittery Weigh Station (I-95),weigh-stations,I-95 near Mile Marker 6,Kittery,ME,03904,,https://www.maine.gov/dps/msp/investigation-traffic/commercial-vehicle-unit,"Permanent Maine State Police fixed weigh and inspection station on I-95 near the New Hampshire line, with in-pavement weigh-in-motion sensors screening commercial trucks.",I-95,,,,,,,,,,
York Weigh Station (I-95),weigh-stations,"I-95, York",York,ME,03909,,https://www.maine.gov/dps/msp/investigation-traffic/commercial-vehicle-unit,"Permanent Maine commercial-vehicle weigh and inspection station on I-95 in York, one of the state's four fixed I-95 weigh facilities.",I-95,7,,,,,,,,,
Maine State Visitor Information Center - Kittery,parking,"I-95 Northbound, Mile 3 (US Route 1 connector)",Kittery,ME,03904,207-439-1319,,"Maine's southern-border welcome center/rest area on I-95 northbound near Mile 3, with 24-hour restrooms, a brochure lobby, vending, pet area and car/RV/truck parking.",I-95,,,,,,yes,,,,
West Gardiner Service Plaza Truck Parking (Maine Turnpike),parking,288 Lewiston Road,West Gardiner,ME,04345,207-582-5721,https://www.maineturnpike.com/traveler-services/service-plazas/west-gardiner-service-plaza,"Dedicated truck parking at the West Gardiner service plaza (Mile 102), the large plaza where the Turnpike meets I-295 and Route 126, with fuel, food and restrooms on site.",I-95,102,,yes,yes,,yes,,,,
