name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Baltimore South #151,truck-stops,Jessup,MD,ta-baltimore-south-151-jessup-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Baltimore South Jessup,cat-scales,Jessup,MD,cat-scale-at-ta-baltimore-south-jessup-jessup-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
I-95/I-495 Commercial Vehicle Weigh & Inspection Station (MSP CVED),weigh-stations,College Park,MD,i-95-i-495-commercial-vehicle-weigh-inspection-station-msp-cved-college-park-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Maryland I-95 North Welcome Center & Rest Area,parking,Savage,MD,maryland-i-95-north-welcome-center-rest-area-savage-md,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Maryland I-95 South Welcome Center & Rest Area,parking,Savage,MD,maryland-i-95-south-welcome-center-rest-area-savage-md,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
"Columbia Fleet Service, Inc.",roadside-service,Jessup,MD,columbia-fleet-service-inc-jessup-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Maryland Truck Tire Services Inc,tire-repair,Jessup,MD,maryland-truck-tire-services-inc-jessup-md,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Menendez Road Service,roadside-service,Jessup,MD,menendez-road-service-jessup-md,,67,Good,needs-geocoding,,import-unpublished,"completeness 67, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
Heavy Towing Baltimore (BBT & Recovery),roadside-service,Baltimore,MD,heavy-towing-baltimore-bbt-recovery-baltimore-md,,61,Needs work,needs-geocoding,,import-unpublished,"completeness 61, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
VIP Quality Express Truck Wash,truck-washes,Jessup,MD,vip-quality-express-truck-wash-jessup-md,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Amenities; Verified date; Approved reviews
A.B. CDL Training,cdl-schools,Laurel,MD,a-b-cdl-training-laurel-md,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Prince George's Community College CDL Training (Laurel Center),cdl-schools,Laurel,MD,prince-george-s-community-college-cdl-training-laurel-center-laurel-md,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Amenities; Verified date; Approved reviews
North American Trade Schools (CDL Program),cdl-schools,Baltimore,MD,north-american-trade-schools-cdl-program-baltimore-md,,48,Needs work,needs-geocoding,,import-unpublished,"completeness 48, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Maryland House Travel Plaza,truck-stops,Aberdeen,MD,maryland-house-travel-plaza-aberdeen-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Chesapeake House Travel Plaza,truck-stops,North East,MD,chesapeake-house-travel-plaza-north-east-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Baltimore #216,truck-stops,Baltimore,MD,ta-baltimore-216-baltimore-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #290,truck-stops,Perryville,MD,pilot-travel-center-290-perryville-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #784,truck-stops,North East,MD,flying-j-travel-center-784-north-east-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #875,truck-stops,Elkton,MD,flying-j-travel-center-875-elkton-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Elkton #019,truck-stops,Elkton,MD,ta-elkton-019-elkton-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Baltimore,cat-scales,Baltimore,MD,cat-scale-at-ta-baltimore-baltimore-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Pilot Perryville,cat-scales,Perryville,MD,cat-scale-at-pilot-perryville-perryville-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Flying J North East,cat-scales,North East,MD,cat-scale-at-flying-j-north-east-north-east-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Flying J Elkton,cat-scales,Elkton,MD,cat-scale-at-flying-j-elkton-elkton-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at TA Elkton,cat-scales,Elkton,MD,cat-scale-at-ta-elkton-elkton-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash of Elkton,truck-washes,Elkton,MD,blue-beacon-truck-wash-of-elkton-elkton-md,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Boss Truck Shop (Elkton),tire-repair,Elkton,MD,boss-truck-shop-elkton-elkton-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
TA Truck Service (Elkton),tire-repair,Elkton,MD,ta-truck-service-elkton-elkton-md,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
I-95 Perryville Truck Weigh & Inspection Station (Northbound),weigh-stations,Perryville,MD,i-95-perryville-truck-weigh-inspection-station-northbound-perryville-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
I-95 Perryville Truck Weigh & Inspection Station (Southbound),weigh-stations,Perryville,MD,i-95-perryville-truck-weigh-inspection-station-southbound-perryville-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Days Inn by Wyndham Perryville,hotels-truck-parking,Perryville,MD,days-inn-by-wyndham-perryville-perryville-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Elkton Lodge,hotels-truck-parking,Elkton,MD,elkton-lodge-elkton-md,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Maryland House Travel Plaza Truck Parking,parking,Aberdeen,MD,maryland-house-travel-plaza-truck-parking-aberdeen-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Chesapeake House Travel Plaza Truck Parking,parking,North East,MD,chesapeake-house-travel-plaza-truck-parking-north-east-md,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Vintage Wrecker Service,roadside-service,Colora,MD,vintage-wrecker-service-colora-md,,61,Needs work,needs-geocoding,,import-unpublished,"completeness 61, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Cecil College Truck Driver Training (CDL),cdl-schools,Elkton,MD,cecil-college-truck-driver-training-cdl-elkton-md,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Harford Community College Commercial Truck Driving (CDL),cdl-schools,Bel Air,MD,harford-community-college-commercial-truck-driving-cdl-bel-air-md,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
All-State Career School (Baltimore),cdl-schools,Baltimore,MD,all-state-career-school-baltimore-baltimore-md,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
