name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
I-95 Attleboro Weigh & Inspection Station,weigh-stations,Attleboro,MA,i-95-attleboro-weigh-inspection-station-attleboro-ma,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Americas Best Value Inn Foxboro,hotels-truck-parking,Foxborough,MA,americas-best-value-inn-foxboro-foxborough-ma,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
The Peterbilt Store - Boston (The Pete Store),roadside-service,Plainville,MA,the-peterbilt-store-boston-the-pete-store-plainville-ma,,73,Good,needs-geocoding,,ready-to-publish,completeness 73 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Sullivan Tire & Auto Service - Norwood,tire-repair,Norwood,MA,sullivan-tire-auto-service-norwood-norwood-ma,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Foxboro Towing,roadside-service,Foxborough,MA,foxboro-towing-foxborough-ma,,67,Good,needs-geocoding,,import-unpublished,"completeness 67, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
Lexington Service Plaza (Northbound),parking,Lexington,MA,lexington-service-plaza-northbound-lexington-ma,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
M & L Boston Fuel & Wash,truck-washes,Woburn,MA,m-l-boston-fuel-wash-woburn-ma,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
J&H Auto & Truck Stop (Peabody Truck Stop),truck-stops,Peabody,MA,j-h-auto-truck-stop-peabody-truck-stop-peabody-ma,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Service Tire Truck Centers (STTC) - Peabody,tire-repair,Peabody,MA,service-tire-truck-centers-sttc-peabody-peabody-ma,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pete's Tire Barns - Woburn,tire-repair,Woburn,MA,pete-s-tire-barns-woburn-woburn-ma,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Murray's Towing & Equipment Services,roadside-service,Woburn,MA,murray-s-towing-equipment-services-woburn-ma,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Four Star Towing & Service,roadside-service,Peabody,MA,four-star-towing-service-peabody-ma,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
I-95 Weigh & Inspection Station (Rowley),weigh-stations,Rowley,MA,i-95-weigh-inspection-station-rowley-rowley-ma,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
I-95 Newbury Rest Area (Northbound),parking,Newbury,MA,i-95-newbury-rest-area-northbound-newbury-ma,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Newburyport Park & Ride,parking,Newburyport,MA,newburyport-park-ride-newburyport-ma,,68,Good,needs-geocoding,,ready-to-publish,completeness 68 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-95 Salisbury Massachusetts Welcome Center (Southbound),parking,Salisbury,MA,i-95-salisbury-massachusetts-welcome-center-southbound-salisbury-ma,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
