name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA Greenland (TravelCenters of America),truck-stops,Greenland,NH,ta-greenland-travelcenters-of-america-greenland-nh,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Exit 3 Travel Stop,truck-stops,Portsmouth,NH,exit-3-travel-stop-portsmouth-nh,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Hanscom's Truck Stop North (Portsmouth Truck Stop),truck-stops,Portsmouth,NH,hanscom-s-truck-stop-north-portsmouth-truck-stop-portsmouth-nh,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Hanscom's Truck Stop South,truck-stops,Portsmouth,NH,hanscom-s-truck-stop-south-portsmouth-nh,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA Greenland,cat-scales,Greenland,NH,cat-scale-at-ta-greenland-greenland-nh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Seabrook Tire Inc.,tire-repair,Seabrook,NH,seabrook-tire-inc-seabrook-nh,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
National Wrecker Service,roadside-service,Portsmouth,NH,national-wrecker-service-portsmouth-nh,,80,Good,needs-geocoding,,ready-to-publish,completeness 80 with address,Verified coordinates; Verified date; Approved reviews
Hampton I-95 Weigh / Inspection Station,weigh-stations,Hampton,NH,hampton-i-95-weigh-inspection-station-hampton-nh,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
NH Liquor & Wine Outlet / Rest Area - Hampton Southbound,parking,Hampton,NH,nh-liquor-wine-outlet-rest-area-hampton-southbound-hampton-nh,,62,Needs work,needs-geocoding,,import-unpublished,completeness 62 — enrich before publishing,Exit number; Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
NH Liquor & Wine Outlet / Rest Area - Hampton Northbound,parking,Hampton,NH,nh-liquor-wine-outlet-rest-area-hampton-northbound-hampton-nh,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
