name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
TA Greenland (TravelCenters of America),truck-stops,108 Ocean Road,Greenland,NH,03840,603-436-3636,https://www.ta-petro.com/location/nh/ta-greenland/,"Full-service TravelCenters of America truck stop at I-95 Exit 3 (Exit 3B southbound) with multiple diesel lanes, a 24-hour Country Pride restaurant, and a CAT Scale. Offers roughly 76 truck parking spaces.",I-95,3,yes,yes,yes,yes,yes,yes,yes,yes,
Exit 3 Travel Stop,truck-stops,1166 Greenland Road,Portsmouth,NH,03801,603-436-5619,,"Independent Sunoco-branded travel stop off I-95 Exit 3 with three diesel lanes, truck/overnight/hazmat parking, a convenience store and car wash.",I-95,3,,yes,yes,,yes,,,,
Hanscom's Truck Stop North (Portsmouth Truck Stop),truck-stops,1010 US Highway 1 Bypass,Portsmouth,NH,03801,603-436-0141,,"Long-running independent truck stop on the US-1 Bypass near I-95 Exit 5 with fuel lanes, convenience store, deli/fast food, trucker store and drivers' lounge.",I-95,5,,yes,yes,,yes,,,,
Hanscom's Truck Stop South,truck-stops,981 US Highway 1 Bypass,Portsmouth,NH,03801,603-436-0141,,"Independent truck stop on the US-1 Bypass accessible from I-95 Exits 5/7, offering fuel, convenience items, deli/food and a drivers' lounge.",I-95,7,,yes,yes,,yes,,,,
CAT Scale at TA Greenland,cat-scales,108 Ocean Road,Greenland,NH,03840,603-436-3636,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the TA Greenland travel center off I-95 Exit 3; the only CAT Scale on the New Hampshire I-95 corridor.,I-95,3,,,,,,,yes,,
Seabrook Tire Inc.,tire-repair,58 Lafayette Road,Seabrook,NH,03874,603-474-3037,https://www.seabrooktire.com,"Established tire dealer and service center on US-1 in Seabrook near I-95 Exit 1, listed as a Bridgestone commercial truck/semi/OTR tire dealer.",I-95,1,,,,,,yes,,,
National Wrecker Service,roadside-service,295 West Road,Portsmouth,NH,03801,603-436-3200,https://nationalwrecker.com,"24/7 heavy-duty truck, trailer and reefer towing, recovery and mobile tire/roadside repair serving the Portsmouth/Seacoast I-95 corridor; in operation since 1974.",I-95,5,,,,,,yes,,,yes
Hampton I-95 Weigh / Inspection Station,weigh-stations,I-95 at the Hampton mainline toll plaza,Hampton,NH,03842,,,Twin NH State Police commercial-vehicle weigh/inspection station serving northbound and southbound I-95 traffic at the Hampton toll plaza.,I-95,,,,,,,,,,
NH Liquor & Wine Outlet / Rest Area - Hampton Southbound,parking,"I-95 Southbound, Hampton (near the Hampton tolls)",Hampton,NH,03842,603-926-3374,https://www.liquorandwineoutlets.com,State-run rest area and NH Liquor & Wine Outlet on the southbound side of I-95 in Hampton with restrooms and a large paved lot commonly used for truck/vehicle stops. (Redevelopment to add fuel and food services is planned but not yet built.),I-95,,,,,,yes,,,,
NH Liquor & Wine Outlet / Rest Area - Hampton Northbound,parking,"I-95 Northbound, Hampton (near the Hampton tolls)",Hampton,NH,03842,,https://www.liquorandwineoutlets.com,State-run rest area and NH Liquor & Wine Outlet on the northbound side of I-95 in Hampton with restrooms and parking. (A future welcome-center redevelopment with fuel is planned but not yet operational.),I-95,,,,,,yes,,,,
