name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Richard Stockton Service Area (NJ Turnpike),truck-stops,Hamilton Township,NJ,richard-stockton-service-area-nj-turnpike-hamilton-township-nj,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Woodrow Wilson Service Area (NJ Turnpike),truck-stops,Hamilton Township,NJ,woodrow-wilson-service-area-nj-turnpike-hamilton-township-nj,,54,Needs work,needs-geocoding,,import-unpublished,completeness 54 — enrich before publishing,ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Molly Pitcher Service Area (NJ Turnpike),truck-stops,Cranbury,NJ,molly-pitcher-service-area-nj-turnpike-cranbury-nj,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Joyce Kilmer Service Area (NJ Turnpike),truck-stops,East Brunswick,NJ,joyce-kilmer-service-area-nj-turnpike-east-brunswick-nj,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Petro Bordentown (TravelCenters of America),truck-stops,Bordentown,NJ,petro-bordentown-travelcenters-of-america-bordentown-nj,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Petro Bordentown,cat-scales,Bordentown,NJ,cat-scale-at-petro-bordentown-bordentown-nj,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash - Bordentown,truck-washes,Bordentown,NJ,blue-beacon-truck-wash-bordentown-bordentown-nj,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Cranbury Service Center,roadside-service,Cranbury,NJ,cranbury-service-center-cranbury-nj,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
American Truck (mobile road service),roadside-service,New Brunswick,NJ,american-truck-mobile-road-service-new-brunswick-nj,,63,Needs work,needs-geocoding,,import-unpublished,"completeness 63, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Verified date; Approved reviews
Service Tire Truck Centers (STTC) - South Plainfield,tire-repair,South Plainfield,NJ,service-tire-truck-centers-sttc-south-plainfield-south-plainfield-nj,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Molly Pitcher Service Area Truck Parking,parking,Cranbury,NJ,molly-pitcher-service-area-truck-parking-cranbury-nj,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Joyce Kilmer Service Area Truck Parking,parking,East Brunswick,NJ,joyce-kilmer-service-area-truck-parking-east-brunswick-nj,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
