name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Richard Stockton Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike southbound, Milepost 58",Hamilton Township,NJ,,,https://www.njta.gov/travel-resources/service-areas/,"Southbound NJ Turnpike service area at MM 58 between Interchanges 7A and 7 in Hamilton, Mercer County, with Sunoco fuel (gas/diesel), a food court, restrooms and car/truck parking.",I-95,,,yes,yes,,yes,,,yes,
Woodrow Wilson Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike northbound, Milepost 58",Hamilton Township,NJ,,,https://www.njta.gov/travel-resources/service-areas/,"Northbound NJ Turnpike service area at MM 58 between Interchanges 7 and 7A in Hamilton, Mercer County, with Sunoco fuel, food, restrooms and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Molly Pitcher Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike southbound, Milepost 71",Cranbury,NJ,08512,,https://www.njta.gov/travel-resources/service-areas/,"Southbound NJ Turnpike service area at MM 71 between Interchanges 8 and 8A in Cranbury, Middlesex County, offering Sunoco fuel, a food court, restrooms, EV charging and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Joyce Kilmer Service Area (NJ Turnpike),truck-stops,"New Jersey Turnpike northbound, Milepost 78",East Brunswick,NJ,08816,,https://www.njta.gov/travel-resources/service-areas/,"Northbound NJ Turnpike service area at MM 78 between Interchanges 8A and 9 in East Brunswick, Middlesex County, offering Sunoco fuel, a food court, restrooms, EV charging and truck parking.",I-95,,,yes,yes,,yes,,,yes,
Petro Bordentown (TravelCenters of America),truck-stops,402 Rising Sun Road,Bordentown,NJ,08505,609-298-6070,https://www.ta-petro.com/location/nj/petro-bordentown/,"Full-service Petro/TA travel center near NJ Turnpike Exit 7 (also I-295 Exit 56/57) with Exxon gas/diesel, Iron Skillet and Arby's, showers, laundry, a CAT scale, TA Truck Service repair shop and roughly 390-490 truck parking spaces.",I-95,7,yes,yes,yes,yes,yes,yes,yes,yes,
CAT Scale at Petro Bordentown,cat-scales,402 Rising Sun Road,Bordentown,NJ,08505,609-298-6070,https://catscale.com/cat-scale-locator/,"Certified CAT Scale located at the Petro Bordentown travel center near NJ Turnpike Exit 7 / I-295 Exit 57, providing guaranteed-accurate axle and gross weights.",I-95,7,,,,,,,yes,,
Blue Beacon Truck Wash - Bordentown,truck-washes,402 Rising Sun Road,Bordentown,NJ,08505,609-291-1812,https://bluebeacon.com/locations/listing/bordentown-nj,"Blue Beacon commercial truck and trailer wash at the Petro complex near NJ Turnpike Exit 7 / I-295 Exit 56-57, offering tractor/trailer washing, reefer washouts, engine wash and aluminum brightening.",I-95,7,,,,,,,,,
Cranbury Service Center,roadside-service,44 Hightstown Cranbury Station Road,Cranbury,NJ,08512,609-448-2002,https://www.csc-nj.com/,"Family-run fleet and heavy-duty truck repair shop serving the Exit 8/8A Cranbury warehouse district since 1968, offering 24/7 heavy-duty towing, 24/7 mobile road service, diesel/engine/brake/transmission repair and tire service.",I-95,8A,,,,,,yes,,,
American Truck (mobile road service),roadside-service,,New Brunswick,NJ,,718-263-7422,https://www.callamericantruck.com/,"24-hour emergency mobile truck and trailer road service and towing covering the NJ Turnpike Exit 9 / New Brunswick area, providing tires, engine, brake and electrical repairs with a 60-90 minute response time.",I-95,9,,,,,,yes,,,
Service Tire Truck Centers (STTC) - South Plainfield,tire-repair,150 Durham Avenue,South Plainfield,NJ,07080,,https://www.sttc.com/locations/new-jersey-sttc/,"Commercial truck tire dealer and repair center near the northern end of this Turnpike segment (Exit 10 / Edison area), offering truck tires, mounting/repair and 24/7 emergency road service.",I-95,10,,,,,,yes,,,
