name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #412,truck-stops,Dunn,NC,love-s-travel-stop-412-dunn-nc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center (Sadler Travel Plaza),truck-stops,Dunn,NC,pilot-travel-center-sadler-travel-plaza-dunn-nc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sheetz #804,truck-stops,Hope Mills,NC,sheetz-804-hope-mills-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sun Do Truck Stop,truck-stops,Lumberton,NC,sun-do-truck-stop-lumberton-nc,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sunoco Travel Plaza (Cedar Creek Rd),truck-stops,Fayetteville,NC,sunoco-travel-plaza-cedar-creek-rd-fayetteville-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Love's Dunn,cat-scales,Dunn,NC,cat-scale-at-love-s-dunn-dunn-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Pilot Dunn (Sadler Travel Plaza),cat-scales,Dunn,NC,cat-scale-at-pilot-dunn-sadler-travel-plaza-dunn-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
I-95 Robeson County Weigh Station (Northbound),weigh-stations,Lumberton,NC,i-95-robeson-county-weigh-station-northbound-lumberton-nc,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
I-95 Robeson County Weigh Station (Southbound),weigh-stations,Lumberton,NC,i-95-robeson-county-weigh-station-southbound-lumberton-nc,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
I-95 South N.C. Welcome Center,parking,Rowland,NC,i-95-south-n-c-welcome-center-rowland-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-95 Cumberland County Rest Area (Northbound),parking,Fayetteville,NC,i-95-cumberland-county-rest-area-northbound-fayetteville-nc,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-95 Cumberland County Rest Area (Southbound),parking,Fayetteville,NC,i-95-cumberland-county-rest-area-southbound-fayetteville-nc,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Royal Inn Lumberton,hotels-truck-parking,Lumberton,NC,royal-inn-lumberton-lumberton-nc,,49,Needs work,needs-geocoding,,import-unpublished,"completeness 49, no address — enrich before publishing",Street address; Verified coordinates; Website; Parking type; Truck-space count; Amenities; TPC reservation link; Verified date; Approved reviews
Mangum's Towing & Road Service (Fayetteville),roadside-service,Fayetteville,NC,mangum-s-towing-road-service-fayetteville-fayetteville-nc,,61,Needs work,needs-geocoding,,import-unpublished,"completeness 61, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
C-R Road Service,roadside-service,Lumberton,NC,c-r-road-service-lumberton-nc,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Website; Verified date; Approved reviews
C-R Road Service Truck & Trailer Wash,truck-washes,Lumberton,NC,c-r-road-service-truck-trailer-wash-lumberton-nc,,56,Needs work,needs-geocoding,,import-unpublished,completeness 56 — enrich before publishing,Verified coordinates; Phone; Website; Amenities; Verified date; Approved reviews
Discount Tire Sales & Service (Lumberton),tire-repair,Lumberton,NC,discount-tire-sales-service-lumberton-lumberton-nc,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Phone; Verified date; Approved reviews
"Tire Sales & Service, Inc. (Commercial Tires)",tire-repair,Fayetteville,NC,tire-sales-service-inc-commercial-tires-fayetteville-nc,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Verified date; Approved reviews
Robeson Community College CDL Truck Driving Academy,cdl-schools,Lumberton,NC,robeson-community-college-cdl-truck-driving-academy-lumberton-nc,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Fayetteville Technical Community College CDL Program,cdl-schools,Fayetteville,NC,fayetteville-technical-community-college-cdl-program-fayetteville-nc,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Miller-Motte CDL Training (Fayetteville),cdl-schools,Fayetteville,NC,miller-motte-cdl-training-fayetteville-fayetteville-nc,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
TransTech CDL Training (Fayetteville),cdl-schools,Fayetteville,NC,transtech-cdl-training-fayetteville-fayetteville-nc,,48,Needs work,needs-geocoding,,import-unpublished,"completeness 48, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Petro Kenly 95 #395,truck-stops,Kenly,NC,petro-kenly-95-395-kenly-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #6990,truck-stops,Kenly,NC,pilot-travel-center-6990-kenly-nc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Flying J Travel Center #683,truck-stops,Kenly,NC,flying-j-travel-center-683-kenly-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Oasis Travel Center (Lakewood Landing),truck-stops,Halifax,NC,oasis-travel-center-lakewood-landing-halifax-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #58 (ONE9),truck-stops,Pleasant Hill,NC,pilot-travel-center-58-one9-pleasant-hill-nc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Kenly 95,cat-scales,Kenly,NC,cat-scale-at-kenly-95-kenly-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Flying J Kenly,cat-scales,Kenly,NC,cat-scale-at-flying-j-kenly-kenly-nc,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Pilot Pleasant Hill,cat-scales,Pleasant Hill,NC,cat-scale-at-pilot-pleasant-hill-pleasant-hill-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash of Kenly,truck-washes,Kenly,NC,blue-beacon-truck-wash-of-kenly-kenly-nc,,63,Needs work,needs-geocoding,,import-unpublished,"completeness 63, no address — enrich before publishing",Street address; Verified coordinates; Amenities; Verified date; Approved reviews
Love's Speedco #930,tire-repair,Kenly,NC,love-s-speedco-930-kenly-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Kenly 95 Truck Service Center,tire-repair,Kenly,NC,kenly-95-truck-service-center-kenly-nc,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
Colony Tire Corporation - Rocky Mount,tire-repair,Rocky Mount,NC,colony-tire-corporation-rocky-mount-rocky-mount-nc,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Halifax County I-95 Weigh Station (SHP),weigh-stations,Enfield,NC,halifax-county-i-95-weigh-station-shp-enfield-nc,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
I-95 Johnston County Rest Area (MM 99),parking,Selma,NC,i-95-johnston-county-rest-area-mm-99-selma-nc,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-95 Nash County Rest Area (MM 142),parking,Battleboro,NC,i-95-nash-county-rest-area-mm-142-battleboro-nc,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
North Carolina Welcome Center - I-95 Northampton,parking,Pleasant Hill,NC,north-carolina-welcome-center-i-95-northampton-pleasant-hill-nc,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Rocky Mount Inn,hotels-truck-parking,Rocky Mount,NC,rocky-mount-inn-rocky-mount-nc,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Mangum's Towing & Road Service (Rocky Mount),roadside-service,Rocky Mount,NC,mangum-s-towing-road-service-rocky-mount-rocky-mount-nc,,61,Needs work,needs-geocoding,,import-unpublished,"completeness 61, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Verified date; Approved reviews
Coastal Towing (Coastal Wrecker),roadside-service,Rocky Mount,NC,coastal-towing-coastal-wrecker-rocky-mount-nc,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Verified date; Approved reviews
Central Carolina Diesel Repair,roadside-service,Kenly,NC,central-carolina-diesel-repair-kenly-nc,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Verified date; Approved reviews
SAGE Truck Driving School at Nash Community College,cdl-schools,Rocky Mount,NC,sage-truck-driving-school-at-nash-community-college-rocky-mount-nc,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Johnston Community College CDL Driver Training,cdl-schools,Smithfield,NC,johnston-community-college-cdl-driver-training-smithfield-nc,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Amenities; Verified date; Approved reviews
