name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #412,truck-stops,3948 Hodges Chapel Rd,Dunn,NC,28334,910-892-7230,https://www.loves.com/locations/nc/dunn/loves-travel-stop-dunn-412,"24-hour Love's travel stop at I-95 Exit 77 with roughly 55-75 truck parking spaces, multiple diesel/DEF lanes, 8 showers, a CAT Scale, restaurant and convenience store.",I-95,77,yes,yes,yes,,yes,,yes,yes,
Pilot Travel Center (Sadler Travel Plaza),truck-stops,65 Sadler Rd,Dunn,NC,28334,910-892-2084,https://locations.pilotflyingj.com/us/nc/dunn/65-sadler-rd,"Large Pilot-branded travel plaza at I-95 Exit 75 with about 150 truck parking spaces, 12 diesel lanes, 9 showers, a CAT Scale, tire repair/towing, plus Dairy Queen and Quiznos.",I-95,75,yes,yes,yes,,yes,yes,yes,yes,
Sheetz #804,truck-stops,310 Chicken Foot Rd,Hope Mills,NC,28348,,https://www.sheetz.com/,"24-hour Sheetz travel center at I-95 Exit 41 with 7 high-flow diesel lanes, DEF, made-to-order food, and 41 free overnight truck parking spaces.",I-95,41,,yes,yes,,yes,,,yes,
Sun Do Truck Stop,truck-stops,5111 N Fayetteville Rd,Lumberton,NC,28358,,,"Independent truck stop near I-95 Exit 22 north of Lumberton offering diesel, a convenience store, and truck parking.",I-95,22,,yes,yes,,yes,,,,
Sunoco Travel Plaza (Cedar Creek Rd),truck-stops,1937 Cedar Creek Rd,Fayetteville,NC,28312,910-323-1202,,"Sunoco-branded fuel and convenience stop at I-95 Exit 49 with diesel, convenience store, and truck parking listed among Fayetteville truck stops.",I-95,49,,yes,yes,,yes,,,,
CAT Scale at Love's Dunn,cat-scales,3948 Hodges Chapel Rd,Dunn,NC,28334,910-892-7230,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Love's Travel Stop #412 at I-95 Exit 77 in Dunn.,I-95,77,,,,,,,yes,,
CAT Scale at Pilot Dunn (Sadler Travel Plaza),cat-scales,65 Sadler Rd,Dunn,NC,28334,910-892-2084,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Pilot/Sadler Travel Plaza at I-95 Exit 75 in Dunn.,I-95,75,,,,,,,yes,,
I-95 Robeson County Weigh Station (Northbound),weigh-stations,"I-95 Northbound, Mile Marker 24",Lumberton,NC,28358,910-618-5548,https://www.ncshp.gov/ncshp/commercial-vehicles/weigh-stations,"Fixed NCSHP weigh/inspection station on northbound I-95 at mile marker 24 north of Lumberton; one fixed scale, PrePass-equipped, also a vehicle inspection site.",I-95,,,,,,,,,,
I-95 Robeson County Weigh Station (Southbound),weigh-stations,"I-95 Southbound, Mile Marker 24",Lumberton,NC,28358,910-618-5548,https://www.ncshp.gov/ncshp/commercial-vehicles/weigh-stations,"Fixed NCSHP weigh/inspection station on southbound I-95 at mile marker 24 north of Lumberton; one fixed scale, PrePass-equipped.",I-95,,,,,,,,,,
I-95 South N.C. Welcome Center,parking,I-95 near the South Carolina state line,Rowland,NC,28383,,https://www.visitnc.com/i-95-south-nc-welcome-center,"NCDOT welcome center/rest area near the SC line in southern Robeson County, rebuilt in 2024, with family restrooms, Wi-Fi, vending (restrooms/vending 24/7), and RV/truck parking.",I-95,1,,,,,yes,,,yes,
I-95 Cumberland County Rest Area (Northbound),parking,"I-95 Northbound, Mile Marker 47",Fayetteville,NC,28306,,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/,"24-hour NCDOT rest area on northbound I-95 at mile marker 47, about a mile south of Fayetteville, with restrooms, vending, dog-walk area, and picnic tables.",I-95,,,,,,yes,,,,
I-95 Cumberland County Rest Area (Southbound),parking,"I-95 Southbound, Mile Marker 47",Fayetteville,NC,28306,,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/,"24-hour NCDOT rest area on southbound I-95 at mile marker 47 near Fayetteville (last NC rest area heading south), with restrooms, vending, dog-walk area, and picnic tables.",I-95,,,,,,yes,,,,
Royal Inn Lumberton,hotels-truck-parking,,Lumberton,NC,28358,910-738-2461,,"Budget motel just off I-95 Exit 20 that explicitly offers free large truck/trailer parking, 24/7 desk, and complimentary continental breakfast.",I-95,20,,,,,,,,,
Mangum's Towing & Road Service (Fayetteville),roadside-service,,Fayetteville,NC,28301,800-869-8973,https://www.mangumsinc.com/,"Heavy-duty towing, recovery, mobile road service and tire service covering the I-95 corridor across eastern NC and upper SC, with a semi-truck repair shop serving the Fayetteville/Dunn stretch.",I-95,,,,,,,yes,,,
C-R Road Service,roadside-service,3303 W Fifth St,Lumberton,NC,28358,,,"24-hour roadside and on-site repair for truck, trailer, reefer, RV and bus near I-95 in Lumberton, including tire service, DOT inspections, electrical repair and heavy-duty towing.",I-95,17,,,,,,yes,,,
C-R Road Service Truck & Trailer Wash,truck-washes,3303 W Fifth St,Lumberton,NC,28358,,,Truck wash and trailer washout service offered at C-R Road Service near I-95 in Lumberton.,I-95,17,,,,,,,,,
Discount Tire Sales & Service (Lumberton),tire-repair,,Lumberton,NC,28358,,https://www.discounttiresalesnc.com/,"Tire and auto-repair shop serving Lumberton, Fayetteville and Laurinburg, offering commercial and truck tires near the I-95 corridor.",I-95,22,,,,,,yes,,,
"Tire Sales & Service, Inc. (Commercial Tires)",tire-repair,,Fayetteville,NC,28301,,https://www.tiresalesandserviceinc.com/,"Fayetteville tire dealer offering commercial/semi-truck tire sales and service, positioned as a one-stop commercial tire shop near the I-95 corridor.",I-95,,,,,,,yes,,,
Robeson Community College CDL Truck Driving Academy,cdl-schools,5160 Fayetteville Rd,Lumberton,NC,28360,910-272-3700,https://www.robeson.edu/coned/truckdrivingacademy/,Community-college CDL Class A training academy just off I-95 north of Lumberton preparing students for entry-level tractor-trailer driving.,I-95,22,,,,,,,,,
Fayetteville Technical Community College CDL Program,cdl-schools,2201 Hull Rd,Fayetteville,NC,28303,910-486-3909,https://faytechcc.edu/corporate-industry-training/commercial-drivers-license-program-cdl/,"FTCC's Commercial Driver's License training program in Fayetteville near the I-95 corridor, offering Class A CDL preparation.",I-95,,,,,,,,,,
