name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Pennsylvania Welcome Center I-95 North (Delaware County),parking,Linwood,PA,pennsylvania-welcome-center-i-95-north-delaware-county-linwood-pa,,68,Good,needs-geocoding,,ready-to-publish,completeness 68 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-95 Linwood Weigh Station (Northbound),weigh-stations,Linwood,PA,i-95-linwood-weigh-station-northbound-linwood-pa,,74,Good,needs-geocoding,,ready-to-publish,completeness 74 with address,Verified coordinates; Verified date; Approved reviews
"Joey's Truck, Trailer Repairs & Roadside Service",tire-repair,Philadelphia,PA,joey-s-truck-trailer-repairs-roadside-service-philadelphia-pa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
South Philly Towing,roadside-service,Philadelphia,PA,south-philly-towing-philadelphia-pa,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
SCS Towing,roadside-service,Philadelphia,PA,scs-towing-philadelphia-pa,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Countywide Towing & Hauling,roadside-service,Philadelphia,PA,countywide-towing-hauling-philadelphia-pa,,52,Needs work,needs-geocoding,,import-unpublished,"completeness 52, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Amenities; Verified date; Approved reviews
Fleet Clean - Philadelphia,truck-washes,Philadelphia,PA,fleet-clean-philadelphia-philadelphia-pa,,44,Needs work,needs-geocoding,,import-unpublished,"completeness 44, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
PA Truck Wash LLC,truck-washes,Philadelphia,PA,pa-truck-wash-llc-philadelphia-pa,,44,Needs work,needs-geocoding,,import-unpublished,"completeness 44, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
AAA School of Trucking - Philadelphia Campus,cdl-schools,Philadelphia,PA,aaa-school-of-trucking-philadelphia-campus-philadelphia-pa,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
All-State Career School - Essington Trades Campus,cdl-schools,Essington,PA,all-state-career-school-essington-trades-campus-essington-pa,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Penn Jersey Diesel & Trailer (Bensalem Travel Plaza),truck-stops,Bensalem,PA,penn-jersey-diesel-trailer-bensalem-travel-plaza-bensalem-pa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Penn Jersey Diesel Bensalem,cat-scales,Bensalem,PA,cat-scale-at-penn-jersey-diesel-bensalem-bensalem-pa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Philadelphia I-95 Truck & Trailer Park,parking,Bensalem,PA,philadelphia-i-95-truck-trailer-park-bensalem-pa,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
McCarthy Tire Service - Philadelphia,tire-repair,Philadelphia,PA,mccarthy-tire-service-philadelphia-philadelphia-pa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
McCarthy Tire Service - Levittown,tire-repair,Levittown,PA,mccarthy-tire-service-levittown-levittown-pa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
PA Truck Center,tire-repair,Philadelphia,PA,pa-truck-center-philadelphia-pa,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; ZIP; Verified coordinates; Phone; Verified date; Approved reviews
Burns Auto Group - Truck Repair,tire-repair,Fairless Hills,PA,burns-auto-group-truck-repair-fairless-hills-pa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Rob's Automotive & Collision Center,roadside-service,Bristol,PA,rob-s-automotive-collision-center-bristol-pa,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Quala Tank Wash (Bensalem),truck-washes,Bensalem,PA,quala-tank-wash-bensalem-bensalem-pa,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Gladiator Trucker Academy,cdl-schools,Bristol,PA,gladiator-trucker-academy-bristol-pa,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
SSS CDL Driving Academy,cdl-schools,Bensalem,PA,sss-cdl-driving-academy-bensalem-pa,,47,Needs work,needs-geocoding,,import-unpublished,"completeness 47, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Amenities; Verified date; Approved reviews
