name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
TA West Greenwich,truck-stops,West Greenwich,RI,ta-west-greenwich-west-greenwich-ri,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at TA West Greenwich,cat-scales,West Greenwich,RI,cat-scale-at-ta-west-greenwich-west-greenwich-ri,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Sullivan Tire Commercial Truck Center,tire-repair,Warwick,RI,sullivan-tire-commercial-truck-center-warwick-ri,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Sterry Street Towing,roadside-service,Pawtucket,RI,sterry-street-towing-pawtucket-ri,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
A Towing,roadside-service,Warwick,RI,a-towing-warwick-ri,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Rhode Island I-95 Richmond Weigh/Inspection Station,weigh-stations,Richmond,RI,rhode-island-i-95-richmond-weigh-inspection-station-richmond-ri,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Rhode Island Welcome Center (I-95 North),parking,Hope Valley,RI,rhode-island-welcome-center-i-95-north-hope-valley-ri,,55,Needs work,needs-geocoding,,import-unpublished,completeness 55 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Best Western West Greenwich Inn,hotels-truck-parking,West Greenwich,RI,best-western-west-greenwich-inn-west-greenwich-ri,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Motel 6 Warwick - Providence Airport,hotels-truck-parking,Warwick,RI,motel-6-warwick-providence-airport-warwick-ri,,68,Good,needs-geocoding,,ready-to-publish,completeness 68 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
New England Tractor Trailer Training School (NETTTS) Rhode Island,cdl-schools,Pawtucket,RI,new-england-tractor-trailer-training-school-nettts-rhode-island-pawtucket-ri,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
