name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Love's Travel Stop #317,truck-stops,Skippers,VA,love-s-travel-stop-317-skippers-va,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #4651,truck-stops,Skippers,VA,pilot-travel-center-4651-skippers-va,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Simmons Travel Plaza,truck-stops,Emporia,VA,simmons-travel-plaza-emporia-va,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center - Sadler's Emporia,truck-stops,Emporia,VA,pilot-travel-center-sadler-s-emporia-emporia-va,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Express Stony Creek (former Davis Travel Center),truck-stops,Stony Creek,VA,ta-express-stony-creek-former-davis-travel-center-stony-creek-va,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
US Gas Truck Stop (Carson),truck-stops,Carson,VA,us-gas-truck-stop-carson-carson-va,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sheetz (Petersburg Wagner Rd),truck-stops,Petersburg,VA,sheetz-petersburg-wagner-rd-petersburg-va,,64,Needs work,needs-geocoding,,import-unpublished,completeness 64 — enrich before publishing,Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Pilot Travel Center #384,truck-stops,Colonial Heights,VA,pilot-travel-center-384-colonial-heights-va,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Pilot Skippers,cat-scales,Skippers,VA,cat-scale-at-pilot-skippers-skippers-va,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Simmons Travel Plaza Emporia,cat-scales,Emporia,VA,cat-scale-at-simmons-travel-plaza-emporia-emporia-va,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Pilot Sadler's Emporia,cat-scales,Emporia,VA,cat-scale-at-pilot-sadler-s-emporia-emporia-va,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at TA Express Stony Creek,cat-scales,Stony Creek,VA,cat-scale-at-ta-express-stony-creek-stony-creek-va,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
CAT Scale at Pilot Colonial Heights,cat-scales,Colonial Heights,VA,cat-scale-at-pilot-colonial-heights-colonial-heights-va,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Carson Weigh Station Northbound,weigh-stations,Carson,VA,carson-weigh-station-northbound-carson-va,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Carson Weigh Station Southbound,weigh-stations,Carson,VA,carson-weigh-station-southbound-carson-va,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Virginia Welcome Center (Skippers),parking,Skippers,VA,virginia-welcome-center-skippers-skippers-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Carson Safety Rest Area,parking,Carson,VA,carson-safety-rest-area-carson-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Colony Tire & Service,tire-repair,Emporia,VA,colony-tire-service-emporia-va,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Tri-City Wrecker & Auto Repair,roadside-service,Petersburg,VA,tri-city-wrecker-auto-repair-petersburg-va,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Phone; Verified date; Approved reviews
Jinks Motor Carriers Heavy Towing & Recovery,roadside-service,Petersburg,VA,jinks-motor-carriers-heavy-towing-recovery-petersburg-va,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Phone; Verified date; Approved reviews
Road Safety CDL Training School,cdl-schools,Petersburg,VA,road-safety-cdl-training-school-petersburg-va,,56,Needs work,needs-geocoding,,import-unpublished,completeness 56 — enrich before publishing,Verified coordinates; Phone; Website; Amenities; Verified date; Approved reviews
Shippers' Choice Truck Driving School - Petersburg,cdl-schools,Petersburg,VA,shippers-choice-truck-driving-school-petersburg-petersburg-va,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
CDS Tractor Trailer Training - Richmond,cdl-schools,Richmond,VA,cds-tractor-trailer-training-richmond-richmond-va,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Flying J Travel Plaza #749 (Carmel Church),truck-stops,Ruther Glen,VA,flying-j-travel-plaza-749-carmel-church-ruther-glen-va,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #435 (Ruther Glen),truck-stops,Ruther Glen,VA,love-s-travel-stop-435-ruther-glen-ruther-glen-va,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Ashland (TravelCenters of America),truck-stops,Ashland,VA,ta-ashland-travelcenters-of-america-ashland-va,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
TA Richmond (TravelCenters of America),truck-stops,Ashland,VA,ta-richmond-travelcenters-of-america-ashland-va,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Sheetz #672 (Woodford/Thornburg),truck-stops,Woodford,VA,sheetz-672-woodford-thornburg-woodford-va,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Carmel Church,cat-scales,Ruther Glen,VA,cat-scale-at-flying-j-carmel-church-ruther-glen-va,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at Love's Ruther Glen,cat-scales,Ruther Glen,VA,cat-scale-at-love-s-ruther-glen-ruther-glen-va,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
CAT Scale at TA Ashland,cat-scales,Ashland,VA,cat-scale-at-ta-ashland-ashland-va,,60,Needs work,needs-geocoding,,import-unpublished,"completeness 60, no address — enrich before publishing",Street address; Verified coordinates; Phone; Verified date; Approved reviews
Dumfries Weigh Station (Southbound),weigh-stations,Dumfries,VA,dumfries-weigh-station-southbound-dumfries-va,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Dumfries Weigh Station (Northbound),weigh-stations,Dumfries,VA,dumfries-weigh-station-northbound-dumfries-va,,65,Good,needs-geocoding,,ready-to-publish,completeness 65 with address,Exit number; Verified coordinates; Verified date; Approved reviews
Ladysmith Safety Rest Area (Southbound),parking,Ladysmith,VA,ladysmith-safety-rest-area-southbound-ladysmith-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Ladysmith Safety Rest Area (Northbound),parking,Ladysmith,VA,ladysmith-safety-rest-area-northbound-ladysmith-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Fredericksburg Welcome Center (Southbound),parking,Fredericksburg,VA,fredericksburg-welcome-center-southbound-fredericksburg-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Dale City Safety Rest Area (Northbound),parking,Dale City,VA,dale-city-safety-rest-area-northbound-dale-city-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Dale City Truck Rest Area (Southbound),parking,Dale City,VA,dale-city-truck-rest-area-southbound-dale-city-va,,58,Needs work,needs-geocoding,,import-unpublished,completeness 58 — enrich before publishing,Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Service Tire Truck Center (STTC) Fredericksburg,tire-repair,Fredericksburg,VA,service-tire-truck-center-sttc-fredericksburg-fredericksburg-va,,69,Good,needs-geocoding,,ready-to-publish,completeness 69 with address,Verified coordinates; Phone; Verified date; Approved reviews
2020 Truck and Trailer Repair,tire-repair,Fredericksburg,VA,2020-truck-and-trailer-repair-fredericksburg-va,,67,Good,needs-geocoding,,import-unpublished,"completeness 67, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
95 Truck & Trailer Repair,tire-repair,Fredericksburg,VA,95-truck-trailer-repair-fredericksburg-va,,61,Needs work,needs-geocoding,,import-unpublished,completeness 61 — enrich before publishing,Verified coordinates; Phone; Website; Verified date; Approved reviews
Franco Road Service Inc,roadside-service,Fredericksburg,VA,franco-road-service-inc-fredericksburg-va,,45,Needs work,needs-geocoding,,import-unpublished,"completeness 45, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Website; Verified date; Approved reviews
Liberty Fleet Solutions (Liberty Equipment),roadside-service,Fredericksburg,VA,liberty-fleet-solutions-liberty-equipment-fredericksburg-va,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Exit number; Verified coordinates; Phone; Verified date; Approved reviews
CDS Tractor Trailer Training (Fredericksburg),cdl-schools,Thornburg,VA,cds-tractor-trailer-training-fredericksburg-thornburg-va,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Truck N Learn CDL Training,cdl-schools,Woodbridge,VA,truck-n-learn-cdl-training-woodbridge-va,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
2020 CDL Training (Fredericksburg),cdl-schools,Fredericksburg,VA,2020-cdl-training-fredericksburg-fredericksburg-va,,55,Needs work,needs-geocoding,,import-unpublished,"completeness 55, no address — enrich before publishing",Street address; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Days Inn Carmel Church / Ruther Glen,hotels-truck-parking,Ruther Glen,VA,days-inn-carmel-church-ruther-glen-ruther-glen-va,,49,Needs work,needs-geocoding,,import-unpublished,"completeness 49, no address — enrich before publishing",Street address; Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
