name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Flying J Travel Plaza #749 (Carmel Church),truck-stops,23866 Rogers Clark Blvd,Ruther Glen,VA,22546,804-448-3077,https://locations.pilotflyingj.com/us/va,"Full-service Flying J truck stop at I-95 Exit 104 with roughly 240 truck parking spaces, 12 diesel lanes, showers, Denny's and Cinnabon. Open 24 hours with an on-site CAT Scale.",I-95,104,yes,yes,yes,yes,yes,,yes,yes,
Love's Travel Stop #435 (Ruther Glen),truck-stops,23845 Rogers Clark Blvd,Ruther Glen,VA,22546,804-448-0102,https://www.loves.com/locations/435,"Love's Travel Stop at I-95 Exit 104 with diesel lanes, truck parking, a restaurant, showers and an on-site CAT Scale. Open 24 hours.",I-95,104,yes,yes,yes,,yes,,yes,yes,
TA Ashland (TravelCenters of America),truck-stops,,Ashland,VA,23005,,https://www.ta-petro.com/location/va/ta-ashland/,"TravelCenters of America at I-95 Exit 92 (Rt. 54) offering BP diesel and gas 24/7, about 183 truck parking spaces, showers, laundry, a service garage and an on-site CAT Scale.",I-95,92,yes,yes,yes,yes,yes,yes,yes,yes,
TA Richmond (TravelCenters of America),truck-stops,,Ashland,VA,23005,,https://www.ta-petro.com/location/va/ta-richmond/,"TravelCenters of America at I-95 Exit 89 (Lewistown Rd) with gas and diesel 24/7 and roughly 317 truck parking spaces for overnight parking, showers and a service garage.",I-95,89,yes,yes,yes,yes,yes,yes,,yes,
Sheetz #672 (Woodford/Thornburg),truck-stops,,Woodford,VA,22580,,https://www.sheetz.com,"Sheetz travel convenience store at I-95 Exit 118 (Thornburg) with diesel fuel, made-to-order food, and restrooms, listed as a truck-accessible fuel stop on the corridor.",I-95,118,,yes,yes,,yes,,,yes,
CAT Scale at Flying J Carmel Church,cat-scales,23866 Rogers Clark Blvd,Ruther Glen,VA,22546,,https://catscale.com/cat-scale-locator/,Certified CAT Scale located at the Flying J Travel Plaza at I-95 Exit 104 for certified truck weighing.,I-95,104,,,,,,,yes,,
CAT Scale at Love's Ruther Glen,cat-scales,23845 Rogers Clark Blvd,Ruther Glen,VA,22546,,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the Love's Travel Stop #435 at I-95 Exit 104 for certified truck weighing.,I-95,104,,,,,,,yes,,
CAT Scale at TA Ashland,cat-scales,,Ashland,VA,23005,,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the TA Ashland travel center at I-95 Exit 92 for certified truck weighing.,I-95,92,,,,,,,yes,,
Dumfries Weigh Station (Southbound),weigh-stations,"I-95 Southbound, Mile Marker 154",Dumfries,VA,22025,703-221-5344,https://www.dmv.virginia.gov/businesses/motor-carriers/weigh/locations/dumfries,Virginia DMV fixed weigh and vehicle-inspection station on I-95 southbound at Mile 154 near Dumfries/Montclair. Offers weigh-in-motion and accepts PrePass.,I-95,,,,,,,,,,
Dumfries Weigh Station (Northbound),weigh-stations,I-95 Northbound near Dumfries,Dumfries,VA,22025,,https://www.dmv.virginia.gov/businesses/motor-carriers/weigh/locations/dumfries,"Virginia DMV fixed weigh/inspection station on I-95 northbound near Dumfries, paired with the southbound MM 154 facility.",I-95,,,,,,,,,,
Ladysmith Safety Rest Area (Southbound),parking,"I-95 Southbound, Mile Marker 107",Ladysmith,VA,22501,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,"VDOT safety rest area on I-95 southbound at Mile 107 in Caroline County with roughly 45 truck spaces and 35 car spaces, restrooms, open 24/7.",I-95,,,,,,yes,,,,yes
Ladysmith Safety Rest Area (Northbound),parking,"I-95 Northbound, Mile Marker 108",Ladysmith,VA,22501,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,"VDOT safety rest area on I-95 northbound near Mile 108 in Caroline County with car and truck/RV/bus parking and restrooms, open 24/7.",I-95,,,,,,yes,,,,yes
Fredericksburg Welcome Center (Southbound),parking,"I-95 Southbound, Mile Marker 131",Fredericksburg,VA,22553,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,VDOT welcome center/rest area on I-95 southbound at Mile 131 in Spotsylvania County with about 59 car spaces and 21 RV/bus/truck spaces and restrooms.,I-95,,,,,,yes,,,,yes
Dale City Safety Rest Area (Northbound),parking,"I-95 Northbound, Mile Marker 154",Dale City,VA,22193,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,"VDOT safety rest area on I-95 northbound at Mile 154 in Prince William County with truck/RV/bus parking and restrooms, open 24/7.",I-95,,,,,,yes,,,,yes
Dale City Truck Rest Area (Southbound),parking,"I-95 Southbound, Mile Marker 155",Dale City,VA,22193,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,"VDOT truck-designated rest area on I-95 southbound at Mile 155 in Prince William County providing dedicated truck parking, open 24/7 (paired with the car-only facility at the same milepost).",I-95,,,,,,yes,,,,yes
