name,category,address,city,state,zip,phone,website,description,interstate,exitnumber,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security
Love's Travel Stop #317,truck-stops,770 Moores Ferry Rd,Skippers,VA,23879,434-336-5872,https://www.loves.com/locations/va/skippers/loves-travel-stop-skippers-317,"24-hour travel stop just north of the NC line with diesel lanes, semi/bobtail truck parking, showers, and on-site McDonald's and Subway.",I-95,4,yes,yes,yes,,yes,,,yes,
Pilot Travel Center #4651,truck-stops,781 Moores Ferry Rd,Skippers,VA,23879,434-336-9100,https://pilotflyingj.com/stores/4651,"24-hour Pilot with 7 diesel lanes, roughly 75-85 truck parking spaces, 6 showers, a CAT Scale, and Subway plus Dunkin.",I-95,4,yes,yes,yes,,yes,,yes,yes,
Simmons Travel Plaza,truck-stops,1589 Skippers Rd,Emporia,VA,23847,434-634-9296,,"Independent 24-hour truck plaza at the US-301 exit with diesel, a CAT Scale, showers, laundromat, and a restaurant/deli plus truck parking.",I-95,8,yes,yes,yes,yes,yes,,yes,,
Pilot Travel Center - Sadler's Emporia,truck-stops,918 W Atlantic St,Emporia,VA,23847,434-634-4312,https://locations.pilotflyingj.com/us/va/emporia/918-w-atlantic-st,"Large 24-hour Pilot-branded travel plaza at the US-58 exit with diesel and DEF lanes, showers, restaurant/food, a CAT Scale, and extensive truck parking.",I-95,11B,yes,yes,yes,,yes,,yes,yes,
TA Express Stony Creek (former Davis Travel Center),truck-stops,13306 St John Church Rd,Stony Creek,VA,23882,434-246-2881,,"Full-service 24-hour travel center (Davis Travel Center reopened as TA Express in Dec 2024) with 7 diesel lanes, about 85 truck spaces, 6 showers, CAT Scale, laundry, Subway and Starbucks.",I-95,33,yes,yes,yes,yes,yes,,yes,yes,
US Gas Truck Stop (Carson),truck-stops,16729 S Crater Rd,Carson,VA,23830,,,"Small independent truck stop at the Carson exit with diesel, a deli/restaurant, ATM, motel, and about 10 truck parking spaces.",I-95,41,,yes,yes,,yes,,,,
Sheetz (Petersburg Wagner Rd),truck-stops,151 Wagner Rd,Petersburg,VA,23805,,https://www.sheetz.com,"Truck-friendly Sheetz at Exit 48 offering high-flow diesel lanes with DEF and designated free semi-truck parking, plus made-to-order food and restrooms.",I-95,48B,,yes,yes,,yes,,,yes,
Pilot Travel Center #384,truck-stops,2126 Ruffin Mill Rd,Colonial Heights,VA,23834,804-524-9556,https://pilotflyingj.com/stores/384,"24-hour Pilot at the Ruffin Mill exit with 10 fuel lanes, 9 showers, about 110 truck parking spaces, a CAT Scale, and Wendy's.",I-95,58,yes,yes,yes,,yes,,yes,yes,
CAT Scale at Pilot Skippers,cat-scales,781 Moores Ferry Rd,Skippers,VA,23879,877-228-7225,https://catscale.com/cat-scale-locator/,Certified CAT Scale for weighing tractor-trailers at the Pilot Travel Center at I-95 Exit 4.,I-95,4,,,,,,,yes,,
CAT Scale at Simmons Travel Plaza Emporia,cat-scales,1589 Skippers Rd,Emporia,VA,23847,434-634-9296,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at I-95 & US-301, Exit 8 (Simmons Travel Plaza).",I-95,8,,,,,,,yes,,
CAT Scale at Pilot Sadler's Emporia,cat-scales,918 W Atlantic St,Emporia,VA,23847,434-634-4312,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at I-95 & Hwy 58, Exit 11B (Pilot/Sadler's travel plaza).",I-95,11B,,,,,,,yes,,
CAT Scale at TA Express Stony Creek,cat-scales,13306 St John Church Rd,Stony Creek,VA,23882,877-228-7225,https://catscale.com/cat-scale-locator/,Certified CAT Scale at the TA Express (former Davis Travel Center) at I-95 Exit 33.,I-95,33,,,,,,,yes,,
CAT Scale at Pilot Colonial Heights,cat-scales,2126 Ruffin Mill Rd,Colonial Heights,VA,23834,877-228-7225,https://catscale.com/cat-scale-locator/,"Certified CAT Scale at Pilot Travel Center #384, I-95 Exit 58 (Ruffin Mill Rd).",I-95,58,,,,,,,yes,,
Carson Weigh Station Northbound,weigh-stations,I-95 North near milepost 40,Carson,VA,23830,,https://www.dmv.virginia.gov/businesses/motor-carriers/weigh/locations/carson,Fixed VDMV/Virginia State Police truck weigh and inspection station on I-95 northbound near MM 40 (between exits 37 and 41); offers weigh-in-motion bypass to participating carriers.,I-95,,,,,,,,,,
Carson Weigh Station Southbound,weigh-stations,I-95 South near milepost 40,Carson,VA,23830,,https://www.dmv.virginia.gov/businesses/motor-carriers/weigh/locations/carson,Fixed VDMV/Virginia State Police truck weigh and inspection station on I-95 southbound near MM 40 in Prince George County; weigh-in-motion enabled.,I-95,,,,,,,,,,
Virginia Welcome Center (Skippers),parking,"I-95 North, milepost 0-1",Skippers,VA,23879,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,"VDOT welcome center on I-95 northbound just inside the state line (Greensville County) with restrooms, travel info, vending, picnic and pet areas, and separate car and truck parking.",I-95,,,,,,yes,,,,yes
Carson Safety Rest Area,parking,"I-95 North, milepost 37",Carson,VA,23830,,https://www.vdot.virginia.gov/about/our-system/highways/rest-areas/,"VDOT safety rest area on I-95 northbound at MM 37 in Prince George County with about 35 truck/RV/bus spaces plus 100+ car spaces, restrooms, picnic area, and pet area; open 24/7.",I-95,,,,,,yes,,,,yes
Colony Tire & Service,tire-repair,726 N Main St,Emporia,VA,23847,434-634-5085,https://colonytire.com/location/emporia-virginia/,"Commercial tire and fleet service center near I-95 Exit 11 offering truck/commercial tires, fleet maintenance, and 24/7 emergency roadside tire service.",I-95,11,,,,,,yes,,,
Tri-City Wrecker & Auto Repair,roadside-service,,Petersburg,VA,23805,,https://www.tricitywreckerva.com/,Family-owned Petersburg towing/recovery operation (since 1974) providing 24/7 heavy-duty semi towing and recovery along the I-95 corridor.,I-95,52,,,,,,yes,,,
Jinks Motor Carriers Heavy Towing & Recovery,roadside-service,,Petersburg,VA,23805,,https://jinksheavywreckerinc.com/,"24/7 heavy-duty towing, recovery, and emergency roadside service operating across the Petersburg I-95 area.",I-95,52,,,,,,yes,,,
