id,state,interstate,category_slug,facility_type,direction,source_class,truck_parking_evidence,tier_disposition,name
cbd5d136-9f13-4141-b126-9e0d8d414157,AL,I-65,truck-stops,non_parking_business,,none,yes,C:out-of-scope-not-parking,Entec Station #105
f7aeb412-6df9-459d-b662-a68cf00f3f42,AL,I-65,truck-stops,non_parking_business,,none,yes,C:out-of-scope-not-parking,J Mart #1305
edec532e-6c37-48e3-938d-064666b181fd,AL,I-65,hotels-truck-parking,non_parking_business,,none,yes,C:out-of-scope-not-parking,Quality Inn Cullman I-65 Exit 310
16b6c4e2-49bc-47f6-89de-cd8db48e1427,AR,I-40,roadside-service,non_parking_business,,none,no,C:out-of-scope-not-parking,Bethal Diesel Service
581dc977-7484-4a7c-a5a8-651dba638261,AR,I-40,hotels-truck-parking,non_parking_business,,third_party,no,C:out-of-scope-not-parking,Express Inn West Memphis
d63266c7-1e06-4353-9ee9-5f5bb7775346,AR,I-40,roadside-service,non_parking_business,,none,no,C:out-of-scope-not-parking,Highway 64 Truck & Trailer Repair
902453cb-99ec-47e4-9a2a-45b1502c85f3,AR,I-40,hotels-truck-parking,non_parking_business,,none,no,C:out-of-scope-not-parking,Quality Inn & Suites Alma I-40
3d8ca37c-b13f-4f2b-847e-7365440ac123,AR,I-40,truck-stops,non_parking_business,,none,no,C:out-of-scope-not-parking,Reddy's Super Stop
cac9d520-9a63-441f-866f-d2de402affe6,AR,I-40,hotels-truck-parking,non_parking_business,,none,yes,C:out-of-scope-not-parking,Super 8 by Wyndham Russellville
77957a3c-8092-4517-8b33-2e50e4047ed4,AR,I-40,truck-stops,non_parking_business,,none,no,C:out-of-scope-not-parking,Van Buren Travel Center
4e7f48fa-e247-4722-bc76-34f269cde7f3,DE,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,B & F Towing Co.
77f995a5-8ff3-46d9-a772-c1731bd609ba,FL,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,Albert's Road Service
6b484fca-b4c5-41aa-bf35-2560cb161aff,FL,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,All Truck Service - Jacksonville
0ea22351-f61f-4716-adf4-d44bb53de66a,FL,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,American Towing Service - Miami
45b986e7-6555-41bc-9735-4ce59bfae89d,FL,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,ASAP Towing & Storage
b9c3bccf-a9fd-4aff-a7b1-57cca6f58b63,FL,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,C&P Towing and Transport
47af659e-3b29-419f-a723-21d6bcd4f152,FL,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,JAX24 Mobile Semi Truck Repair
fdaa1660-b2bb-4d97-bd0f-7be6287ec055,FL,I-95,cdl-schools,non_parking_business,,third_party,no,C:out-of-scope-not-parking,Roadmaster Drivers School of Jacksonville
a01a4518-ce97-4894-8d57-674209395e9e,FL,I-95,cdl-schools,non_parking_business,,third_party,no,C:out-of-scope-not-parking,SAGE Truck Driving School - Jacksonville
0fa0d81a-c5bf-427b-9015-3a607768f25b,GA,I-95,truck-stops,non_parking_business,,none,yes,C:out-of-scope-not-parking,El Cheapo (Richmond Hill)
b7154959-9416-47c5-8665-52458bdd0de3,GA,I-24,truck-stops,non_parking_business,,none,no,C:out-of-scope-not-parking,Mapco Express #3524
9668985d-0c95-4ec6-9d8f-55c3a0e4b034,GA,I-95,truck-stops,non_parking_business,,third_party,no,C:out-of-scope-not-parking,Parker's Kitchen #69
6df953c3-9071-4d79-9238-a770b8948f8a,GA,I-95,roadside-service,non_parking_business,,third_party,no,C:out-of-scope-not-parking,Sapp's Wrecker Service
