id,name,state,city,provenance,publication_verdict,facility_verdict,coordinate_verdict,overnight_verdict,reason_codes,duplicate_candidate_ids,completeness_score,pending_reports,candidate_source_to_verify,owner_action
4f21b0d2-18b1-46a0-9a7e-a11b3922f9a7,Ardmore Welcome Center (I-65 Southbound),AL,Elkmont,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,50,0,https://www.dot.state.al.us/welcomeCenters.html,retrieve and record source: https://www.dot.state.al.us/welcomeCenters.html
87f37135-0d5e-4f02-9889-537c3adc6bd3,Cullman County Rest Area (I-65 MM 301),AL,Cullman,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,50,0,https://www.dot.state.al.us/welcomeCenters.html,retrieve and record source: https://www.dot.state.al.us/welcomeCenters.html
6f4f6754-96fb-4fe2-be0a-9e1c2f7358d8,I-65 Butler County Rest Area (Northbound),AL,Greenville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,50,0,https://www.dot.state.al.us/welcomeCenters.html,retrieve and record source: https://www.dot.state.al.us/welcomeCenters.html
9b5a7530-2901-474a-ad32-b53c84cbd478,I-65 Butler County Rest Area (Southbound),AL,Greenville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.dot.state.al.us/welcomeCenters.html,retrieve and record source: https://www.dot.state.al.us/welcomeCenters.html
34d6ae7a-216e-46fa-986d-81d0a47ea7e4,I-65 Conecuh County Rest Area (Northbound),AL,Evergreen,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,50,0,https://www.dot.state.al.us/welcomeCenters.html,retrieve and record source: https://www.dot.state.al.us/welcomeCenters.html
f3c46c18-6a34-496a-8f0b-b36901142096,I-65 Conecuh County Rest Area (Southbound),AL,Evergreen,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,50,0,https://www.dot.state.al.us/welcomeCenters.html,retrieve and record source: https://www.dot.state.al.us/welcomeCenters.html
99c486f6-7e9b-4c26-b6da-b7219cc694c6,"Arkansas Welcome Center at Van Buren/Fort Smith (I-40 EB, MM 2)",AR,Van Buren,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,24,0,,find an official source
d284bab0-f773-43c5-9c3e-20b4580c5c0a,Forrest City Rest Area - I-40 Eastbound (MM 235),AR,Forrest City,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.ardot.gov/wp-content/uploads/Welcome-Centers-and-Rest-Areas-and-Accessibility-Barriers.pdf,retrieve and record source: https://www.ardot.gov/wp-content/uploads/Welcome-Centers-and-Rest-Areas-and-Accessibility-Barriers.pdf
7e1b02c3-b62d-490a-9974-eafe3428f02a,Forrest City Rest Area - I-40 Westbound (MM 242.6),AR,Forrest City,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,43,0,https://www.ardot.gov/wp-content/uploads/Welcome-Centers-and-Rest-Areas-and-Accessibility-Barriers.pdf,retrieve and record source: https://www.ardot.gov/wp-content/uploads/Welcome-Centers-and-Rest-Areas-and-Accessibility-Barriers.pdf
84fa50b8-a334-4d48-a35e-094013ae1772,I-40 Truck Turnout - Mile 134 Eastbound (Mayflower/Conway),AR,Mayflower,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING FREE_PAID_UNSOURCED,,32,0,,find an official source
13fbe19d-84fb-4f7b-b4e4-f40b556c3235,Little Rock Truck Parking - Conway Lot,AR,Conway,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING OVERNIGHT_LEGACY_BOOLEAN_ONLY SPACE_COUNT_UNSOURCED AMENITIES_UNSOURCED FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,60,0,https://www.truckparkinglittlerock.com/service-areas/conway,retrieve and record source: https://www.truckparkinglittlerock.com/service-areas/conway
110ba438-bcf5-4d06-892f-4c107be0581f,Truck Parking Club - Pence Ln lot behind Workman's Travel Center,AR,Ozark,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,24,0,,find an official source
3f69b705-f6fc-4802-bea2-68c7bd838ed7,"White River Rest Area (I-40 MM 199, EB and WB)",AR,De Valls Bluff,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED FREE_PAID_UNSOURCED,,36,0,,find an official source
bd40b5b6-3f37-4658-a48e-ec9f9fdc47e1,Gold Run Safety Roadside Rest Area (I-80 Eastbound),CA,Gold Run,official-government,needs-source-provenance,unknown,unverifiable,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATE_PROVENANCE_MISSING,,34,0,,find an official source
