id,name,state,field,approved_value,source_file,source_sha256,master_date,evidence_directions,concurrency
4d83a5f4-3a68-4047-a6b3-cc2724e32ea3,TA Lincoln,AL,interstate,I-20,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20, Exit 168",False
4d83a5f4-3a68-4047-a6b3-cc2724e32ea3,TA Lincoln,AL,exit_number,168,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20, Exit 168",False
572fb3e7-00db-4124-be14-1973179305b1,TA Mobile,AL,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 4",False
572fb3e7-00db-4124-be14-1973179305b1,TA Mobile,AL,exit_number,4,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 4",False
6f59cf8c-3082-4665-b028-278e5cabb48a,Petro Gadsden,AL,interstate,I-59,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-59, Exit 181",False
6f59cf8c-3082-4665-b028-278e5cabb48a,Petro Gadsden,AL,exit_number,181,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-59, Exit 181",False
83ce88cc-b0ba-48dc-b375-068ee3ffc107,TA Tuscaloosa,AL,interstate,I-20,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20/159 & Buttermilk Rd., Exit 77",False
83ce88cc-b0ba-48dc-b375-068ee3ffc107,TA Tuscaloosa,AL,exit_number,77,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20/159 & Buttermilk Rd., Exit 77",False
89efc304-db46-447a-8b9a-b83ab93b9d9c,TA Express Birmingham,AL,interstate,I-20,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20, Exit 123",False
89efc304-db46-447a-8b9a-b83ab93b9d9c,TA Express Birmingham,AL,exit_number,123,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20, Exit 123",False
95a8fd44-581d-4dbc-b4db-0a12cfa04cbb,TA Robertsdale,AL,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit  53",False
95a8fd44-581d-4dbc-b4db-0a12cfa04cbb,TA Robertsdale,AL,exit_number,53,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit  53",False
aa22aebc-827d-4c44-afb4-98dd3be03ff1,Petro Bucksville,AL,interstate,I-20,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20 & 1-59, Exit 100",False
aa22aebc-827d-4c44-afb4-98dd3be03ff1,Petro Bucksville,AL,exit_number,100,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-20 & 1-59, Exit 100",False
aa7af198-e51a-4d6a-ac33-dc29291321e4,Petro Shorter,AL,interstate,I-85,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85, Exit 22",False
aa7af198-e51a-4d6a-ac33-dc29291321e4,Petro Shorter,AL,exit_number,22,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-85, Exit 22",False
09c2f55b-774e-4670-8120-e8f282978c00,TA Express Judsonia,AR,interstate,I-57,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-57, Exit 48",False
09c2f55b-774e-4670-8120-e8f282978c00,TA Express Judsonia,AR,exit_number,48,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-57, Exit 48",False
6032ab89-70c9-4df4-9c05-9e2d1eee2485,TA Prescott,AR,interstate,I-30,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-30, Exit 44",False
