name,category,address,city,state,zip,phone,website,description,latitude,longitude,truckspaces,showers,food,fuel,laundry,restrooms,repair,catscale,wifi,security,interstate,exitnumber
"TA Ashland","truck-stops","100 North Carter Rd","Ashland","VA","23005-0712","804-798-6011","","183 truck parking spaces. 11 showers. 4 service bays. 8 diesel lanes. On site: Fuddruckers. Weigh scale on site (brand unconfirmed)","37.7598","-77.4631","183","yes","yes","yes","yes","","yes","","","","",""
"TA Greensboro","truck-stops","1101 NC Highway 61","Whitsett","NC","27377-0218","336-449-6060","","173 truck parking spaces. 13 showers. 6 service bays. 12 diesel lanes. On site: Burger King, Popeyes. Weigh scale on site (brand unconfirmed)","36.0635","-79.5636","173","yes","yes","yes","yes","","yes","","","","",""
"TA Brookville","truck-stops","245 Allegheny Blvd.","Brookville","PA","15825-8211","814-849-3051","","221 truck parking spaces. 8 showers. 6 service bays. 8 diesel lanes. On site: Taco Bell. Weigh scale on site (brand unconfirmed)","41.1729","-79.0992","221","yes","yes","yes","yes","","yes","","","","",""
"TA Columbia","truck-stops","2 Simpson Road","Columbia","NJ","07832-0305","908-496-4124","","172 truck parking spaces. 7 showers. 5 service bays. 8 diesel lanes. On site: Country Pride; Pizza Hut Express, Taco Bell Express. Weigh scale on site (brand unconfirmed)","40.9317","-75.0969","172","yes","yes","yes","yes","","yes","","","","",""
"TA Eloy","truck-stops","2949 North Toltec Road","Eloy","AZ","85131","520-466-7363","","234 truck parking spaces. 11 showers. 6 service bays. 12 diesel lanes. On site: A&W All American Food, Sbarro, Taco Bell. Weigh scale on site (brand unconfirmed)","32.7737","-111.6175","234","yes","yes","yes","yes","","yes","","","","",""
"TA Gallup","truck-stops","3404 W Historical Highway 66","Gallup","NM","87301-6841","505-863-6801","","76 truck parking spaces. 9 showers. 6 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","35.5059","-108.8359","76","yes","yes","yes","yes","","yes","","","","",""
"TA Gary","truck-stops","2510 Burr St.","Gary","IN","46406","219-845-3721","","318 truck parking spaces. 14 showers. 6 service bays. 16 diesel lanes. On site: Pizza Hut Express, Taco Bell. Weigh scale on site (brand unconfirmed)","41.573","-87.4045","318","yes","yes","yes","yes","","yes","","","","",""
"TA Dayton","truck-stops","6762 US Rte 127","Eaton","OH","45320-0030","937-456-5522","","198 truck parking spaces. 9 showers. 6 service bays. 8 diesel lanes. On site: Burger King. Weigh scale on site (brand unconfirmed)","39.84","-84.6282","198","yes","yes","yes","yes","","yes","","","","",""
"TA Harrisburg","truck-stops","7848 Linglestown Road","Harrisburg","PA","17112-0535","717-652-4556","","178 truck parking spaces. 13 showers. 6 service bays. 9 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","40.355","-76.7241","178","yes","yes","yes","yes","","yes","","","","",""
"TA Las Cruces","truck-stops","202 N. Motel Blvd","Las Cruces","NM","88007","575-527-7400","","201 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: Burger King, Pizza Hut Express, Taco Bell. Weigh scale on site (brand unconfirmed)","32.2977","-106.8115","201","yes","yes","yes","yes","","yes","","","","",""
"TA Lodi","truck-stops","8834 Lake Road","Seville","OH","44273-0125","330-769-2053","","237 truck parking spaces. 10 showers. 6 service bays. 9 diesel lanes. On site: IHOP; Burger King, Popeyes, Starbucks. Weigh scale on site (brand unconfirmed)","41.0322","-81.9078","237","yes","yes","yes","yes","","yes","","","","",""
"TA Tuscaloosa","truck-stops","3501 Buttermilk Road","Tuscaloosa","AL","35453-9364","205-554-0215","","151 truck parking spaces. 12 showers. 6 service bays. 10 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","33.1759","-87.4462","151","yes","yes","yes","yes","","yes","","","","",""
"TA Baytown","truck-stops","6800 Thompson Road","Baytown","TX","77521","281-424-7772","","173 truck parking spaces. 10 showers. 6 service bays. 12 diesel lanes. On site: IHOP. Weigh scale on site (brand unconfirmed)","29.7967","-95.0311","173","yes","yes","yes","yes","","yes","","","","",""
"TA Elkton","truck-stops","1400 Elkton Road","Elkton","MD","21921","410-398-7000","","151 truck parking spaces. 10 showers. 3 service bays. 10 diesel lanes. Weigh scale on site (brand unconfirmed)","39.6436","-75.7974","151","yes","","yes","yes","","yes","","","","",""
"TA Willington","truck-stops","327 Ruby Road","Willington","CT","06279","860-684-0499","","240 truck parking spaces. 10 showers. 3 service bays. 8 diesel lanes. On site: Country Pride; Burger King. Weigh scale on site (brand unconfirmed)","41.9177","-72.2615","240","yes","yes","yes","yes","","yes","","","","",""
"TA Santa Rosa","truck-stops","2634 Historic Route 66","Santa Rosa","NM","88435-0372","575-935-9939","","116 truck parking spaces. 9 showers. 3 service bays. 11 diesel lanes. On site: Popeyes, Subway. Weigh scale on site (brand unconfirmed)","34.9443","-104.6407","116","yes","yes","yes","yes","","yes","","","","",""
"TA London","truck-stops","940 US RT 42 NE","London","OH","43140-0560","740-852-3810","","138 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","39.9538","-83.3796","138","yes","yes","yes","yes","","yes","","","","",""
"TA Spartanburg","truck-stops","1402 East Main St.","Duncan","SC","29334-9647","864-433-0711","","187 truck parking spaces. 11 showers. 8 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","34.914","-82.11","187","yes","yes","yes","yes","","yes","","","","",""
"Petro Ontario","truck-stops","4325 E. Guasti Rd.","Ontario","CA","91761-7807","909-390-7800","","559 truck parking spaces. 30 showers. 4 service bays. 16 diesel lanes. On site: Iron Skillet; Burger King, Popeyes. Weigh scale on site (brand unconfirmed)","34.0647","-117.5566","559","yes","yes","yes","yes","","yes","","","","",""
"TA Kingsville","truck-stops","5551 St Rt 193","Kingsville","OH","44048","440-224-2035","","158 truck parking spaces. 9 showers. 2 service bays. 10 diesel lanes. On site: Burger King. Weigh scale on site (brand unconfirmed)","41.8765","-80.6671","158","yes","yes","yes","yes","","yes","","","","",""
"TA Chicago North","truck-stops","16650 W. Russell Road","Zion","IL","60099","847-395-5580","","215 truck parking spaces. 12 showers. 3 service bays. 10 diesel lanes. Weigh scale on site (brand unconfirmed)","42.4857","-87.951","215","yes","","yes","yes","","yes","","","","",""
"TA Wheeling","truck-stops","270 W. Alexander Road","Valley Grove","WV","26060-8025","304-547-1521","","168 truck parking spaces. 12 showers. 4 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","40.0694","-80.5677","168","yes","yes","yes","yes","","yes","","","","",""
"TA Earle","truck-stops","408 Highway 149 North","Earle","AR","72331","870-657-2105","","137 truck parking spaces. 9 showers. 6 service bays. 8 diesel lanes. On site: Burger King, Pizza Hut Express, Taco Bell. Weigh scale on site (brand unconfirmed)","35.1364","-90.488","137","yes","yes","yes","yes","","yes","","","","",""
"TA Effingham","truck-stops","1702 West Evergreen Ave","Effingham","IL","62401-1388","217-347-7183","","137 truck parking spaces. 10 showers. 6 service bays. 11 diesel lanes. On site: Dunkin', Popeyes, Sbarro. Weigh scale on site (brand unconfirmed)","39.1364","-88.5662","137","yes","yes","yes","yes","","yes","","","","",""
"TA Oklahoma City East","truck-stops","801 South Council Road","Oklahoma City","OK","73128-4218","405-787-7411","","175 truck parking spaces. 12 showers. 6 service bays. 10 diesel lanes. On site: IHOP. Weigh scale on site (brand unconfirmed)","35.458","-97.6556","175","yes","yes","yes","yes","","yes","","","","",""
"TA Hebron","truck-stops","10679 Lancaster Road, SE","Hebron","OH","43025-0520","740-467-2900","","130 truck parking spaces. 10 showers. 6 service bays. 8 diesel lanes. On site: Popeyes, Sbarro. Weigh scale on site (brand unconfirmed)","39.9389","-82.5349","130","yes","yes","yes","yes","","yes","","","","",""
"TA Coachella","truck-stops","46155 Dillon Road","Coachella","CA","92236","760-342-6200","","205 truck parking spaces. 15 showers. 4 service bays. 12 diesel lanes. On site: Arby's, Popeyes, Taco Bell. Weigh scale on site (brand unconfirmed)","33.7139","-116.1756","205","yes","yes","yes","yes","","yes","","","","",""
"TA Mt Vernon","truck-stops","4510 Broadway St","Mt. Vernon","IL","62864","618-244-4242","","136 truck parking spaces. 11 showers. 6 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","38.3134","-88.9594","136","yes","yes","yes","yes","","yes","","","","",""
"TA Elgin","truck-stops","19 N. 430 US Hwy 20","Hampshire","IL","60140","847-683-4550","","92 truck parking spaces. 10 showers. 2 service bays. 8 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","42.1451","-88.5095","92","yes","yes","yes","yes","","yes","","","","",""
"TA Madison","truck-stops","2021 Eatonton Road","Madison","GA","30650","706-342-4176","","149 truck parking spaces. 7 showers. 6 service bays. 7 diesel lanes. On site: Popeyes. Weigh scale on site (brand unconfirmed)","33.5524","-83.4748","149","yes","yes","yes","yes","","yes","","","","",""
"TA Tallulah","truck-stops","224 Highway 65 South","Tallulah","LA","71282","318-574-5900","","135 truck parking spaces. 7 showers. 5 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","32.3886","-91.2006","135","yes","yes","yes","yes","","yes","","","","",""
"TA Meridian","truck-stops","2150 Russell Mt. Gilead Road","Meridian","MS","39301","601-483-7611","","90 truck parking spaces. 6 showers. 5 service bays. 8 diesel lanes. On site: Country Pride. Weigh scale on site (brand unconfirmed)","32.3962","-88.5826","90","yes","yes","yes","yes","","yes","","","","",""
"TA Bloomsbury","truck-stops","975 State Route 173","Bloomsbury","NJ","08804","908-479-4136","","122 truck parking spaces. 7 showers. 4 service bays. 9 diesel lanes. On site: Country Pride; Burger King. Weigh scale on site (brand unconfirmed)","40.6594","-75.075","122","yes","yes","yes","yes","","yes","","","","",""
"TA Rockwall","truck-stops","2105 South Goliad St.","Rockwall","TX","75032","972-722-7450","","100 truck parking spaces. 7 showers. 3 service bays. 6 diesel lanes. On site: Burger King, Pizza Hut Express. Weigh scale on site (brand unconfirmed)","32.9074","-96.45","100","yes","yes","yes","yes","","yes","","","","",""
