site_id,brand,ta_name,ta_address,city,state,matched_production_id,matched_production_name,matched_production_type,match_distance_miles,why_not_auto_merged,fields_blank_on_existing_ta_could_fill,never_overwrite,reviewer_decision,reviewer_notes
"0001","TA","TA Ashland","100 North Carter Rd","Ashland","VA","e36e07df-2f06-48a6-9494-8cf3b0f4cc15","TA Ashland (TravelCenters of America)","truck_stop","","partial/proximity match only (""TA Ashland (TravelCenters of America)"", """") — confirm","","id|slug|url|reviews|any populated field","",""
"0010","TA","TA Gary","2510 Burr St.","Gary","IN","783d1792-e352-4fb3-bd2b-fc38951c19c8","TA Gary #010 (Burr Street)","truck_stop","","address identical, name differs (""TA Gary #010 (Burr Street)"") — confirm same business","","id|slug|url|reviews|any populated field","",""
"0019","TA","TA Elkton","1400 Elkton Road","Elkton","MD","f35c37d4-6118-40c1-8380-1edf8e79777d","TA Elkton #019","truck_stop","","address identical, name differs (""TA Elkton #019"") — confirm same business","","id|slug|url|reviews|any populated field","",""
"0033","TA","TA Earle","408 Highway 149 North","Earle","AR","3e5fef77-bc72-4174-b45d-04f6096c8fde","TA Earle (TravelCenters of America #033)","truck_stop","","partial/proximity match only (""TA Earle (TravelCenters of America #033)"", ""408 Highway 149 N"") — confirm","","id|slug|url|reviews|any populated field","",""
"0053","TA","TA Wildwood","556 St. Rt. 44","Wildwood","FL","245d9e0f-cb95-461e-822a-e458c03212ed","TA Wildwood (TravelCenters of America)","truck_stop","","partial/proximity match only (""TA Wildwood (TravelCenters of America)"", ""556 E State Road 44"") — confirm","","id|slug|url|reviews|any populated field","",""
"0069","TA","TA Monroe","1255 N Dixie Hwy","Monroe","MI","7b340f8f-28fc-4bca-83a8-bee8a793a4fb","TA Travel Center - Monroe #069","truck_stop","","address identical, name differs (""TA Travel Center - Monroe #069"") — confirm same business","","id|slug|url|reviews|any populated field","",""
"0082","TA","TA Wapakoneta","1775 Bellefontaine St.","Wapakoneta","OH","51296b6f-d325-4a97-a48f-d7a315a5e7e0","TA Wapakoneta #082","truck_stop","","partial/proximity match only (""TA Wapakoneta #082"", ""1775 Bellefontaine Street"") — confirm","","id|slug|url|reviews|any populated field","",""
"0142","TA","TA Richmond","10134 Lewistown Road","Ashland","VA","e36e07df-2f06-48a6-9494-8cf3b0f4cc15","TA Ashland (TravelCenters of America)","truck_stop","","partial/proximity match only (""TA Ashland (TravelCenters of America)"", """") — confirm","","id|slug|url|reviews|any populated field","",""
"0146","TA","TA Cartersville","981 Cassville-White Road","Cartersville","GA","0f848a8a-9f2f-4e89-bed3-97d656bcd25d","TA Cartersville #146","truck_stop","0.016","partial/proximity match only (""TA Cartersville #146"", ""981 Cassville-White Rd"") — confirm","","id|slug|url|reviews|any populated field","",""
"0151","TA","TA Baltimore South","7401 Assateague Drive","Jessup","MD","ff19357b-eb93-4483-9e4e-ebb40e07fe36","TA Baltimore South #151","truck_stop","","address identical, name differs (""TA Baltimore South #151"") — confirm same business","lat/lng|parking_spaces","id|slug|url|reviews|any populated field","",""
"0173","TA","TA Whitestown","5930 Whitestown Pkwy","Whitestown","IN","0fd1e82b-0a8e-410b-9af9-8787d6ab89b8","TA Whitestown (TravelCenters of America #173)","truck_stop","","partial/proximity match only (""TA Whitestown (TravelCenters of America #173)"", ""5930 E State Road 334"") — confirm","","id|slug|url|reviews|any populated field","",""
"0177","TA","TA Savannah","4401 Hwy. 17","Richmond Hill","GA","6bad6451-4f76-45b8-9a3b-4a1aad414f83","TA Savannah (TravelCenters of America #177)","truck_stop","","partial/proximity match only (""TA Savannah (TravelCenters of America #177)"", ""4401 US Highway 17"") — confirm","","id|slug|url|reviews|any populated field","",""
"0179","TA","TA Manning","3014 Paxville Highway","Manning","SC","b621363d-e4d4-40c6-a04d-09e950264b12","TA Manning (TravelCenters of America #179)","truck_stop","","partial/proximity match only (""TA Manning (TravelCenters of America #179)"", ""3014 Paxville Hwy"") — confirm","","id|slug|url|reviews|any populated field","",""
"0197","TA","TA Vero Beach","8909 20th Street","Vero Beach","FL","7d74bb54-f22d-4594-8bc8-9d9710f88ac0","TA Vero Beach #197","truck_stop","","partial/proximity match only (""TA Vero Beach #197"", ""8909 20th St"") — confirm","","id|slug|url|reviews|any populated field","",""
"0216","TA","TA Baltimore","5501 O'Donnell Street","Baltimore","MD","e102d6bd-874c-43d0-b9f6-c8a9dbbe4832","TA Baltimore #216","truck_stop","","address identical, name differs (""TA Baltimore #216"") — confirm same business","lat/lng|parking_spaces","id|slug|url|reviews|any populated field","",""
"0221","TA","TA Candler","153 Wiggins Road","Candler","NC","91b8ddaa-6012-4ab7-839a-ded888eb912d","TA Candler (TravelCenters of America #221)","truck_stop","","partial/proximity match only (""TA Candler (TravelCenters of America #221)"", ""153 Wiggins Rd"") — confirm","","id|slug|url|reviews|any populated field","",""
"0245","TA","TA Denmark","155 Hwy. 138, Providence Rd.","Denmark","TN","09974385-8c93-4bb5-be59-13552b53e2b3","TA Denmark (TravelCenters of America #245)","truck_stop","","partial/proximity match only (""TA Denmark (TravelCenters of America #245)"", ""155 Highway 138 (Providence Road)"") — confirm","lat/lng","id|slug|url|reviews|any populated field","",""
"0249","TA","TA Lake Park","6901 Bellville Road","Lake Park","GA","93653e22-f954-4d6b-acd8-9f547ce4b947","TA Lake Park #249","truck_stop","0.004","partial/proximity match only (""TA Lake Park #249"", ""6901 Bellville Rd"") — confirm","","id|slug|url|reviews|any populated field","",""
"0258","TA","TA Brunswick","185 S. Port Parkway","Brunswick","GA","28c41568-118b-4e1f-aee1-469f8a634af9","TA Travel Center Brunswick","truck_stop","","partial/proximity match only (""TA Travel Center Brunswick"", ""185 Dungeness Dr"") — confirm","phone|website|lat/lng|parking_spaces","id|slug|url|reviews|any populated field","",""
"0288","TA","TA Lake City","14197 South US HWY 441","Lake City","FL","687996be-4fd9-4464-a9b3-3df5b2c7f505","TA Travel Center #288 (Lake City)","truck_stop","","partial/proximity match only (""TA Travel Center #288 (Lake City)"", ""14197 S US Highway 441"") — confirm","","id|slug|url|reviews|any populated field","",""
"0311","Petro","Petro W. Memphis","3900 Petro Road","West Memphis","AR","20ea502e-9d1f-43e3-b369-520d35c38c5f","Petro Stopping Center #311 (Petro West Memphis)","truck_stop","","partial/proximity match only (""Petro Stopping Center #311 (Petro West Memphis)"", ""3900 Petro Rd"") — confirm","","id|slug|url|reviews|any populated field","",""
"0323","Petro","Petro Ocala","7401 West Hwy 318","Reddick","FL","904bda8d-b42d-49ce-88d2-5b2fd4ca4191","Petro Stopping Center #323 (Ocala / Reddick)","truck_stop","","partial/proximity match only (""Petro Stopping Center #323 (Ocala / Reddick)"", ""7401 W Highway 318"") — confirm","","id|slug|url|reviews|any populated field","",""
"0325","Petro","Petro North Baltimore","12906 Deshler Rd.","North Baltimore","OH","bb4d283f-1f08-4acd-a062-850f5bc309c6","Petro Stopping Center #325","truck_stop","","address identical, name differs (""Petro Stopping Center #325"") — confirm same business","","id|slug|url|reviews|any populated field","",""
"0326","Petro","Petro N. Little Rock","3205 Valentine Road","North Little Rock","AR","03c39975-0f38-4f41-97e7-d50d95b9edf0","Petro Stopping Center #326 (Petro N. Little Rock)","truck_stop","","partial/proximity match only (""Petro Stopping Center #326 (Petro N. Little Rock)"", ""3205 Valentine Rd"") — confirm","","id|slug|url|reviews|any populated field","",""
"0344","Petro","Petro Kingsland","1105 East King Avenue","Kingsland","GA","36d48fe4-d2ce-4d99-987a-9e8341644b7a","Petro Stopping Center #344 (TA/Petro Kingsland)","truck_stop","","partial/proximity match only (""Petro Stopping Center #344 (TA/Petro Kingsland)"", ""1105 E King Ave"") — confirm","","id|slug|url|reviews|any populated field","",""
"0349","Petro","Petro Kingston Springs","162 Luyben Hills Road","Kingston Springs","TN","8018aa5b-c428-465d-9809-fde4e03cd4a2","Petro Stopping Center Kingston Springs #349","truck_stop","","partial/proximity match only (""Petro Stopping Center Kingston Springs #349"", ""162 Luyben Hills Rd"") — confirm","","id|slug|url|reviews|any populated field","",""
"0369","Petro","Petro Gary","3001 Grant Street","Gary","IN","8578017a-7ea0-4c38-a6ed-abf7b5a39d0f","Petro Gary #369 (Grant Street)","truck_stop","","partial/proximity match only (""Petro Gary #369 (Grant Street)"", ""3001 Grant St"") — confirm","","id|slug|url|reviews|any populated field","",""
"0382","Petro","Petro Remington","4230 West Highway 24","Remington","IN","bd27e9bc-6b14-4810-b20d-26a04702c477","Petro Stopping Center #382","truck_stop","","partial/proximity match only (""Petro Stopping Center #382"", ""4230 W US Hwy 24"") — confirm","","id|slug|url|reviews|any populated field","",""
"0393","Petro","Petro Florence","3001 TV Rd.","Florence","SC","beb05d53-db50-49cb-8790-ec01b45c8187","Love's Travel Stop #420","truck_stop","","address identical, name differs (""Love's Travel Stop #420"") — confirm same business","phone|lat/lng|parking_spaces","id|slug|url|reviews|any populated field","",""
