site_id,brand,verdict,reasons,name,address,city,state,zip,phone,ta_latitude,ta_longitude,truck_parking_spaces,shower_count,service_bays,diesel_lanes,food_brands,truck_wash,scale_present,amenities_mapped,matched_production_id,matched_production_name,match_distance_miles,provenance,reviewer_decision,reviewer_notes
"0001","TA","probable-duplicate","same-operator-name-in-city|state","TA Ashland","100 North Carter Rd","Ashland","VA","23005-0712","804-798-6011","37.7598","-77.4631","183","11","4","8","Fuddruckers","","yes","Showers|Food|Fuel|Laundry|Repair","a10bc9c5-3119-4a79-bb06-906f09e4d234","CAT Scale at TA Ashland","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0002","TA","net-new-candidate","no-production-match","TA Greensboro","1101 NC Highway 61","Whitsett","NC","27377-0218","336-449-6060","36.0635","-79.5636","173","13","6","12","Burger King, Popeyes","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0003","TA","net-new-candidate","no-production-match","TA Brookville","245 Allegheny Blvd.","Brookville","PA","15825-8211","814-849-3051","41.1729","-79.0992","221","8","6","8","Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0006","TA","net-new-candidate","no-production-match","TA Columbia","2 Simpson Road","Columbia","NJ","07832-0305","908-496-4124","40.9317","-75.0969","172","7","5","8","Country Pride; Pizza Hut Express, Taco Bell Express","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0007","TA","net-new-candidate","no-production-match","TA Eloy","2949 North Toltec Road","Eloy","AZ","85131","520-466-7363","32.7737","-111.6175","234","11","6","12","A&W All American Food, Sbarro, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0008","TA","net-new-candidate","no-production-match","TA Gallup","3404 W Historical Highway 66","Gallup","NM","87301-6841","505-863-6801","35.5059","-108.8359","76","9","6","8","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0010","TA","probable-duplicate","same-address|city|state","TA Gary","2510 Burr St.","Gary","IN","46406","219-845-3721","41.573","-87.4045","318","14","6","16","Pizza Hut Express, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","7ee7902b-c0a6-4f09-8cd7-ba06e9ecb000","TA Truck Service at TA Gary","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0011","TA","net-new-candidate","no-production-match","TA Dayton","6762 US Rte 127","Eaton","OH","45320-0030","937-456-5522","39.84","-84.6282","198","9","6","8","Burger King","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0012","TA","net-new-candidate","no-production-match","TA Harrisburg","7848 Linglestown Road","Harrisburg","PA","17112-0535","717-652-4556","40.355","-76.7241","178","13","6","9","Country Pride","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0014","TA","net-new-candidate","no-production-match","TA Las Cruces","202 N. Motel Blvd","Las Cruces","NM","88007","575-527-7400","32.2977","-106.8115","201","10","6","8","Burger King, Pizza Hut Express, Taco Bell","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
"0015","TA","net-new-candidate","no-production-match","TA Lodi","8834 Lake Road","Seville","OH","44273-0125","330-769-2053","41.0322","-81.9078","237","10","6","9","IHOP; Burger King, Popeyes, Starbucks","","yes","Showers|Food|Fuel|Laundry|Repair","","","","TA/Petro official location master locmaster20260725.xlsx sha256 5ebe0e9f0341...; coordinates as supplied by operator","",""
