business_name,city,state,category,directory_url,excluded_reason
CAT Scale at TA Vero Beach,Vero Beach,FL,cat-scales,/directory/location/cat-scale-at-ta-vero-beach-vero-beach-fl,corporate travel-center brand — placement is not bought at the site
TA Vero Beach #197,Vero Beach,FL,truck-stops,/directory/location/ta-vero-beach-197-vero-beach-fl,corporate travel-center brand — placement is not bought at the site
CAT Scale at Petro Kingsland (#344),Kingsland,GA,cat-scales,/directory/location/cat-scale-at-petro-kingsland-344-kingsland-ga,corporate travel-center brand — placement is not bought at the site
CAT Scale at TA Savannah,Richmond Hill,GA,cat-scales,/directory/location/cat-scale-at-ta-savannah-richmond-hill-ga,corporate travel-center brand — placement is not bought at the site
Petro Stopping Center #344 (TA/Petro Kingsland),Kingsland,GA,truck-stops,/directory/location/petro-stopping-center-344-ta-petro-kingsland-kingsland-ga,corporate travel-center brand — placement is not bought at the site
TA Savannah (TravelCenters of America #177),Richmond Hill,GA,truck-stops,/directory/location/ta-savannah-travelcenters-of-america-177-richmond-hill-ga,corporate travel-center brand — placement is not bought at the site
TA Travel Center Brunswick,Brunswick,GA,truck-stops,/directory/location/ta-travel-center-brunswick-brunswick-ga,corporate travel-center brand — placement is not bought at the site
Petro Kenly 95 #395,Kenly,NC,truck-stops,/directory/location/petro-kenly-95-395-kenly-nc,corporate travel-center brand — placement is not bought at the site
CAT Scale at Petro Florence,Florence,SC,cat-scales,/directory/location/cat-scale-at-petro-florence-florence-sc,corporate travel-center brand — placement is not bought at the site
CAT Scale at TA Manning,Manning,SC,cat-scales,/directory/location/cat-scale-at-ta-manning-manning-sc,corporate travel-center brand — placement is not bought at the site
Petro / TA Florence (TravelCenters of America #195),Florence,SC,truck-stops,/directory/location/petro-ta-florence-travelcenters-of-america-195-florence-sc,corporate travel-center brand — placement is not bought at the site
TA Manning (TravelCenters of America #179),Manning,SC,truck-stops,/directory/location/ta-manning-travelcenters-of-america-179-manning-sc,corporate travel-center brand — placement is not bought at the site
CAT Scale at TA Express Stony Creek,Stony Creek,VA,cat-scales,/directory/location/cat-scale-at-ta-express-stony-creek-stony-creek-va,corporate travel-center brand — placement is not bought at the site
TA Express Stony Creek (former Davis Travel Center),Stony Creek,VA,truck-stops,/directory/location/ta-express-stony-creek-former-davis-travel-center-stony-creek-va,corporate travel-center brand — placement is not bought at the site
