business_name,city,state,category,corridor,directory_url,score,what_to_source,where_to_look
Wildwood Truck Repair & Wrecker Service,Wildwood,FL,roadside-service,I-75,/directory/location/wildwood-truck-repair-wrecker-service-wildwood-fl,11,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Hollifields Diesel,Marion,NC,roadside-service,I-40,/directory/location/hollifields-diesel-marion-nc,10,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Dynamic Diesel Solutions,Brunswick,GA,roadside-service,I-95,/directory/location/dynamic-diesel-solutions-brunswick-ga,9,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
C-R Road Service,Lumberton,NC,roadside-service,I-95,/directory/location/c-r-road-service-lumberton-nc,9,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Taylor & Sons Truck & Tire,Ridgeland,SC,tire-repair,I-95,/directory/location/taylor-sons-truck-tire-ridgeland-sc,9,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Flash Market #123,North Little Rock,AR,truck-stops,I-40,/directory/location/flash-market-123-north-little-rock-ar,7,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Fast Track (Hildebran),Hildebran,NC,truck-stops,I-40,/directory/location/fast-track-hildebran-hildebran-nc,7,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Hy-Miler (Mobil) Travel Center,Northwood,OH,truck-stops,I-75,/directory/location/hy-miler-mobil-travel-center-northwood-oh,7,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
NEU CLARK 24 Hour Truck Stop,Lima,OH,truck-stops,I-75,/directory/location/neu-clark-24-hour-truck-stop-lima-oh,6,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
C-R Road Service Truck & Trailer Wash,Lumberton,NC,truck-washes,I-95,/directory/location/c-r-road-service-truck-trailer-wash-lumberton-nc,6,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Travel Store (Burma Rd),Nebo,NC,parking,I-40,/directory/location/travel-store-burma-rd-nebo-nc,5,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
Gators Truck Stop,Vero Beach,FL,truck-stops,I-95,/directory/location/gators-truck-stop-vero-beach-fl,5,"official website, public phone",the business's own site or its own verified profile — not a scraped aggregator
