db_id,source_ref,name,category_slug,state,city,currently_published,receives_map_pin,note
b7f8d80e-0fbe-47f0-b26c-81d1ceafcfe7,271,CAT Scale - Ozark (Love's #271 area),cat-scales,AR,Ozark,unpub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
2289120c-d34a-4d96-b705-81286bd97f02,822,CAT Scale at Love's Travel Stop #822,cat-scales,AR,Clarksville,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
ea928447-ab0f-46a4-9d40-916a91f2ffa2,236,CAT Scale at Love's Travel Stop #236,cat-scales,AR,North Little Rock,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
6027611b-b476-48b3-a777-b43b6492b5ae,759,CAT Scale at Love's Travel Stop #759,cat-scales,AR,Hazen,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
4b2f3f98-a3b1-4f01-8414-3bf1bd312c3d,275,CAT Scale at Love's Travel Stop #275,cat-scales,AR,Palestine,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
a18196bd-7c30-48c5-854d-f9a588f7fe5e,450,CAT Scale at Love's Travel Stop #450,cat-scales,AR,West Memphis,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
a07fae97-fa99-4f05-9ce1-7ce68d531e5a,244,CAT Scale at Love's Travel Stop #244,cat-scales,TN,Jackson,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
c4997c9e-6181-4948-843c-6aaec49240b4,244,Love's Truck Care #244,tire-repair,TN,Jackson,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
83eb8512-0dd4-42b4-84e2-f49e5a9c4ff9,791,CAT Scale at Love's Travel Stop #791,cat-scales,TN,Holladay,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
f3c0bc13-9e53-4196-b049-258e92e71544,369,CAT Scale - Love's Travel Stop #369 Dickson,cat-scales,TN,Dickson,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
22cffdfb-5e39-47fe-98ce-884b5739ea6c,369,Love's Truck Care #369,tire-repair,TN,Dickson,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
e78ba483-5cf5-492c-9e4d-39186230b9a4,346,"CAT Scale — Love's Travel Stop #346, Columbia",cat-scales,TN,Columbia,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
28410ba0-b864-4c43-97cc-93a77a819342,346,Love's Truck Care — Love's Travel Stop #346,tire-repair,TN,Columbia,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
7ad5c4a4-d850-4901-8542-72497a2d0e47,429,"CAT Scale — Love's Travel Stop #429, Nashville",cat-scales,TN,Nashville,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
07c9a38a-fd7d-4453-907e-25c65f54f3fd,429,Love's Truck Care - Love's Travel Stop #429,tire-repair,TN,Nashville,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
fb63b914-2ebc-4212-8542-f84fc81b0e19,629,"CAT Scale — Love's Travel Stop #629, White House",cat-scales,TN,White House,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
cf5fc3c4-3448-41b9-8caf-01e1b02d74b9,629,"Love's Truck Care / Speedco — Love's #629, White House",tire-repair,TN,White House,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
7968ad6f-c140-4f4a-8ca9-a08ddc940203,877,CAT Scale at Love's Travel Stop #877,cat-scales,AL,Cullman,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
020975e1-13ef-41d9-a02e-c94d8ba05896,624,"CAT Scale — Love's Travel Stop #624, Prichard",cat-scales,AL,Prichard,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
0432986c-b8ae-47fe-a647-db30b12d9434,624,"Love's Truck Tire Care #624, Prichard",tire-repair,AL,Prichard,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
b92f4315-9237-42fc-ba92-71c2e383e7cc,368,CAT Scale at Love's #368,cat-scales,AL,Clanton,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
21dc37d4-6706-44d4-8dee-b871cdce17d4,368,Love's Truck Care #368,tire-repair,AL,Clanton,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
8be8a312-d7fe-4b5d-8029-4e4be16db6cd,225,"CAT Scale — Love's Travel Stop #225, Evergreen",cat-scales,AL,Evergreen,pub,false,"colocated service record at the same Love's site — reconciled, no coordinate, no second map pin"
