id	store_number	state	city	category_slug	published	has_coord	name
8be8a312-d7fe-4b5d-8029-4e4be16db6cd	225	AL	Evergreen	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #225, Evergreen
020975e1-13ef-41d9-a02e-c94d8ba05896	624	AL	Prichard	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #624, Prichard
e5d31239-bc34-4fc5-8cdd-8446053077a2	718	AL	Hope Hull	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #718, Hope Hull
b92f4315-9237-42fc-ba92-71c2e383e7cc	368	AL	Clanton	cat-scales	pub	nocoord	CAT Scale at Love's #368
7968ad6f-c140-4f4a-8ca9-a08ddc940203	877	AL	Cullman	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #877
4487c8c2-b9dc-4b24-bf94-e18b76de138e	225	AL	Evergreen	truck-stops	pub	nocoord	Love's Travel Stop #225
08e36b89-6dee-438f-bd37-edf4a6eab784	368	AL	Clanton	truck-stops	pub	nocoord	Love's Travel Stop #368
9d0ebd15-c261-4702-a709-a7828d639a9d	624	AL	Prichard	truck-stops	pub	nocoord	Love's Travel Stop #624
b3f396e1-8990-4df2-9cd8-b0c8d353d66c	718	AL	Hope Hull	truck-stops	pub	nocoord	Love's Travel Stop #718
12cb5734-b6f3-48d8-adc1-71b693367a2a	877	AL	Cullman	truck-stops	pub	nocoord	Love's Travel Stop #877 (Good Hope)
d77dcc99-6512-4e2a-9c39-896770572e3d	718	AL	Hope Hull	roadside-service	pub	nocoord	Love's Truck Care — Love's Travel Stop #718, Hope Hull
25e73d4a-657a-498b-9deb-ceabc08caef4	225	AL	Evergreen	tire-repair	pub	nocoord	Love's Truck Care #225, Evergreen
21dc37d4-6706-44d4-8dee-b871cdce17d4	368	AL	Clanton	tire-repair	pub	nocoord	Love's Truck Care #368
0432986c-b8ae-47fe-a647-db30b12d9434	624	AL	Prichard	tire-repair	pub	nocoord	Love's Truck Tire Care #624, Prichard
b7f8d80e-0fbe-47f0-b26c-81d1ceafcfe7	271	AR	Ozark	cat-scales	unpub	nocoord	CAT Scale - Ozark (Love's #271 area)
ea928447-ab0f-46a4-9d40-916a91f2ffa2	236	AR	North Little Rock	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #236
4b2f3f98-a3b1-4f01-8414-3bf1bd312c3d	275	AR	Palestine	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #275
a18196bd-7c30-48c5-854d-f9a588f7fe5e	450	AR	West Memphis	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #450
6027611b-b476-48b3-a777-b43b6492b5ae	759	AR	Hazen	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #759
2289120c-d34a-4d96-b705-81286bd97f02	822	AR	Clarksville	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #822
d33bd5af-db05-4f0b-a829-7db826c27a96	236	AR	North Little Rock	truck-stops	pub	nocoord	Love's Travel Stop #236
eb21f83a-5ec0-4447-b261-6ecb564187c7	267	AR	Morrilton	truck-stops	pub	nocoord	Love's Travel Stop #267
d7f9bcc5-6dd2-4bc5-aa45-004414540bf2	271	AR	Ozark	truck-stops	pub	nocoord	Love's Travel Stop #271
8fbdb2db-5a92-446e-97c8-fd0473a6a2a8	275	AR	Palestine	truck-stops	pub	nocoord	Love's Travel Stop #275
