db_id,source_ref,name,state,city,lat,lng,interstate,exit_number,parking_spaces,overnight_eligible,currently_published,currently_has_coord,receives_map_pin
d7f9bcc5-6dd2-4bc5-aa45-004414540bf2,271,Love's Travel Stop #271,AR,Ozark,35.511466,-93.822309,I-40,37,18,true,pub,nocoord,true
88873aca-7462-45e9-bbe1-a9ebaa15cf60,822,Love's Travel Stop #822,AR,Clarksville,35.460073,-93.480111,I-40,57/S Crawford St,114,true,pub,nocoord,true
eb21f83a-5ec0-4447-b261-6ecb564187c7,267,Love's Travel Stop #267,AR,Morrilton,35.172923,-92.743251,I-40,107,37,true,pub,nocoord,true
d33bd5af-db05-4f0b-a829-7db826c27a96,236,Love's Travel Stop #236,AR,N Little Rock,34.786217,-92.125573,I-40,161,68,true,pub,nocoord,true
b5d906d6-22c5-4ed5-b39e-b8eea589346d,759,Love's Travel Stop #759,AR,Hazen,34.815314,-91.567393,I-40,193/US Highway 63,132,true,pub,nocoord,true
8fbdb2db-5a92-446e-97c8-fd0473a6a2a8,275,Love's Travel Stop #275,AR,Palestine,34.986489,-90.905235,I-40,233,90,true,pub,nocoord,true
9615e271-6080-44ba-bb9a-94ee75384e83,450,Love's Travel Stop #450,AR,West Memphis,35.153922,-90.138293,I-40,280,96,true,pub,nocoord,true
6c5d6f67-da95-4378-a089-72e6b7a307c4,244,Love's Travel Stop #244,TN,Jackson,35.679204,-88.74243,I-40,87 @ Hwy 70,108,true,pub,nocoord,true
4e060c6a-1fab-4808-928a-bd991bf8f694,791,Love's Travel Stop #791,TN,Holladay,35.840559,-88.081783,I-40,126/Hwy 641,125,true,pub,nocoord,true
e602551b-092f-4d03-9417-03c6196ca4eb,369,Love's Travel Stop #369,TN,Dickson,35.99203,-87.48819,I-40,163,106,true,pub,nocoord,true
cdeb1524-21ed-4454-9667-4b4781f3e8fb,346,Love's Travel Stop #346,TN,Columbia,35.643953,-86.891465,I-65,46,80,true,pub,nocoord,true
1f6e7f3a-9e20-4a57-8eae-d44d24a80243,429,Love's Travel Stop #429,TN,Nashville,36.205575,-86.771637,I-65,87,58,true,pub,nocoord,true
e862ec83-1ad2-4128-90dd-2cb529a71c79,629,Love's Travel Stop #629,TN,White House,36.467853,-86.687413,I-65,108 @ Hwy 76,83,true,pub,nocoord,true
12cb5734-b6f3-48d8-adc1-71b693367a2a,877,Love's Travel Stop #877 (Good Hope),AL,Cullman,34.129181,-86.864036,,,82,true,pub,nocoord,true
9d0ebd15-c261-4702-a709-a7828d639a9d,624,Love's Travel Stop #624,AL,Prichard,30.742,-88.1108,I-65,8,73,true,pub,nocoord,true
08e36b89-6dee-438f-bd37-edf4a6eab784,368,Love's Travel Stop #368,AL,Clanton,32.844151,-86.591963,I-65,208,65,true,pub,nocoord,true
4487c8c2-b9dc-4b24-bf94-e18b76de138e,225,Love's Travel Stop #225,AL,Evergreen,31.419105,-87.00765,I-65,93,148,true,pub,nocoord,true
5f922ea7-ad01-4fff-aa2e-33a9d2cf1177,330,Love's Travel Stop #330,TN,Baxter,36.139694,-85.63023,I-40,280,120,true,pub,nocoord,true
b3f396e1-8990-4df2-9cd8-b0c8d353d66c,718,Love's Travel Stop #718,AL,Hope Hull,32.19624,-86.415235,I-65,158/Tyson Rd,85,true,pub,nocoord,true
76e36705-8140-4902-8922-1ae83351ce7a,874,Love's Travel Stop #874,IN,Lafayette,40.452717,-86.850201,I-65,175/IN Hwy-25,64,true,pub,nocoord,true
f6502eed-0e6a-40c4-a5df-d5a0068ef809,459,Love's Travel Stop #459,IN,Whitestown,39.979492,-86.395742,I-65,133,90,true,pub,nocoord,true
1822b81f-648c-4711-a265-fe1800ccb423,451,Love's Travel Stop #451,IN,Whiteland,39.551539,-86.044627,I-65,95,70,true,pub,nocoord,true
786bf473-2404-4915-bd74-a05c7c07989a,417,Love's Travel Stop #417 (Grant Street),IN,Gary,41.561796,-87.35664,I-94,9,154,true,pub,nocoord,true
08d24d71-a131-473b-9ffd-cc56b92b5466,364,Love's Travel Stop #364,TN,Charleston,35.290197,-84.817591,I-75,33,85,true,pub,coord,true
15f5c84b-8284-455e-8928-c688f5a308ab,735,Love's Travel Stop #735,GA,Calhoun,34.443856,-84.915181,I-75,310,93,true,pub,coord,true
a45b0906-ec99-4785-bfd6-afae328bc2aa,359,Love's Travel Stop #359,GA,Emerson,34.118857,-84.743165,I-75,283,93,true,pub,coord,true
0b49a63f-9886-4ac2-a547-81b6ecda5d6f,861,Love's Travel Stop #861,TN,Loudon,35.732785,-84.400061,I-75,72-SWC,102,true,pub,coord,true
d58e3dbf-f1ed-4822-adf6-94841a1a7c64,480,Love's Travel Stop #480,TN,Lenoir City,35.872378,-84.32321,I-40,364,100,true,unpub,nocoord,true
b67852b7-a14e-43d2-b786-b8536fed05d5,618,Love's Travel Stop #618,KY,Sadieville,38.379493,-84.572583,I-75,136,80,true,pub,nocoord,true
d02cc1cc-ddec-4108-b686-69b43432bcca,291,Love's Travel Stop #291,KY,Richmond,37.84322,-84.324537,I-75,95,63,true,pub,nocoord,true
703372a3-ddb0-4201-b738-cab8ded1a1cf,321,Love's Travel Stop #321,KY,Corbin,36.977491,-84.116242,I-75,29,90,true,pub,nocoord,true
