source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale
211,Love's Travel Stop #211,Travel Stop,845 SE 89th St,Oklahoma City,OK,73149,35.377871,-97.495873,I-35,120,17,true,false,false
712,Love's Travel Stop #712,Travel Stop,235 NW 24th St,Newcastle,OK,73065,35.277217,-97.601218,I-44,107/24th St,48,true,true,true
203,Love's Travel Stop #203,Travel Stop,800 S. Morgan Rd.,Oklahoma City,OK,73128,35.457659,-97.688649,I-40,140/S Morgan Rd,26,true,true,false
260,Love's Travel Stop #260,Travel Stop,5317 SE 44th St,Norman,OK,73072,35.183634,-97.49899,I-35,106,20,true,false,false
205,Love's Travel Stop #205,Travel Stop,12225 N I-35,Oklahoma City,OK,73131,35.594066,-97.436685,I-35,137,18,true,true,true
486,Love's Travel Stop #486,Travel Stop,7401 S. Choctaw Rd.,Choctaw,OK,73020,35.395799,-97.266195,I-40,166,85,true,true,true
737,Love's Travel Stop #737,Travel Stop,3900 S Radio Rd,El Reno,OK,73036,35.496922,-97.902765,I-40,127/Radio Rd,103,true,true,true
654,Love's Travel Stop #654,Travel Stop,21000 SW 59th St,Union City,OK,73090,35.405613,-97.938429,,,45,true,true,true
604,Love's Travel Stop #604,Travel Stop,2700 E OK Hwy-33,Guthrie,OK,73044,35.879761,-97.391931,I-35,157,105,true,true,true
385,Love's Travel Stop #385,Travel Stop,4400 N. Broadway,Hinton,OK,73047,35.526555,-98.351492,I-40,101,90,true,true,true
452,Love's Travel Stop #452,Travel Stop,1601 Airline Road,Pauls Valley,OK,73075,34.708611,-97.242519,I-35,70,119,true,true,true
219,Love's Travel Stop #219,Travel Stop,11268 Highway 99,Seminole,OK,74868,35.381641,-96.670348,I-40,200,77,true,true,true
794,Love's Travel Stop #794,Travel Stop,1520 E Russworm Drive,Watonga,OK,73772,35.840683,-98.394747,,,50,true,true,true
169,Love's Travel Stop #169,Travel Stop,"Mile 178, Turner Turnpike",Stroud,OK,74079,35.752191,-96.688123,I-44,Mile 178 (Westbound Only),159,true,true,true
263,Love's Travel Stop #263,Travel Stop,24169 State Highway 49,Lawton,OK,73507,34.713757,-98.401628,I-44,45,29,true,false,false
865,Love's Travel Stop #865,Travel Stop,2805 W Fir St,Perry,OK,73077,36.290484,-97.325421,I-35,186,60,true,true,true
630,Love's Travel Stop #630,Travel Stop,4104 E Randolph Ave,Enid,OK,73701,36.398834,-97.820024,,,62,true,true,true
248,Love's Travel Stop #248,Travel Stop,10331 N. 2310 Rd.,Clinton,OK,73601,35.51826,-98.870888,I-40,71,10,true,false,false
274,Love's Travel Stop #274,Travel Stop,102 W. Coplin St,Okemah,OK,74859,35.420881,-96.30056,I-40,221,20,true,true,false
266,Love's Travel Stop #266,Travel Stop,3201 12th Ave NW,Ardmore,OK,73401,34.188225,-97.170773,I-35,32,86,true,true,true
213,Love's Travel Stop #213,Travel Stop,16501 W Fountain Rd,Tonkawa,OK,74653,36.651021,-97.342011,I-35,211,92,true,true,true
675,Love's Travel Stop #675,Travel Stop,1300 N Wood Drive,Okmulgee,OK,74447,35.63581,-95.96269,,,59,true,true,true
734,Love's Travel Stop #734,Travel Stop,251344 Highway 70,Randlett,OK,73562,34.173102,-98.498339,I-44,5/Hwy 70,54,true,true,true
268,Love's Travel Stop #268,Travel Stop,1935 S Mississippi Ave,Atoka,OK,74525,34.366934,-96.141025,,,22,true,true,false
204,Love's Travel Stop #204,Travel Stop,1601 Birkes Rd.,Eufaula,OK,74432,35.305832,-95.588248,,,70,true,true,true
269,Love's Travel Stop #269,Travel Stop,1124 Central Freeway E.,Wichita Falls,TX,76301,33.886704,-98.468811,,,54,true,true,true
821,Love's Travel Stop #821,Travel Stop,5278 W Main Street,Durant,OK,74701,33.998251,-96.428994,,,13,true,true,false
373,Love's Travel Stop #373,Travel Stop,2150 Leavenworth Trail,Colbert,OK,74730,33.881314,-96.500253,,,87,true,true,true
253,Love's Travel Stop #253,Travel Stop,901 N. Sheb Wooley Ave.,Erick,OK,73645,35.223877,-99.869643,I-40,7,52,true,true,true
178,Love's Travel Stop #178,Travel Stop,"Mile 26, Kansas Turnpike",Belle Plaine,KS,67013,37.366031,-97.322461,I-35,Mile 26/Kansas Tpke,35,true,false,false
295,Love's Travel Stop #295,Travel Stop,4564 W. 590,Chouteau,OK,74337,36.163483,-95.342987,,,46,true,true,true
255,Love's Travel Stop #255,Travel Stop,214 South Hwy 100,Webbers Falls,OK,74470,35.48604,-95.149265,I-40,287,80,true,true,true
662,Love's Travel Stop #662,Travel Stop,1415 W 11th Street,Quanah,TX,79252,34.292205,-99.757842,,,52,true,true,true
636,Love's Travel Stop #636,Travel Stop,106 Airport Drive,Nowata,OK,74048,36.7196,-95.6286,,,38,true,true,true
609,Love's Travel Stop #609,Travel Stop,6421 N I-35,Denton,TX,76207,33.263072,-97.179456,I-35,471/US-77,149,true,true,true
