source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale,quarantine_reason
245,Love's Car Stop #245,Car Stop,3233 SW 89th St,Oklahoma City,OK,73159,35.377833,-97.573646,I-44,113,,false,false,false,store-type-not-travel-stop:Car Stop; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
941,Love's Truck Care #941,Truck Service,10001 SW 8th St,Oklahoma City,OK,73128,35.458566,-97.694979,I-40,140,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
88,Love's Country Store #88,Country Store,1016 W Main St,Yukon,OK,73099,35.507526,-97.759717,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
123,Love's Country Store #123,Country Store,10875 N. Pennsylvania Ave.,Oklahoma City,OK,73120,35.579725,-97.549777,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
114,Love's Country Store #114,Country Store,1655 E Highway 66,El Reno,OK,73036,35.508628,-97.937649,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
167,Love's Travel Stop #167,Travel Stop,1896 H.E. Bailey Turnpike,Chickasha,OK,73018,35.081871,-97.889421,I-44,HE Bailey Tpke / Mile 85,24,false,false,false,overnight-parking-not-confirmed
28,Love's Country Store #28,Country Store,225 North Green Ave.,Purcell,OK,73080,35.014805,-97.366676,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
252,Love's Car Stop #252,Car Stop,12601 McLoud Rd.,McLoud,OK,74851,35.381807,-97.08836,I-40,176,,false,false,false,store-type-not-travel-stop:Car Stop; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
95,Love's Country Store #95,Country Store,1001 W Choctaw Ave,Chickasha,OK,73018,35.051922,-97.94584,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
86,Love's Country Store #86,Country Store,1326 S 4th St,Chickasha,OK,73018,35.037398,-97.937327,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
85,Love's Country Store #85,Country Store,1223 S Division St,Guthrie,OK,73044,35.865466,-97.425862,I-35,153/S Division St,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
218,Love's Car Stop #218,Car Stop,2530 E Noble Ave,Guthrie,OK,73044,35.878956,-97.39613,I-35,157,,false,false,false,store-type-not-travel-stop:Car Stop; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
74,Love's Country Store #74,Country Store,502 W Cherokee St,Lindsay,OK,73052,34.83731,-97.608794,,,13,true,false,false,store-type-not-travel-stop:Country Store
49,Love's Country Store #49,Country Store,1005 N Kickapoo Ave,Shawnee,OK,74801,35.341862,-96.929385,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
5,Love's Country Store #5,Country Store,203 S Main St,Kingfisher,OK,73750,35.85947,-97.932291,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
51,Love's Country Store #51,Country Store,100 E Walnut St,Tecumseh,OK,74873,35.260391,-96.93616,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
117,Love's Country Store #117,Country Store,432 S Grand St,Crescent,OK,73028,35.946348,-97.594583,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
50,Love's Country Store #50,Country Store,309 W Grant Ave,Pauls Valley,OK,73075,34.739876,-97.22278,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
170,Love's Travel Stop #170,Travel Stop,169E Turner Turnpike,Chandler,OK,74834,35.72777,-96.83464,I-44,Mile 169 (Eastbound Only),140,false,false,false,overnight-parking-not-confirmed
48,Love's Country Store #48,Country Store,721 S Main St,Hennessey,OK,73742,36.102541,-97.898929,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
13,Love's Country Store #13,Country Store,811 N Broadway St,Marlow,OK,73055,34.656669,-97.958098,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
56,Love's Country Store #56,Country Store,701 S Broadway St,Marlow,OK,73055,34.640062,-97.958286,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
118,Love's Country Store #118,Country Store,305 W Robert S Kerr Blvd,Wynnewood,OK,73098,34.641709,-97.173317,,,0,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
29,Love's Country Store #29,Country Store,202 W Main St,Duncan,OK,73533,34.500686,-97.947455,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
80,Love's Country Store #80,Country Store,524 W Main St,Ada,OK,74820,34.774878,-96.686152,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
52,Love's Country Store #52,Country Store,300 N Mississippi Ave,Ada,OK,74820,34.776835,-96.669484,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
55,Love's Country Store #55,Country Store,120 S. Rodeo Dr.,Comanche,OK,73529,34.368249,-97.963736,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
15,Love's Country Store #15,Country Store,401 N Main St,Fairview,OK,73737,36.272312,-98.48015,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
168,Love's Travel Stop #168,Travel Stop,Mile 21 H.E. Bailey Turnpike,Walters,OK,73572,34.370171,-98.409611,I-44,Mile 21,20,false,false,false,overnight-parking-not-confirmed
54,Love's Country Store #54,Country Store,930 W Broadway St,Ardmore,OK,73401,34.174068,-97.14092,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
57,Love's Country Store #57,Country Store,413 E Main St,Henryetta,OK,74437,35.439449,-95.976804,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
201,Love's Travel Stop #201,Travel Stop,2703 East Highway 66,Elk City,OK,73644,35.423039,-99.372528,I-40,41,0,false,false,false,no-stated-truck-parking-spaces; overnight-parking-not-confirmed
84,Love's Country Store #84,Country Store,411 S 1st St,Madill,OK,73446,34.086724,-96.769831,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
31,Love's Country Store #31,Country Store,1001 W 3rd St,Elk City,OK,73644,35.412046,-99.416007,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
171,Love's Travel Stop #171,Travel Stop,Mile 66 Indian Nation Turnpike,McAlester,OK,74501,34.907161,-95.825601,,,30,false,false,false,overnight-parking-not-confirmed
33,Love's Country Store #33,Country Store,301 N Louis Tittle Ave,Mangum,OK,73554,34.876558,-99.502906,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
18,Love's Country Store #18,Country Store,607 E. Oklahoma Blvd.,Alva,OK,73717,36.7972,-98.6502,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
68,Love's Country Store #68,Country Store,1223 N 1st Ave,Durant,OK,74701,34.002079,-96.373347,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
69,Love's Country Store #69,Country Store,524 W Main St,Durant,OK,74701,33.992406,-96.381474,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
97,Love's Country Store #97,Country Store,1712 N Summit St,Arkansas City,KS,67005,37.082717,-97.0396,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
16,Love's Country Store #16,Country Store,3020 NW Williams Ave.,Woodward,OK,73801,36.417812,-99.384695,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
47,Love's Country Store #47,Country Store,2615 Oklahoma,Woodward,OK,73801,36.432993,-99.415187,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
166,Love's Travel Stop #166,Travel Stop,498 Muskogee Turnpike,Muskogee,OK,74401,35.852881,-95.421201,,,24,false,false,false,overnight-parking-not-confirmed
10,Love's Country Store #10,Country Store,408 E Broadway St,Hollis,OK,73550,34.682126,-99.914491,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
120,Love's Country Store #120,Country Store,706 S Thornton St,Vian,OK,74962,35.490723,-94.971169,I-40,297/OK Hwy-82,0,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
36,Love's Country Store #36,Country Store,721 N Hoy St,Buffalo,OK,73834,36.841361,-99.63009,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
78,Love's Country Store #78,Country Store,111 E Downing St,Tahlequah,OK,74464,35.915552,-94.968889,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
32,Love's Country Store #32,Country Store,1412 E 1st St,Pratt,KS,67124,37.646163,-98.722077,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
927,Love's Truck Care #927,Truck Service,1812 N Loop,Irving,TX,75061,32.833555,-96.914321,,,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
94,Love's Country Store #94,Country Store,504 S Park Dr,Broken Bow,OK,74728,34.022267,-94.739957,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
21,Love's Country Store #21,Country Store,802 Douglas Ave,Beaver,OK,73932,36.809774,-100.51913,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
913,Love's Truck Care #913,Truck Service,34353 LBJ Freeway,Dallas,TX,75241,32.655868,-96.754979,I-20,472,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
176,Love's Travel Stop #176,Travel Stop,Mile 97 Kansas Turnpike,Cassoday,KS,66842,38.095391,-96.579511,I-35,Mile 97,17,false,false,false,overnight-parking-not-confirmed
116,Love's Country Store #116,Country Store,115 N Fowler St,Meade,KS,67864,37.285773,-100.340328,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
929,Love's Truck Care #929,Truck Service,5815 E 30th St,Joplin,MO,64804,37.05763,-94.431249,I-44,11,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
62,Love's Country Store #62,Country Store,400 E Wyatt Earp Blvd,Dodge City,KS,67801,37.753132,-100.011806,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
58,Love's Country Store #58,Country Store,1108 W Wyatt Earp Blvd,Dodge City,KS,67801,37.753654,-100.028774,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
11,Love's Country Store #11,Country Store,1221 10th Street,Great Bend,KS,67530,38.360978,-98.754033,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
24,Love's Country Store #24,Country Store,208 West Pancake Blvd.,Liberal,KS,67901,37.032167,-100.927851,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
901,Love's Truck Care #901,Truck Service,10000 I-40 East,Amarillo,TX,79118,35.191698,-101.721509,I-40,76,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
19,Love's Country Store #19,Country Store,101 SE 2nd St,Guymon,OK,73942,36.677248,-101.4813,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
40175,Love's Service Center #40175,Service Center,"Mile 188, Kansas Turnpike",Topeka,KS,66608,39.019541,-95.508871,I-70,Mile 188,,false,false,false,store-type-not-travel-stop:Service Center; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
