db_id,db_name,source_ref,official_name,state,city,address,category_slug,evidence,note
2138c8b1-489c-4aa9-9fe9-51cf8fb72982,"CAT Scale — Mr. Fuel Travel Center, Walton",278,Mr. Fuel Travel Center,KY,Walton,118 Richwood Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
b2d64c85-4150-4bf2-a7ed-a8f2d9ea31f4,CAT Scale at Flying J Carmel Church,876,Flying J Travel Center,VA,Ruther Glen,23866 Rogers Clark Blvd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
7fa26b2f-a97d-4c5e-aa6f-cb992518cafe,CAT Scale at Flying J Elkton,875,Flying J Travel Center,MD,Elkton,221 Belle Hill Road,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
f2566159-665a-4205-929d-7352a3c1f402,CAT Scale at Flying J Fort Pierce,622,Flying J Travel Center,FL,Fort Pierce,100 N Kings Hwy,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
eb5cb560-c5f7-466b-89b0-4fb84dbf8ff5,CAT Scale at Flying J Kenly,683,Flying J Travel Center,NC,Kenly,1800 Princeton-Kenly Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
5330fe76-dd64-4b5b-b8d6-aca559036526,CAT Scale at Flying J Latta,713,ONE9 Travel Center,SC,Latta,111 Mill Branch Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
61a7d832-a098-4196-bbe2-5b58562e7b9b,CAT Scale at Flying J North East,784,Flying J Travel Center,MD,North East,1 Center Drive,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
6f7fee11-ff4c-445d-b830-d899d682312c,CAT Scale at Flying J Saint Augustine,626,Flying J Travel Center,FL,Saint Augustine,950 FL-206 W,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
f91d1114-a109-48b5-9b5e-1aa96591f8ae,CAT Scale at Flying J St. George,493,Flying J Travel Center,SC,Saint George,113 Motel Dr,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
1d1a2d76-46d8-46cc-9759-a9da44e2e53b,CAT Scale at Flying J Travel Center (Hebron),653,Flying J Travel Center,IN,Hebron,3231 E 181st Ave,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
a6b4c790-4ba6-48e8-bdad-2af3822a8f99,CAT Scale at ONE9 Travel Center (CAT #876),265,ONE9 Travel Center,TN,Cookeville,1111 S Jefferson Ave,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
38ffb2aa-c692-4376-9d7c-4b39e745845d,CAT Scale at ONE9 Travel Center Brinkley,1330,ONE9 Travel Center,AR,Brinkley,2101 US Highway 49,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
6d944928-3079-4aef-b907-dfab87dadbb1,CAT Scale at ONE9 Travel Center Wildwood,254,ONE9 Travel Center,GA,Wildwood,650 GA-299,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
7b36b126-6502-447f-bb23-84c4010f7203,CAT Scale at Pilot Colonial Heights,384,Pilot Travel Center,VA,Colonial Heights,2126 Ruffin Mill Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
72ff780f-93e7-4421-b8a0-9d79a49205fd,CAT Scale at Pilot Dunn (Sadler Travel Plaza),900,Pilot Dealer,NC,Dunn,65 Sadler Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
9691fa24-7dec-48e1-83f0-6c8549f85d40,CAT Scale at Pilot Fort Pierce,90,Pilot Travel Center,FL,Fort Pierce,7300 Okeechobee Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
a3953ace-f227-41eb-8824-30476efb2e60,CAT Scale at Pilot Hardeeville,4569,Pilot Travel Center,SC,Hardeeville,15976 Whyte Hardee Blvd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
c155ccb3-73d8-4cee-ab06-8be51125d95c,CAT Scale at Pilot Pleasant Hill,58,ONE9 Travel Center,NC,Pleasant Hill,2032 NC-48,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
b9c7c0fd-8292-4f9f-8424-ab1914e68738,CAT Scale at Pilot Sadler's Emporia,898,Pilot Dealer,VA,Emporia,918 W Atlantic St,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
98a38aa5-c4ed-4534-b331-56b71a9a2edf,CAT Scale at Pilot Skippers,4651,Pilot Travel Center,VA,Skippers,781 Moores Ferry Rd,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
bae44b4e-68ae-41f8-a15f-219606517dbf,"CAT Scale at Pilot Travel Center (Burr Street, Gary)",271,Pilot Travel Center,IN,Gary,2501 Burr St,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
8bdb3077-44fb-4228-8ae3-6328fa661a28,CAT Scale at Pilot Travel Center (Good Hope),1550,Pilot Travel Center,AL,Good Hope,1600 County Road 437,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
9fa8f22a-5b4b-40a7-a594-885560ee35a0,CAT Scale at Pilot Travel Center (Hebron),448,Pilot Travel Center,IN,Hebron,18011 Colorado St,cat-scales,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
34ba01ad-945f-4960-b099-01964f28815d,Mr. Fuel Travel Center (One9 Fuel Network),278,Mr. Fuel Travel Center,KY,Walton,118 Richwood Rd,truck-stops,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
c8d0eb8c-df20-4bd7-89f2-038aa550c3ee,ONE9 Travel Center,398,ONE9 Travel Center,GA,Vienna,39 Victory Ln,truck-stops,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
69f1f244-c4c0-480b-9e95-f1b02554cb6b,ONE9 Travel Center (Pilot Company),1330,ONE9 Travel Center,AR,Brinkley,2101 US Highway 49,truck-stops,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
f0783c4c-568f-4ed0-8ee8-baec2257dab1,Pilot Flying J Truck Care - Woodhaven,895,Flying J Travel Center,MI,Woodhaven,21055 West Rd,roadside-service,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
3f7408df-a39e-46cd-843a-61694fabbe9c,Pilot Travel Center - Sadler's Emporia,898,Pilot Dealer,VA,Emporia,918 W Atlantic St,truck-stops,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
438d7ce9-59d8-4fec-b8d5-24f36c3a5481,Pilot Travel Center (Sadler Travel Plaza),900,Pilot Dealer,NC,Dunn,65 Sadler Rd,truck-stops,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
410fb4a6-1480-436d-b89b-b5721608cc2a,"Truck Wash at Pilot Travel Center (Burr Street, Gary)",271,Pilot Travel Center,IN,Gary,2501 Burr St,truck-washes,address+brand+state,matched WITHOUT a store number — address/coordinate + brand + state. Weaker than a store-number match; verify by exact ID before publishing.
