source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities
790,Flying J Travel Center,Flying J,Flying J Travel Center #790,628 County Rd 41,Napanee,ON,K7R 3L2,44.266494161578635,-76.96763284049284,,579,"ON-401, Exit 579",165,12,17,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash
807,Flying J Travel Center,Flying J,Flying J Travel Center #807,1400 Britannia Rd E,Mississauga,ON,L4W 1C7,43.6535799,-79.6490977,,346,"ON-401, Exit 346",65,13,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces
869,Flying J Travel Center,Flying J,Flying J Travel Center #869,2810 21 Ave,Nanton,AB,T0L 1R0,50.3415416,-113.7655356,,,AB-533 & AB-2,71,5,3,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces
796,Flying J Travel Center,Flying J,Flying J Travel Center #796,6607 67 St,Red Deer,AB,T4P 1A4,52.2873314894244,-113.84923945427022,,,AB-2 & 67 St,26,5,4,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
852,Flying J Travel Center,Flying J,Flying J Travel Center #852,20382 Old Hwy 2,Lancaster,ON,K0C 1N0,45.138695,-74.4962147,,814,"ON-401, Exit 814",71,10,7,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces
793,Flying J Travel Center,Flying J,Flying J Travel Center #793,4216 72 Ave SE,Calgary,AB,T2C 2C1,50.9900423,-113.9746057,,,72 Ave SE & 40 St SE,15,6,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces
862,Flying J Travel Center,Flying J,Flying J Travel Center #862,2492 Cedar Creek Rd,Ayr,ON,N0B 1E0,43.33468919830111,-80.43186983366012,,268,"ON-401, Exit 268",22,8,4,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Pegasus | Truck Parking Spaces
853,Flying J Travel Center,Flying J,Flying J Travel Center #853,996 Great Northern Rd,Sault Ste. Marie,ON,P6B 0B6,46.55700502351365,-84.31852298068846,,,ON-17,44,7,4,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Public Laundry | Truck Parking Spaces
868,Flying J Travel Center,Flying J,Flying J Travel Center #868,2194 Saamis Dr NW,Medicine Hat,AB,T1C 1W7,50.05491400310301,-110.7347330547329,,,Hwy 1 & Brier Park,52,8,4,,,true,Diesel Lanes | Showers | ATM | CAT Scale | Cylinder Propane | Lottery | Public Laundry | Truck Parking Spaces
792,Flying J Travel Center,Flying J,Flying J Travel Center #792,1260 Cassils Rd E,Brooks,AB,T1R 1B7,50.57272745447079,-111.86809289947473,,,Trans-Canada Hwy & Cassils Rd,20,3,2,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | Lottery | Pegasus | Truck Parking Spaces
