db_id,db_name,state,city,address,category_slug,is_published,store_number,reason,action
40e6a8f0-e686-4f00-8eba-65d11117ae7d,Blue Beacon Truck Wash of West Memphis (Flying J),AR,West Memphis,3600 Service Loop Rd,truck-washes,true,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
c05b09af-8df6-4092-9130-91c9a3deb61e,"CAT Scale - Flying J, Miami",FL,Miami,,cat-scales,true,,"no store number in the directory row — unresolved, cannot be joined authoritatively","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
bbb6d29c-9a64-46fa-859f-2496d6085564,"CAT Scale - Pilot Travel Center #352, Fort Myers",FL,Fort Myers,6050 Plaza Dr,cat-scales,true,352,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
5e8660b1-0553-413a-b271-9bdf78f09202,"CAT Scale — Pilot Travel Center #15, Toledo",OH,Toledo,5820 Hagman Rd,cat-scales,true,15,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
88da4d5c-2816-4329-947d-6a77e584c45d,"CAT Scale — Pilot Travel Center #231, Monroe",OH,Monroe,,cat-scales,false,231,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
4b60c1b7-624c-4541-8466-0844e9e0369e,"CAT Scale — Pilot Travel Center #24, Sharonville",OH,Sharonville,,cat-scales,false,24,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
c318488f-fe10-471f-afb2-407f771beb82,"CAT Scale — Pilot Travel Center #284, West Chester",OH,West Chester,,cat-scales,false,284,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
a2881397-1a79-4517-be05-ad60362466c9,CAT Scale at Pilot Perryville,MD,Perryville,31 Heather Lane,cat-scales,false,,"no store number in the directory row — unresolved, cannot be joined authoritatively","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
ad3e43c4-ef04-43df-b994-d7c9fb475388,Pilot Flying J Truck Care Service Center - Waynesville,NC,Waynesville,,roadside-service,false,,"no store number in the directory row — unresolved, cannot be joined authoritatively","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
1c18704d-99b4-4644-865c-b0d740b9ccd5,Pilot Travel Center #149 (Flagship),TN,Stanton,7720 Highway 222,truck-stops,true,149,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
63726042-4b3b-41c2-a7e8-267af4a9285b,Pilot Travel Center #15,OH,Toledo,5820 Hagman Rd,truck-stops,true,15,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
e1c84a38-7da4-4597-ab5e-331b2e755297,Pilot Travel Center #187,TN,Knoxville,100 Merchants Rd,truck-stops,false,187,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
a458560a-f2f2-4149-b476-a63e7a260094,Pilot Travel Center #24,OH,(I-75 Exit 15 area),,truck-stops,false,24,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
f65fd2ef-14d5-456f-a937-bbf3750c87b9,Pilot Travel Center #290,MD,Perryville,31 Heather Lane,truck-stops,false,290,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
951b39b1-6f25-40de-b2d3-d7cbca0d66a0,Pilot Travel Center #352,FL,Fort Myers,6050 Plaza Dr,truck-stops,true,352,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
ff14e2af-f0a7-4e65-a341-c15aab36fe6e,Pro Stop (Pilot Flying J Dealer #962),IN,Sellersburg,1503 Avco Blvd,truck-stops,true,962,"store number absent from this export — PROBABLE CLOSURE CANDIDATE, review only","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
1b28a7ae-3fa0-4c3a-975d-b96459b104d1,Southern Tire Mart at Pilot - Jackson,TN,Jackson,30 Sand Pebble Rd (at Pilot Travel Center #366),tire-repair,false,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
ecdaf4ed-6ee3-44b4-ac84-7c8149c63055,Southern Tire Mart at Pilot - Niota,TN,Niota,543 Highway 309,tire-repair,true,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
4788aa99-bbfe-4f81-b826-788e02ee475c,Southern Tire Mart at Pilot - Ocala,FL,Ocala,4080 W Hwy 326,tire-repair,true,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
ac82ce7a-885f-485b-b1f6-b7072af48ca8,Southern Tire Mart at Pilot - Port Wentworth,GA,Port Wentworth,7001 GA-21,tire-repair,false,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
8fb4e1c8-bbd6-45dc-b76e-5b67a0e12840,Southern Tire Mart at Pilot - Woodhaven,MI,Woodhaven,21055 West Rd,tire-repair,true,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
73be6034-88f2-44ac-9534-f669515c83a4,Southern Tire Mart at Pilot (Brinkley),AR,Brinkley,2105 N Main St,tire-repair,true,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
2b7ac68a-1cd0-45d2-94bd-6ca204ce34ee,Southern Tire Mart at Pilot (Gary),IN,Gary,2501 Burr St,tire-repair,true,,"third-party brand at a network site (own numbering) — not a Pilot-network location, no closure implied","NONE. Not deleted, not unpublished. Absence from one export is not proof of closure."
